area_id,area_name,c23002e001,c23002e001_moe,c23002e002,c23002e002_moe,c23002e003,c23002e003_moe,c23002e004,c23002e004_moe,c23002e005,c23002e005_moe,c23002e006,c23002e006_moe,c23002e007,c23002e007_moe,c23002e008,c23002e008_moe,c23002e009,c23002e009_moe,c23002e010,c23002e010_moe,c23002e011,c23002e011_moe,c23002e012,c23002e012_moe,c23002e013,c23002e013_moe,c23002e014,c23002e014_moe,c23002e015,c23002e015_moe,c23002e016,c23002e016_moe,c23002e017,c23002e017_moe,c23002e018,c23002e018_moe,c23002e019,c23002e019_moe,c23002e020,c23002e020_moe,c23002e021,c23002e021_moe,c23002e022,c23002e022_moe,c23002e023,c23002e023_moe,c23002e024,c23002e024_moe,c23002e025,c23002e025_moe,c23002e026,c23002e026_moe,c23002e027,c23002e027_moe
3.4,South Beacon Hill/NewHolly,140,149,54,81,54,81,54,81,0,24,54,81,54,81,0,24,0,24,0,24,0,24,0,24,0,24,0,24,86,98,55,59,55,59,0,24,55,59,0,24,55,59,0,24,31,57,0,24,0,24,0,24,31,57
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,94,98,94,98,72,80,0,24,72,80,28,43,44,71,22,37,0,24,0,24,0,24,0,24,0,24,49,72,49,72,49,72,0,24,49,72,49,72,0,24,0,24,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,276,271,110,112,41,54,41,54,0,27,41,54,41,54,0,27,0,27,69,84,0,27,0,27,0,27,69,84,166,184,166,184,13,39,0,27,13,39,13,39,0,27,153,182,0,27,0,27,0,27,0,27,0,27
4.3,Seward Park,19,35,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,35,8,19,0,17,0,17,0,17,0,17,0,17,8,19,11,22,11,22,11,22,0,17,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,9,26,9,26,0,24,0,24,0,24,0,24,0,24,9,26,0,24,0,24,0,24,0,24,0,24
6.1,First Hill,47,48,47,48,47,48,12,31,0,24,12,31,12,31,0,24,35,44,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
6.2,Capitol Hill,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,17,38,17,38,17,38,0,29,17,38,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,28,32,4,26,4,26,4,26,0,29,4,26,4,26,0,29,0,29,0,29,0,29,0,29,0,29,0,29,24,30,24,30,18,32,0,29,18,32,18,32,0,29,6,27,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,56,60,19,38,0,32,0,32,0,32,0,32,0,32,0,32,0,32,19,38,0,32,0,32,0,32,19,38,37,56,37,56,37,56,0,32,37,56,37,56,0,32,0,32,0,32,0,32,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,13,30,13,30,13,30,13,30,0,27,13,30,13,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,118,120,65,74,65,74,65,74,30,51,35,59,35,59,0,24,0,24,0,24,0,24,0,24,0,24,0,24,53,64,53,64,53,64,0,24,53,64,19,35,34,59,0,24,0,24,0,24,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,83,113,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,83,113,43,61,18,30,0,24,18,30,18,30,0,24,25,39,40,59,0,24,0,24,0,24,40,59
8.3,Cedar Park/Meadowbrook,25,36,11,27,11,27,11,27,0,27,11,27,11,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,14,31,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,27,53,11,29,11,29,0,27,0,27,0,27,0,27,0,27,11,29,0,27,0,27,0,27,0,27,0,27,16,36,16,36,16,36,0,27,16,36,16,36,0,27,0,27,0,27,0,27,0,27,0,27,0,27
9.2,Licton Springs,22,26,13,24,13,24,13,24,0,17,13,24,13,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,20,9,20,9,20,0,17,9,20,9,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,195,137,85,72,85,72,85,72,0,21,85,72,85,72,0,21,0,21,0,21,0,21,0,21,0,21,0,21,110,95,110,95,90,88,0,21,90,88,90,88,0,21,20,28,0,21,0,21,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,67,126,27,52,27,52,15,34,0,21,15,34,15,34,0,21,12,27,0,21,0,21,0,21,0,21,0,21,40,78,40,78,30,59,0,21,30,59,30,59,0,21,10,26,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,24,27,10,25,10,25,10,25,0,24,10,25,10,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,26,14,26,14,26,0,24,14,26,14,26,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,30,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,38,30,38,0,17,0,17,0,17,0,17,0,17,30,38,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,56,81,56,81,56,81,56,81,0,27,56,81,56,81,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,12,24,12,24,12,24,12,24,0,24,12,24,12,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,6,37,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,6,37,6,37,5,39,0,40,5,39,5,39,0,40,1,38,0,40,0,40,0,40,0,40,0,40
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,17,28,17,28,17,28,0,12,0,12,0,12,0,12,0,12,17,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
