area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
5.2,Judkins Park,2864,281,2604,296,817,222,691,226,10,15,1072,256,0,12,14,23,260,171,0,12,260,171,225,148,85,79,9,15,120,122,11,20,0,12,35,45,0,12
5.3,Central Area/Squire Park,16725,782,15742,731,10811,638,3561,618,73,57,1129,307,9,26,159,125,983,347,30,52,953,345,642,189,218,111,107,85,141,69,34,42,142,91,327,321,14,32
6.1,First Hill,14725,750,13994,740,9513,714,1567,315,344,185,2122,362,47,48,401,150,731,179,26,27,705,179,636,169,104,68,166,73,212,139,46,40,108,70,76,49,19,28
6.2,Capitol Hill,20237,771,19418,822,16060,894,1321,437,303,128,1571,397,17,38,146,90,819,271,16,35,803,272,754,254,62,53,218,118,380,204,0,29,94,72,39,61,26,35
6.3,North Capitol Hill,3918,239,3828,281,3413,324,20,29,89,130,250,119,0,12,56,63,90,86,0,12,90,86,74,83,0,12,12,20,62,76,0,12,0,12,16,27,0,12
6.4,Miller Park,7321,368,7033,388,5698,373,854,277,36,28,429,122,0,17,16,20,288,145,54,53,234,131,265,139,77,96,22,27,105,71,0,17,61,55,23,30,0,17
6.5,Madison Park,5108,379,4991,375,4599,417,116,105,0,17,241,140,0,17,35,56,117,80,0,17,117,80,117,80,0,17,9,15,108,78,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,9399,467,8996,457,8154,431,242,132,27,36,504,145,0,21,69,79,403,138,42,67,361,121,338,130,68,55,60,65,162,77,0,21,48,67,65,68,0,21
7.2,University District,19410,1383,18432,1353,12648,1214,402,150,178,133,4703,623,28,32,473,281,978,240,40,45,938,239,852,214,82,92,208,119,482,156,0,29,80,62,111,83,15,28
7.3,Ravenna/Bryant,24628,833,23214,862,19715,785,531,245,86,67,2613,555,56,60,213,129,1414,292,27,42,1387,291,1305,286,168,126,280,139,751,211,15,31,91,70,109,70,0,32
7.4,Wedgwood/View Ridge,15006,465,14272,482,12009,494,320,185,51,60,1817,287,21,30,54,38,734,203,100,84,634,193,684,205,92,90,105,90,328,142,8,28,151,99,41,48,9,28
7.5,Laurelhurst/Sand Point,10809,536,10310,542,8623,591,263,183,30,31,1356,386,0,21,38,39,499,244,0,21,499,244,384,168,72,51,45,48,136,91,69,92,62,68,115,123,0,21
8.1,Northgate/Maple Leaf,13302,596,12922,609,9548,546,533,200,216,198,2216,412,118,120,291,216,380,128,23,42,357,124,359,123,14,38,125,64,197,95,0,24,23,42,21,38,0,24
8.2,Olympic Hills/Victory Heights,14597,681,13786,717,10210,680,756,347,19,35,2410,516,104,144,287,190,811,327,40,40,771,320,627,273,105,99,106,78,265,156,0,24,151,86,156,109,28,51
8.3,Cedar Park/Meadowbrook,12114,599,11640,602,8867,568,679,291,136,112,1302,270,25,36,631,338,474,157,17,28,457,155,413,150,49,43,106,89,175,103,18,35,65,56,55,43,6,26
9.1,Broadview/Bitter Lake,13626,739,12870,723,10178,712,1092,421,231,186,1229,332,27,53,113,73,756,311,52,58,704,306,691,296,174,226,143,80,288,159,11,27,75,67,30,40,35,61
9.2,Licton Springs,9005,503,8510,523,6321,497,454,282,23,29,1411,321,22,26,279,204,495,243,9,21,486,239,385,173,50,58,58,68,204,123,0,17,73,58,110,114,0,17
9.3,Greenwood/Phinney Ridge,23716,812,22107,704,19176,661,467,238,217,117,1686,279,19,40,542,286,1609,449,74,68,1535,448,1466,417,376,294,277,149,646,242,0,29,167,120,143,134,0,29
9.4,Green Lake,13820,615,13249,628,11798,644,193,133,0,24,1068,256,0,24,190,118,571,216,133,159,438,158,498,216,93,91,16,28,239,112,0,24,150,160,73,56,0,24
9.5,Haller Lake,9796,514,9399,497,6821,492,641,326,124,79,1418,279,246,161,149,119,397,182,34,40,363,178,354,143,105,86,43,44,124,75,0,21,82,77,43,68,0,21
10.1,North Beach/Blue Ridge,11519,481,10947,510,10081,514,89,130,82,58,510,157,67,126,118,135,572,217,52,45,520,213,460,184,112,77,163,143,109,77,0,21,76,55,92,81,20,34
10.2,Whittier Heights,11802,443,11289,450,10587,429,79,74,20,35,469,146,0,24,134,130,513,213,0,24,513,213,513,213,198,194,43,43,237,109,12,26,23,38,0,24,0,24
10.3,Sunset Hill/Loyal Heights,13976,595,13168,592,12417,602,31,30,45,57,565,146,24,27,86,66,808,269,18,33,790,268,791,264,129,97,180,186,464,165,0,24,18,33,17,32,0,24
10.4,Ballard,7173,508,6784,500,5991,466,146,122,0,17,587,254,30,38,30,36,389,203,113,141,276,159,389,203,0,17,30,36,246,158,0,17,113,141,0,17,0,17
11.1,Fremont,15498,538,14650,556,13404,530,216,196,44,45,867,218,0,24,119,82,848,300,126,125,722,262,791,291,54,51,97,75,420,218,61,95,159,132,57,57,0,24
11.2,Wallingford,16385,902,15618,929,13102,856,447,248,107,68,1725,357,70,86,167,136,767,207,32,40,735,204,731,204,87,56,157,93,317,137,18,34,152,96,14,31,22,41
11.3,Cascade/Eastlake,12421,809,11890,779,8672,685,628,208,296,155,2011,497,0,21,283,205,531,215,0,21,531,215,437,184,87,114,126,103,89,60,0,21,135,90,81,74,13,27
12.1,Magnolia,12590,649,12244,652,11310,645,56,55,52,59,728,230,26,43,72,83,346,184,41,69,305,173,346,184,16,29,27,33,240,169,0,24,63,77,0,24,0,24
12.2,Interbay,10022,523,9594,564,8321,557,526,310,82,70,605,241,0,21,60,52,428,210,13,24,415,209,428,210,100,97,143,129,172,130,0,21,13,24,0,21,0,21
12.3,Queen Anne,37065,1129,35124,1120,30403,1104,969,442,310,170,2931,438,6,37,505,197,1941,491,260,243,1681,449,1907,489,144,111,357,173,1020,365,11,49,375,257,34,49,0,40
13.1,Belltown,8266,580,7899,589,6082,504,633,250,120,94,895,330,0,21,169,117,367,166,0,21,367,166,367,166,43,69,81,48,207,133,0,21,36,60,0,21,0,21
13.2,Downtown Commercial Core,3887,428,3624,389,2672,295,395,171,44,50,336,172,17,28,160,101,263,147,39,61,224,133,259,147,11,26,21,27,63,71,73,93,91,83,4,9,0,12
13.3,Pioneer Square/International District,5258,566,5101,568,1737,225,854,498,14,21,2431,375,1,13,64,54,157,87,0,17,157,87,129,82,0,17,63,46,25,34,0,17,41,52,28,35,0,17
