area_id,area_name,b17001d001,b17001d001_moe,b17001d002,b17001d002_moe,b17001d003,b17001d003_moe,b17001d004,b17001d004_moe,b17001d005,b17001d005_moe,b17001d006,b17001d006_moe,b17001d007,b17001d007_moe,b17001d008,b17001d008_moe,b17001d009,b17001d009_moe,b17001d010,b17001d010_moe,b17001d011,b17001d011_moe,b17001d012,b17001d012_moe,b17001d013,b17001d013_moe,b17001d014,b17001d014_moe,b17001d015,b17001d015_moe,b17001d016,b17001d016_moe,b17001d017,b17001d017_moe,b17001d018,b17001d018_moe,b17001d019,b17001d019_moe,b17001d020,b17001d020_moe,b17001d021,b17001d021_moe,b17001d022,b17001d022_moe,b17001d023,b17001d023_moe,b17001d024,b17001d024_moe,b17001d025,b17001d025_moe,b17001d026,b17001d026_moe,b17001d027,b17001d027_moe,b17001d028,b17001d028_moe,b17001d029,b17001d029_moe,b17001d030,b17001d030_moe,b17001d031,b17001d031_moe,b17001d032,b17001d032_moe,b17001d033,b17001d033_moe,b17001d034,b17001d034_moe,b17001d035,b17001d035_moe,b17001d036,b17001d036_moe,b17001d037,b17001d037_moe,b17001d038,b17001d038_moe,b17001d039,b17001d039_moe,b17001d040,b17001d040_moe,b17001d041,b17001d041_moe,b17001d042,b17001d042_moe,b17001d043,b17001d043_moe,b17001d044,b17001d044_moe,b17001d045,b17001d045_moe,b17001d046,b17001d046_moe,b17001d047,b17001d047_moe,b17001d048,b17001d048_moe,b17001d049,b17001d049_moe,b17001d050,b17001d050_moe,b17001d051,b17001d051_moe,b17001d052,b17001d052_moe,b17001d053,b17001d053_moe,b17001d054,b17001d054_moe,b17001d055,b17001d055_moe,b17001d056,b17001d056_moe,b17001d057,b17001d057_moe,b17001d058,b17001d058_moe,b17001d059,b17001d059_moe
11,Jefferson Park,2507,740,105,111,73,84,0,29,0,29,7,30,0,29,10,30,0,29,34,48,14,33,0,29,0,29,8,30,0,29,0,29,32,42,0,29,0,29,0,29,0,29,0,29,0,29,7,29,9,33,0,29,9,30,7,30,0,29,0,29,2402,746,1148,376,62,59,0,29,119,75,35,47,8,31,44,47,140,133,88,73,278,111,133,86,116,99,78,59,47,68,1254,399,54,55,9,29,145,82,14,35,0,29,0,29,58,49,330,200,246,111,227,123,77,65,94,75,0,29
12,Forest Glen,2269,411,161,100,95,66,40,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,19,30,0,29,27,33,9,31,0,29,66,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,31,0,29,0,29,45,35,0,29,0,29,2108,431,924,207,30,43,11,32,18,34,40,41,0,29,46,48,117,73,81,66,86,67,289,106,139,84,41,44,26,36,1184,290,62,101,0,29,111,86,63,79,46,70,35,39,72,58,51,54,139,79,285,97,198,93,33,45,89,92
13,North Park,5121,741,844,384,440,217,40,57,27,40,59,60,41,48,25,42,36,55,1,25,111,112,0,27,65,64,0,27,19,33,16,34,404,202,37,56,0,27,0,27,34,51,0,27,0,27,38,48,74,69,44,45,67,62,43,43,0,27,67,73,4277,726,1954,347,239,100,10,28,214,111,79,58,0,27,87,72,121,66,279,126,297,111,299,107,112,59,107,57,110,65,2323,432,114,69,76,66,93,57,206,93,18,29,68,60,157,75,306,132,427,129,250,99,198,80,225,97,185,90
14,Albany Park,6624,1069,1317,585,675,338,0,45,42,75,49,65,12,47,2,44,14,48,85,127,72,75,82,79,146,132,30,50,0,45,141,107,642,295,113,132,0,45,14,47,11,47,0,45,0,45,26,46,116,90,59,74,63,73,14,45,37,49,189,114,5307,942,2498,499,43,54,15,48,102,77,44,61,30,51,22,53,120,73,551,227,411,157,428,181,371,150,182,84,179,105,2809,520,190,110,13,49,122,74,40,76,0,45,93,70,151,91,606,194,378,130,365,130,411,154,254,107,186,108
15,Portage Park,2878,697,167,123,76,73,0,47,0,47,0,47,0,47,0,47,0,47,17,56,42,63,0,47,17,52,0,47,0,47,0,47,91,83,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,9,44,14,52,27,58,20,55,21,55,2711,690,1327,380,71,68,23,51,120,116,42,64,31,56,0,47,67,80,297,132,362,148,101,70,127,86,35,51,51,58,1384,370,58,56,33,54,82,67,28,54,8,48,9,48,80,68,313,171,338,164,42,56,216,107,134,86,43,53
16,Irving Park,4057,775,364,204,105,102,25,60,0,47,0,47,0,47,0,47,0,47,28,56,23,58,0,47,0,47,0,47,0,47,29,66,259,151,0,47,0,47,0,47,0,47,0,47,0,47,154,111,61,71,0,47,18,50,0,47,0,47,26,64,3693,745,1703,384,149,86,32,58,88,69,23,47,0,47,27,55,91,79,297,123,255,131,235,133,254,108,174,98,78,87,1990,427,81,75,24,59,41,49,37,51,7,45,24,52,171,108,392,156,336,135,230,120,385,156,131,88,131,90
17,Dunning,1635,448,39,59,23,46,0,40,0,40,0,40,0,40,0,40,0,40,0,40,15,45,0,40,8,41,0,40,0,40,0,40,16,46,0,40,0,40,8,41,0,40,0,40,0,40,0,40,0,40,0,40,8,41,0,40,0,40,0,40,1596,445,674,220,52,57,0,40,85,67,23,50,0,40,8,40,18,41,195,119,75,52,82,53,43,54,74,51,19,42,922,261,31,58,11,42,43,51,29,44,0,40,7,38,12,38,301,139,120,69,90,62,187,91,70,59,21,48
18,Montclare,547,316,149,173,77,104,0,23,0,23,44,55,0,23,0,23,0,23,0,23,33,54,0,23,0,23,0,23,0,23,0,23,72,82,14,26,0,23,13,26,0,23,0,23,0,23,0,23,45,56,0,23,0,23,0,23,0,23,0,23,398,267,191,133,41,53,0,23,16,31,32,42,0,23,0,23,24,43,0,23,40,38,0,23,38,44,0,23,0,23,207,159,17,31,0,23,0,23,0,23,23,39,23,39,0,23,0,23,41,39,47,56,56,63,0,23,0,23
19,Belmont Cragin,1124,396,15,51,13,54,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,13,54,0,52,0,52,2,50,0,52,0,52,0,52,0,52,0,52,0,52,2,50,0,52,0,52,0,52,0,52,0,52,0,52,1109,396,380,153,27,59,0,52,7,51,10,54,0,52,10,54,7,51,73,72,64,74,47,63,99,77,29,52,7,51,729,280,0,52,27,59,75,87,30,59,0,52,16,56,34,75,153,95,114,98,49,59,122,79,61,65,48,63
20,Hermosa,111,79,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,17,38,0,29,0,29,0,29,0,29,0,29,94,74,73,65,0,29,0,29,0,29,0,29,0,29,0,29,0,29,46,56,10,32,0,29,0,29,8,30,9,31,21,36,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,35,0,29,0,29,8,30,0,29,0,29
21,Avondale,1311,448,125,98,22,43,10,40,0,38,0,38,0,38,0,38,0,38,0,38,12,41,0,38,0,38,0,38,0,38,0,38,103,94,0,38,0,38,0,38,0,38,0,38,5,38,0,38,64,92,11,36,0,38,0,38,10,40,13,40,1186,438,594,255,62,63,7,38,53,68,0,38,0,38,9,40,0,38,183,126,74,64,81,78,75,56,50,65,0,38,592,218,42,47,0,38,16,38,29,52,20,50,0,38,110,96,161,90,60,56,49,58,59,67,46,48,0,38
22,Logan Square,2141,383,300,120,162,92,22,61,0,57,11,59,8,57,0,57,0,57,36,63,41,65,23,61,21,64,0,57,0,57,0,57,138,78,0,57,0,57,0,57,7,57,0,57,12,59,33,64,45,62,17,59,8,57,0,57,5,57,11,59,1841,359,776,206,32,65,0,57,35,61,0,57,0,57,0,57,77,83,364,129,161,85,29,61,56,76,7,57,15,61,1065,225,24,58,0,57,73,70,0,57,0,57,0,57,49,71,542,162,178,81,59,77,74,76,52,69,14,60
23,Humboldt Park,147,121,36,71,15,57,0,51,0,51,0,51,0,51,0,51,0,51,10,53,0,51,0,51,0,51,5,50,0,51,0,51,21,55,0,51,0,51,0,51,0,51,0,51,0,51,5,50,0,51,0,51,5,49,0,51,11,54,0,51,111,110,30,55,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,16,53,0,51,14,53,0,51,0,51,81,89,0,51,0,51,0,51,0,51,0,51,0,51,31,70,15,53,9,50,0,51,19,53,7,50,0,51
24,West Town,3343,499,409,187,281,167,0,62,0,62,0,62,0,62,0,62,0,62,34,73,227,146,10,63,10,63,0,62,0,62,0,62,128,99,0,62,0,62,8,63,0,62,0,62,0,62,37,72,31,65,34,74,1,61,16,66,1,61,0,62,2934,463,1373,288,145,109,0,62,36,67,23,66,15,66,28,70,93,91,655,189,306,112,39,68,23,69,10,63,0,62,1561,268,82,78,12,63,55,72,12,64,0,62,15,65,72,95,642,148,454,145,168,111,22,64,0,62,27,65
25,Austin,336,181,14,60,14,60,0,61,0,61,0,61,0,61,0,61,0,61,4,60,5,60,0,61,0,61,5,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,322,180,141,113,0,61,0,61,0,61,0,61,0,61,5,61,4,60,51,74,26,66,21,63,12,61,16,62,6,62,181,105,0,61,0,61,0,61,0,61,0,61,5,60,0,61,28,65,10,63,31,63,64,76,23,66,20,65
26,West Garfield Park,18,41,1,33,1,33,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,1,33,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,17,43,17,43,0,35,0,35,0,35,0,35,0,35,0,35,0,35,17,43,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,92,61,19,44,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,19,44,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,12,44,0,38,0,38,0,38,73,55,19,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,19,42,0,38,0,38,0,38,0,38,0,38,54,48,5,37,0,38,0,38,0,38,0,38,0,38,0,38,18,39,24,40,0,38,0,38,7,39,0,38
28,Near West Side,7612,775,1698,444,942,385,9,53,0,52,0,52,0,52,0,52,0,52,426,270,441,268,26,58,0,52,4,51,36,66,0,52,756,217,0,52,0,52,0,52,0,52,0,52,0,52,489,202,133,82,40,61,4,51,44,69,10,53,36,60,5914,667,3074,420,239,126,36,56,40,65,19,54,0,52,0,52,181,94,1679,308,579,174,122,100,86,69,93,80,0,52,2840,395,253,118,4,51,19,54,15,53,0,52,0,52,218,113,1499,283,520,158,92,65,103,74,61,72,56,62
29,North Lawndale,37,65,6,43,6,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,6,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,31,65,13,46,0,43,0,43,0,43,0,43,0,43,6,43,0,43,0,43,0,43,7,43,0,43,0,43,0,43,18,50,0,43,6,42,6,42,0,43,0,43,0,43,0,43,0,43,6,42,0,43,0,43,0,43,0,43
30,South Lawndale,75,76,38,60,15,48,0,48,0,48,0,48,0,48,0,48,0,48,11,50,1,47,1,47,2,47,0,48,0,48,0,48,23,53,0,48,0,48,0,48,0,48,0,48,13,51,0,48,0,48,0,48,0,48,0,48,10,49,0,48,37,58,24,49,0,48,0,48,0,48,0,48,0,48,0,48,6,48,2,47,0,48,1,47,15,49,0,48,0,48,13,48,0,48,0,48,0,48,0,48,0,48,0,48,6,48,0,48,0,48,0,48,0,48,7,48,0,48
31,Lower West Side,390,162,100,89,54,76,0,42,0,42,0,42,0,42,0,42,0,42,36,71,18,49,0,42,0,42,0,42,0,42,0,42,46,55,0,42,0,42,0,42,0,42,0,42,0,42,35,55,4,41,0,42,0,42,7,42,0,42,0,42,290,129,135,88,0,42,0,42,0,42,0,42,0,42,0,42,15,47,79,70,22,46,10,40,9,43,0,42,0,42,155,92,0,42,0,42,0,42,0,42,0,42,0,42,31,59,40,53,23,44,37,61,21,44,0,42,3,41
32,Loop,4061,635,823,381,176,122,0,30,0,30,0,30,0,30,0,30,0,30,45,58,131,111,0,30,0,30,0,30,0,30,0,30,647,330,0,30,0,30,0,30,0,30,0,30,0,30,378,237,249,247,0,30,0,30,0,30,20,41,0,30,3238,482,1396,294,44,48,0,30,0,30,0,30,0,30,0,30,184,107,708,221,248,126,48,80,56,46,43,46,65,71,1842,338,55,57,0,30,29,51,0,30,0,30,0,30,160,121,916,269,266,128,164,98,112,89,91,66,49,76
33,Near South Side,3648,700,492,274,275,222,121,191,0,24,0,24,0,24,0,24,0,24,87,108,17,26,8,24,0,24,10,26,32,50,0,24,217,154,4,17,0,24,0,24,0,24,0,24,0,24,40,66,35,36,4,17,44,72,10,26,45,53,35,46,3156,641,1413,332,96,92,0,24,17,33,33,56,0,24,0,24,95,86,532,208,354,192,87,62,152,108,38,64,9,25,1743,469,119,100,9,25,32,39,30,54,18,33,18,33,80,112,603,223,356,158,196,97,144,120,0,24,138,209
34,Armour Square,9179,755,3411,572,1704,342,68,55,30,38,110,69,47,43,0,27,35,48,176,100,182,121,257,150,121,65,117,74,161,95,400,151,1707,294,72,58,54,65,42,49,22,31,16,36,15,33,116,79,131,71,133,74,197,104,157,91,278,126,474,137,5768,826,2751,451,145,78,0,27,122,79,63,52,50,44,51,51,263,124,495,174,374,143,370,122,500,171,131,66,187,86,3017,467,92,76,34,58,232,138,142,97,47,50,90,74,252,114,379,132,499,162,412,130,313,128,262,110,263,107
35,Douglas,1895,451,859,319,523,195,0,35,0,35,0,35,0,35,0,35,0,35,367,163,124,95,0,35,0,35,32,61,0,35,0,35,336,177,0,35,0,35,0,35,0,35,0,35,0,35,136,90,182,135,0,35,0,35,0,35,0,35,18,44,1036,297,590,180,73,65,0,35,31,48,0,35,0,35,0,35,84,61,231,101,111,67,30,50,18,34,12,34,0,35,446,160,53,60,0,35,0,35,0,35,9,36,12,37,32,42,267,109,20,36,21,36,12,34,14,41,6,35
36,Oakland,57,65,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,57,65,4,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,4,17,0,19,0,19,0,19,0,19,53,64,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,3,16,16,30,15,29,0,19,19,35
37,Fuller Park,11,19,11,19,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,63,64,1,41,1,41,0,43,0,43,0,43,0,43,0,43,0,43,0,43,1,41,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,62,65,46,54,0,43,0,43,0,43,0,43,0,43,0,43,0,43,22,50,14,47,0,43,0,43,10,44,0,43,16,48,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43
39,Kenwood,1054,299,442,208,235,160,0,31,0,31,0,31,0,31,0,31,0,31,157,144,55,62,23,36,0,31,0,31,0,31,0,31,207,116,0,31,0,31,0,31,0,31,0,31,0,31,153,105,39,43,14,36,0,31,0,31,1,29,0,31,612,205,258,109,13,35,9,32,8,32,0,31,0,31,0,31,13,36,55,56,94,77,33,37,0,31,33,46,0,31,354,146,25,46,0,31,0,31,9,32,0,31,0,31,33,48,125,81,63,57,17,37,70,57,12,34,0,31
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28,0,27
41,Hyde Park,2395,404,737,258,363,163,0,38,0,38,27,56,0,38,0,38,0,38,211,127,74,68,51,57,0,38,0,38,0,38,0,38,374,154,47,59,0,38,13,42,0,38,0,38,0,38,92,51,163,100,51,60,8,39,0,38,0,38,0,38,1658,312,745,172,36,51,0,38,13,38,22,55,3,37,0,38,43,42,345,124,77,51,57,48,46,43,48,72,55,46,913,194,17,45,0,38,59,64,10,39,0,38,35,43,99,68,223,98,141,79,195,64,66,47,46,47,22,40
42,Woodlawn,391,126,131,81,28,40,0,36,0,36,0,36,0,36,0,36,0,36,20,42,4,35,4,35,0,36,0,36,0,36,0,36,103,77,0,36,0,36,0,36,0,36,0,36,0,36,44,48,46,62,0,36,13,40,0,36,0,36,0,36,260,107,115,80,0,36,0,36,0,36,0,36,0,36,0,36,36,48,17,42,11,40,39,71,3,37,9,38,0,36,145,66,7,37,0,36,0,36,0,36,0,36,0,36,9,37,45,50,44,50,16,37,15,36,0,36,9,37
43,South Shore,67,71,23,55,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,23,55,0,44,0,44,0,44,0,44,0,44,0,44,23,55,0,44,0,44,0,44,0,44,0,44,0,44,44,62,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,44,62,0,44,0,44,0,44,0,44,0,44,0,44,0,44,11,45,0,44,5,43,28,62,0,44,0,44
44,Chatham,23,42,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,23,42,1,35,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,1,35,0,37,0,37,0,37,0,37,22,43,0,37,0,37,0,37,0,37,0,37,0,37,0,37,11,38,0,37,0,37,11,42,0,37,0,37
45,Avalon Park,34,42,13,25,13,25,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,13,25,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,21,37,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,21,37,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,21,37,0,19,0,19,0,19
46,South Chicago,86,102,10,38,10,38,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,10,38,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,76,97,76,97,0,37,0,37,0,37,0,37,0,37,35,61,26,52,0,37,15,43,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27
49,Roseland,174,146,83,125,33,61,17,46,0,41,0,41,0,41,0,41,0,41,0,41,0,41,16,46,0,41,0,41,0,41,0,41,50,82,0,41,0,41,33,61,0,41,0,41,0,41,0,41,17,47,0,41,0,41,0,41,0,41,0,41,91,86,52,54,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,13,44,18,43,0,41,16,48,5,40,39,54,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,18,49,21,48,0,41
