area_id,area_name,b11002g001,b11002g001_moe,b11002g002,b11002g002_moe,b11002g003,b11002g003_moe,b11002g004,b11002g004_moe,b11002g005,b11002g005_moe,b11002g006,b11002g006_moe,b11002g007,b11002g007_moe,b11002g008,b11002g008_moe,b11002g009,b11002g009_moe,b11002g010,b11002g010_moe,b11002g011,b11002g011_moe,b11002g012,b11002g012_moe
26,West Garfield Park,111,152,111,152,92,150,92,150,0,35,0,35,0,35,0,35,19,43,19,43,0,35,0,35
27,East Garfield Park,70,66,44,64,33,62,33,62,0,38,11,41,11,41,0,38,0,38,0,38,0,38,26,41
28,Near West Side,883,290,548,266,391,243,391,243,0,52,16,59,11,55,5,52,141,117,117,96,24,56,335,124
29,North Lawndale,156,127,137,125,0,43,0,43,0,43,36,69,36,69,0,43,101,107,101,107,0,43,19,46
30,South Lawndale,533,245,466,239,359,213,359,213,0,48,15,54,15,54,0,48,92,117,92,117,0,48,67,70
31,Lower West Side,751,314,456,259,257,182,257,182,0,42,42,60,36,56,6,41,157,167,157,167,0,42,295,182
32,Loop,241,107,48,62,48,62,48,62,0,30,0,30,0,30,0,30,0,30,0,30,0,30,193,95
33,Near South Side,295,217,81,94,28,47,28,47,0,24,0,24,0,24,0,24,53,83,53,83,0,24,214,198
34,Armour Square,336,315,261,309,261,309,261,309,0,27,0,27,0,27,0,27,0,27,0,27,0,27,75,64
35,Douglas,145,80,66,59,35,52,35,52,0,35,0,35,0,35,0,35,31,45,31,45,0,35,79,61
36,Oakland,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,3,16
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,300,133,172,108,68,69,68,69,0,43,21,53,21,53,0,43,83,88,83,88,0,43,128,84
39,Kenwood,299,189,232,181,178,170,178,170,0,31,24,51,24,51,0,31,30,54,30,54,0,31,67,67
40,Washington Park,105,100,95,100,0,27,0,27,0,27,0,27,0,27,0,27,95,100,95,100,0,27,10,29
41,Hyde Park,556,216,244,163,188,137,188,137,0,38,56,95,56,95,0,38,0,38,0,38,0,38,312,143
42,Woodlawn,310,135,123,105,54,67,54,67,0,36,51,84,26,52,25,52,18,45,18,45,0,36,187,90
43,South Shore,701,364,538,351,161,174,161,174,0,44,0,44,0,44,0,44,377,310,377,310,0,44,163,104
44,Chatham,491,317,396,310,56,87,56,87,0,37,0,37,0,37,0,37,340,298,340,298,0,37,95,78
45,Avalon Park,120,134,76,130,0,19,0,19,0,19,0,19,0,19,0,19,76,130,76,130,0,19,44,47
46,South Chicago,153,114,36,55,15,43,15,43,0,37,0,37,0,37,0,37,21,50,21,50,0,37,117,107
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,474,329,421,327,83,140,83,140,0,41,0,41,0,41,0,41,338,301,338,301,0,41,53,50
50,Pullman,14,29,14,29,14,29,14,29,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,138,110,132,110,20,40,20,40,0,25,0,25,0,25,0,25,112,104,112,104,0,25,6,22
52,East Side,627,343,623,343,401,315,401,315,0,29,0,29,0,29,0,29,222,140,213,133,9,29,4,28
53,West Pullman,494,564,481,563,456,562,456,562,0,39,0,39,0,39,0,39,25,52,25,52,0,39,13,40
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,161,135,142,131,30,52,30,52,0,19,61,98,61,98,0,19,51,78,51,78,0,19,19,34
56,Garfield Ridge,759,347,702,346,505,299,505,299,0,42,27,58,18,50,9,42,170,204,170,204,0,42,57,71
57,Archer Heights,65,54,38,50,20,38,20,38,0,27,0,27,0,27,0,27,18,43,14,37,4,26,27,31
58,Brighton Park,332,355,332,355,278,348,278,348,0,43,0,43,0,43,0,43,54,82,48,77,6,42,0,43
59,McKinley Park,173,219,158,219,158,219,158,219,0,25,0,25,0,25,0,25,0,25,0,25,0,25,15,26
60,Bridgeport,463,198,365,215,63,70,63,70,0,37,68,83,68,83,0,37,234,193,229,192,5,36,98,109
61,New City,403,271,356,268,336,266,336,266,0,47,0,47,0,47,0,47,20,57,13,51,7,47,47,57
62,West Elsdon,36,47,27,47,0,27,0,27,0,27,0,27,0,27,0,27,27,47,27,47,0,27,9,26
63,Gage Park,303,214,303,214,283,212,259,196,24,53,0,41,0,41,0,41,20,48,20,48,0,41,0,41
64,Clearing,386,285,379,285,293,275,293,275,0,31,26,51,26,51,0,31,60,69,44,54,16,34,7,32
65,West Lawn,1311,755,1225,751,965,763,965,763,0,34,0,34,0,34,0,34,260,219,225,184,35,54,86,68
66,Chicago Lawn,490,301,471,301,395,281,378,265,17,55,0,49,0,49,0,49,76,116,72,112,4,47,19,50
67,West Englewood,395,273,361,272,90,90,90,90,0,48,111,184,100,167,11,50,160,190,110,128,50,82,34,59
68,Englewood,139,97,88,87,61,83,61,83,0,36,11,38,11,38,0,36,16,43,16,43,0,36,51,53
69,Greater Grand Crossing,270,237,237,235,0,38,0,38,0,38,128,197,128,197,0,38,109,133,109,133,0,38,33,48
70,Ashburn,330,314,319,313,223,298,106,133,117,181,22,52,22,52,0,41,74,96,74,96,0,41,11,41
71,Auburn Gresham,175,149,159,148,76,119,76,119,0,46,0,46,0,46,0,46,83,100,83,100,0,46,16,47
72,Beverly,201,143,161,143,136,137,136,137,0,29,0,29,0,29,0,29,25,47,25,47,0,29,40,39
73,Washington Heights,49,63,44,63,16,45,16,45,0,33,0,33,0,33,0,33,28,55,28,55,0,33,5,32
74,Mount Greenwood,67,113,67,113,67,113,67,113,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,187,93,77,78,48,62,48,62,0,31,0,31,0,31,0,31,29,57,22,47,7,32,110,61
76,O'Hare,369,311,352,309,204,252,204,252,0,38,0,38,0,38,0,38,148,183,148,183,0,38,17,46
77,Edgewater,1527,513,737,378,215,143,215,143,0,48,119,193,119,193,0,48,403,297,403,297,0,48,790,350
