area_id,area_name,c27001c001,c27001c001_moe,c27001c002,c27001c002_moe,c27001c003,c27001c003_moe,c27001c004,c27001c004_moe,c27001c005,c27001c005_moe,c27001c006,c27001c006_moe,c27001c007,c27001c007_moe,c27001c008,c27001c008_moe,c27001c009,c27001c009_moe,c27001c010,c27001c010_moe
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,0,25,0,25,0,25,17,35,17,35,0,25,0,25,0,25,0,25
52,East Side,80,67,7,33,7,33,0,29,73,66,53,58,20,31,0,29,0,29,0,29
53,West Pullman,27,47,9,41,9,41,0,39,5,38,5,38,0,39,13,42,13,42,0,39
54,Riverdale,3,13,0,16,0,16,0,16,3,13,3,13,0,16,0,16,0,16,0,16
55,Hegewisch,45,45,0,19,0,19,0,19,45,45,45,45,0,19,0,19,0,19,0,19
56,Garfield Ridge,17,45,0,42,0,42,0,42,17,45,17,45,0,42,0,42,0,42,0,42
57,Archer Heights,91,78,31,35,31,35,0,27,52,62,52,62,0,27,8,28,8,28,0,27
58,Brighton Park,109,91,17,51,17,51,0,43,92,82,57,70,35,57,0,43,0,43,0,43
59,McKinley Park,250,195,149,131,149,131,0,25,101,75,96,76,5,23,0,25,0,25,0,25
60,Bridgeport,226,180,82,89,82,89,0,37,104,104,75,100,29,47,40,50,40,50,0,37
61,New City,309,244,60,84,60,84,0,47,249,216,154,119,95,124,0,47,0,47,0,47
62,West Elsdon,18,29,0,27,0,27,0,27,18,29,18,29,0,27,0,27,0,27,0,27
63,Gage Park,129,152,45,85,45,85,0,41,84,103,70,94,14,44,0,41,0,41,0,41
64,Clearing,93,155,0,31,0,31,0,31,77,125,30,45,47,90,16,41,16,41,0,31
65,West Lawn,353,287,189,147,189,147,0,34,140,121,140,121,0,34,24,50,24,50,0,34
66,Chicago Lawn,118,129,48,87,48,87,0,49,70,81,32,58,38,64,0,49,0,49,0,49
67,West Englewood,21,51,0,48,0,48,0,48,9,49,0,48,9,49,12,50,12,50,0,48
68,Englewood,79,80,0,36,0,36,0,36,61,76,12,41,49,74,18,45,0,36,18,45
69,Greater Grand Crossing,211,107,0,38,0,38,0,38,211,107,84,75,127,75,0,38,0,38,0,38
70,Ashburn,152,183,45,74,45,74,0,41,107,125,34,64,73,110,0,41,0,41,0,41
71,Auburn Gresham,53,82,0,46,0,46,0,46,53,82,53,82,0,46,0,46,0,46,0,46
72,Beverly,24,30,7,30,7,30,0,29,12,30,5,29,7,30,5,28,5,28,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,0,25,0,25,0,25,18,37,18,37,0,25,0,25,0,25,0,25
75,Morgan Park,51,42,0,31,0,31,0,31,42,40,42,40,0,31,9,33,9,33,0,31
76,O'Hare,46,64,0,38,0,38,0,38,46,64,46,64,0,38,0,38,0,38,0,38
77,Edgewater,149,131,25,62,25,62,0,48,107,99,107,99,0,48,17,54,17,54,0,48
