area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
15,Portage Park,2838,734,2588,714,1829,642,1795,640,34,60,43,84,43,84,0,47,716,365,598,314,118,128,250,169
16,Irving Park,4157,849,3649,832,2491,670,2437,658,54,80,578,409,555,398,23,60,580,343,546,322,34,71,508,185
17,Dunning,1573,459,1449,449,1001,399,1001,399,0,40,41,58,41,58,0,40,407,259,379,244,28,54,124,95
18,Montclare,453,278,404,271,350,257,350,257,0,23,0,23,0,23,0,23,54,86,54,86,0,23,49,57
19,Belmont Cragin,1171,409,1103,407,737,328,737,328,0,52,145,190,145,190,0,52,221,179,210,174,11,55,68,68
20,Hermosa,94,74,26,51,26,51,26,51,0,29,0,29,0,29,0,29,0,29,0,29,0,29,68,60
21,Avondale,1308,455,1057,434,1014,430,1014,430,0,38,0,38,0,38,0,38,43,67,43,67,0,38,251,141
22,Logan Square,2135,421,1099,305,854,268,846,266,8,58,55,82,55,82,0,57,190,148,171,138,19,60,1036,292
23,Humboldt Park,145,124,84,116,84,116,84,116,0,51,0,51,0,51,0,51,0,51,0,51,0,51,61,67
24,West Town,3444,635,1601,401,1319,365,1306,363,13,65,173,151,162,143,11,64,109,107,109,107,0,62,1843,483
25,Austin,371,203,270,195,244,190,244,190,0,61,0,61,0,61,0,61,26,75,26,75,0,61,101,79
26,West Garfield Park,17,43,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,17,43
27,East Garfield Park,57,55,20,47,20,47,20,47,0,38,0,38,0,38,0,38,0,38,0,38,0,38,37,47
28,Near West Side,7990,915,4150,797,3303,721,3292,721,11,54,316,262,217,144,99,157,531,264,531,264,0,52,3840,573
29,North Lawndale,31,65,31,65,31,65,31,65,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,17,53,17,53,0,48,0,48,0,48,17,53,17,53,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,514,266,317,233,238,231,238,231,0,42,0,42,0,42,0,42,79,104,79,104,0,42,197,131
32,Loop,4083,705,1684,428,1525,424,1525,424,0,30,26,49,26,49,0,30,133,173,133,173,0,30,2399,628
33,Near South Side,3267,724,1976,657,1460,475,1460,475,0,24,36,50,36,50,0,24,480,389,480,389,0,24,1291,388
34,Armour Square,9423,779,8104,818,6064,784,6036,780,28,38,476,218,464,215,12,30,1564,608,1485,578,79,94,1319,310
35,Douglas,1980,474,740,283,698,278,698,278,0,35,21,47,21,47,0,35,21,50,14,42,7,35,1240,397
36,Oakland,7,18,7,18,7,18,7,18,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,11,19
38,Grand Boulevard,44,60,26,57,0,43,0,43,0,43,0,43,0,43,0,43,26,57,26,57,0,43,18,47
39,Kenwood,967,312,304,159,276,152,276,152,0,31,28,53,18,41,10,33,0,31,0,31,0,31,663,261
40,Washington Park,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,28
41,Hyde Park,2471,474,1305,368,1132,375,1132,375,0,38,0,38,0,38,0,38,173,178,173,178,0,38,1166,322
42,Woodlawn,325,134,253,122,84,113,84,113,0,36,0,36,0,36,0,36,169,134,121,90,48,62,72,66
43,South Shore,61,71,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,61,71
44,Chatham,11,42,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,11,42
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,86,102,61,95,0,37,0,37,0,37,61,95,61,95,0,37,0,37,0,37,0,37,25,53
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31
49,Roseland,198,155,198,155,168,148,168,148,0,41,30,63,30,63,0,41,0,41,0,41,0,41,0,41
50,Pullman,26,50,26,50,26,50,26,50,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,38,65,38,65,0,25,0,25,0,25,38,65,29,52,9,27,0,25,0,25,0,25,0,25
52,East Side,88,109,88,109,67,106,67,106,0,29,0,29,0,29,0,29,21,40,21,40,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,638,312,631,311,446,249,446,249,0,42,72,117,72,117,0,42,113,139,113,139,0,42,7,42
57,Archer Heights,208,178,208,178,208,178,208,178,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,2732,499,2653,504,2202,475,2190,470,12,46,159,171,159,171,0,43,292,186,269,178,23,52,79,68
59,McKinley Park,2803,468,2597,465,2322,485,2322,485,0,25,123,108,123,108,0,25,152,140,152,140,0,25,206,108
60,Bridgeport,10868,991,9363,961,7497,893,7464,892,33,45,707,273,707,273,0,37,1159,424,1104,373,55,78,1505,431
61,New City,566,159,506,151,506,151,506,151,0,47,0,47,0,47,0,47,0,47,0,47,0,47,60,67
62,West Elsdon,315,173,271,170,238,162,207,132,31,52,0,27,0,27,0,27,33,56,33,56,0,27,44,39
63,Gage Park,434,233,318,218,237,198,228,186,9,41,57,92,57,92,0,41,24,55,24,55,0,41,116,94
64,Clearing,173,230,171,231,171,231,171,231,0,31,0,31,0,31,0,31,0,31,0,31,0,31,2,30
65,West Lawn,86,89,86,89,60,79,60,79,0,34,0,34,0,34,0,34,26,54,26,54,0,34,0,34
66,Chicago Lawn,428,304,418,304,405,300,405,300,0,49,0,49,0,49,0,49,13,68,13,68,0,49,10,49
67,West Englewood,91,127,76,125,0,48,0,48,0,48,0,48,0,48,0,48,76,125,51,91,25,60,15,52
68,Englewood,9,38,9,38,9,38,9,38,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,21,51,21,51,21,51,21,51,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
70,Ashburn,65,85,65,85,65,85,65,85,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,67,125,67,125,67,125,67,125,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,16,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,32
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,112,167,112,167,112,167,112,167,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,81,81,43,55,27,49,27,49,0,31,16,40,16,40,0,31,0,31,0,31,0,31,38,68
76,O'Hare,1174,439,970,432,712,373,712,373,0,38,26,64,26,64,0,38,232,233,232,233,0,38,204,118
77,Edgewater,6235,927,4660,900,3005,605,2998,605,7,49,639,386,619,380,20,56,1016,546,852,399,164,227,1575,325
