area_id,area_name,b05003c001,b05003c001_moe,b05003c002,b05003c002_moe,b05003c003,b05003c003_moe,b05003c004,b05003c004_moe,b05003c005,b05003c005_moe,b05003c006,b05003c006_moe,b05003c007,b05003c007_moe,b05003c008,b05003c008_moe,b05003c009,b05003c009_moe,b05003c010,b05003c010_moe,b05003c011,b05003c011_moe,b05003c012,b05003c012_moe,b05003c013,b05003c013_moe,b05003c014,b05003c014_moe,b05003c015,b05003c015_moe,b05003c016,b05003c016_moe,b05003c017,b05003c017_moe,b05003c018,b05003c018_moe,b05003c019,b05003c019_moe,b05003c020,b05003c020_moe,b05003c021,b05003c021_moe,b05003c022,b05003c022_moe,b05003c023,b05003c023_moe
18,Montclare,42,54,1,16,0,23,0,23,0,23,0,23,0,23,1,16,0,23,1,16,0,23,1,16,41,53,41,53,41,53,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,171,165,80,84,38,64,38,64,0,52,0,52,0,52,42,54,15,53,27,53,27,53,0,52,91,107,50,81,50,81,0,52,0,52,0,52,41,59,8,53,33,58,21,57,12,54
20,Hermosa,33,49,11,33,0,29,0,29,0,29,0,29,0,29,11,33,11,33,0,29,0,29,0,29,22,37,0,29,0,29,0,29,0,29,0,29,22,37,12,34,10,33,10,33,0,29
21,Avondale,285,278,100,115,0,38,0,38,0,38,0,38,0,38,100,115,75,87,25,55,0,38,25,55,185,186,32,54,32,54,0,38,0,38,0,38,153,150,105,110,48,66,48,66,0,38
22,Logan Square,136,114,85,83,5,57,5,57,0,57,0,57,0,57,80,82,68,81,12,59,12,59,0,57,51,71,12,57,12,57,0,57,0,57,0,57,39,71,11,57,28,71,28,71,0,57
23,Humboldt Park,168,159,114,111,0,51,0,51,0,51,0,51,0,51,114,111,91,85,23,61,0,51,23,61,54,74,0,51,0,51,0,51,0,51,0,51,54,74,25,60,29,68,29,68,0,51
24,West Town,231,109,108,81,0,62,0,62,0,62,0,62,0,62,108,81,94,79,14,65,0,62,14,65,123,92,14,62,14,62,0,62,0,62,0,62,109,85,83,83,26,65,17,64,9,63
25,Austin,142,152,83,120,28,68,28,68,0,61,0,61,0,61,55,98,55,98,0,61,0,61,0,61,59,73,13,64,13,64,0,61,0,61,0,61,46,71,46,71,0,61,0,61,0,61
26,West Garfield Park,14,45,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,14,45,0,35,0,35,0,35,0,35,0,35,14,45,14,45,0,35,0,35,0,35
27,East Garfield Park,13,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,13,43,0,38,0,38,0,38,0,38,0,38,13,43,13,43,0,38,0,38,0,38
28,Near West Side,161,112,96,90,12,54,12,54,0,52,0,52,0,52,84,86,43,67,41,75,41,75,0,52,65,63,9,52,9,52,0,52,0,52,0,52,56,61,49,59,7,53,0,52,7,53
29,North Lawndale,21,52,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,21,52,0,43,0,43,0,43,0,43,0,43,21,52,21,52,0,43,0,43,0,43
30,South Lawndale,318,177,159,97,45,59,45,59,0,48,0,48,0,48,114,67,23,49,91,66,32,48,59,56,159,99,61,60,61,60,0,48,0,48,0,48,98,66,27,56,71,58,31,51,40,52
31,Lower West Side,113,74,79,60,26,45,26,45,0,42,0,42,0,42,53,49,20,41,33,46,9,42,24,43,34,41,0,42,0,42,0,42,0,42,0,42,34,41,8,39,26,43,16,42,10,43
32,Loop,34,37,17,30,0,30,0,30,0,30,0,30,0,30,17,30,17,30,0,30,0,30,0,30,17,37,0,30,0,30,0,30,0,30,0,30,17,37,17,37,0,30,0,30,0,30
33,Near South Side,53,62,40,48,0,24,0,24,0,24,0,24,0,24,40,48,40,48,0,24,0,24,0,24,13,27,0,24,0,24,0,24,0,24,0,24,13,27,13,27,0,24,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,5,26,0,27,0,27,0,27,0,27,0,27,5,26,0,27,5,26,0,27,5,26
35,Douglas,22,38,13,35,0,35,0,35,0,35,0,35,0,35,13,35,13,35,0,35,0,35,0,35,9,38,0,35,0,35,0,35,0,35,0,35,9,38,0,35,9,38,0,35,9,38
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,1,41,0,43,0,43,0,43,0,43,0,43,1,41,1,41,0,43,0,43,0,43,13,46,0,43,0,43,0,43,0,43,0,43,13,46,13,46,0,43,0,43,0,43
39,Kenwood,73,63,22,37,9,33,9,33,0,31,0,31,0,31,13,35,13,35,0,31,0,31,0,31,51,60,0,31,0,31,0,31,0,31,0,31,51,60,51,60,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,93,75,52,56,20,45,10,39,10,39,10,39,0,38,32,50,32,50,0,38,0,38,0,38,41,49,9,39,9,39,0,38,0,38,0,38,32,43,22,42,10,39,10,39,0,38
42,Woodlawn,60,57,32,47,0,36,0,36,0,36,0,36,0,36,32,47,24,42,8,37,8,37,0,36,28,42,7,36,7,36,0,36,0,36,0,36,21,42,14,40,7,37,7,37,0,36
43,South Shore,108,86,45,65,0,44,0,44,0,44,0,44,0,44,45,65,45,65,0,44,0,44,0,44,63,72,0,44,0,44,0,44,0,44,0,44,63,72,63,72,0,44,0,44,0,44
44,Chatham,28,43,16,42,0,37,0,37,0,37,0,37,0,37,16,42,16,42,0,37,0,37,0,37,12,38,0,37,0,37,0,37,0,37,0,37,12,38,12,38,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,4,26,0,27,0,27,0,27,0,27,0,27,4,26,4,26,0,27,0,27,0,27,5,26,0,27,0,27,0,27,0,27,0,27,5,26,5,26,0,27,0,27,0,27
49,Roseland,20,54,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,20,54,20,54,20,54,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,7,25,0,25,0,25,0,25,0,25,0,25,7,25,7,25,0,25,0,25,0,25,10,27,0,25,0,25,0,25,0,25,0,25,10,27,10,27,0,25,0,25,0,25
52,East Side,80,67,36,51,0,29,0,29,0,29,0,29,0,29,36,51,36,51,0,29,0,29,0,29,44,45,7,33,7,33,0,29,0,29,0,29,37,42,29,43,8,28,0,29,8,28
53,West Pullman,27,47,13,42,0,39,0,39,0,39,0,39,0,39,13,42,13,42,0,39,0,39,0,39,14,45,9,41,9,41,0,39,0,39,0,39,5,38,5,38,0,39,0,39,0,39
54,Riverdale,3,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,3,13,0,16,0,16,0,16,0,16,0,16,3,13,3,13,0,16,0,16,0,16
55,Hegewisch,45,45,10,20,0,19,0,19,0,19,0,19,0,19,10,20,10,20,0,19,0,19,0,19,35,34,0,19,0,19,0,19,0,19,0,19,35,34,35,34,0,19,0,19,0,19
56,Garfield Ridge,17,45,17,45,0,42,0,42,0,42,0,42,0,42,17,45,17,45,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
57,Archer Heights,91,78,41,46,10,28,10,28,0,27,0,27,0,27,31,48,17,34,14,31,14,31,0,27,50,44,21,31,21,31,0,27,0,27,0,27,29,31,15,27,14,31,0,27,14,31
58,Brighton Park,109,91,54,53,9,44,9,44,0,43,0,43,0,43,45,49,12,46,33,46,11,43,22,46,55,62,8,45,8,45,0,43,0,43,0,43,47,59,21,45,26,48,0,43,26,48
59,McKinley Park,250,195,127,103,105,82,105,82,0,25,0,25,0,25,22,35,22,35,0,25,0,25,0,25,123,100,44,60,44,60,0,25,0,25,0,25,79,58,79,58,0,25,0,25,0,25
60,Bridgeport,226,180,112,81,17,42,17,42,0,37,0,37,0,37,95,70,77,66,18,43,0,37,18,43,114,126,65,78,65,78,0,37,0,37,0,37,49,67,49,67,0,37,0,37,0,37
61,New City,309,244,181,146,49,83,49,83,0,47,0,47,0,47,132,111,37,55,95,106,53,74,42,63,128,125,11,49,11,49,0,47,0,47,0,47,117,121,57,64,60,86,14,51,46,84
62,West Elsdon,18,29,10,30,0,27,0,27,0,27,0,27,0,27,10,30,0,27,10,30,10,30,0,27,8,27,0,27,0,27,0,27,0,27,0,27,8,27,8,27,0,27,0,27,0,27
63,Gage Park,129,152,76,109,45,85,45,85,0,41,0,41,0,41,31,49,17,46,14,44,0,41,14,44,53,71,0,41,0,41,0,41,0,41,0,41,53,71,39,69,14,44,0,41,14,44
64,Clearing,93,155,47,90,0,31,0,31,0,31,0,31,0,31,47,90,47,90,0,31,0,31,0,31,46,73,0,31,0,31,0,31,0,31,0,31,46,73,46,73,0,31,0,31,0,31
65,West Lawn,353,287,209,167,130,110,130,110,0,34,0,34,0,34,79,72,34,46,45,64,0,34,45,64,144,152,59,63,59,63,0,34,0,34,0,34,85,99,9,35,76,98,11,34,65,98
66,Chicago Lawn,118,129,59,76,24,59,24,59,0,49,0,49,0,49,35,56,9,49,26,56,2,48,24,50,59,78,24,59,24,59,0,49,0,49,0,49,35,60,11,50,24,51,0,49,24,51
67,West Englewood,21,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,21,51,0,48,0,48,0,48,0,48,0,48,21,51,21,51,0,48,0,48,0,48
68,Englewood,79,80,26,44,0,36,0,36,0,36,0,36,0,36,26,44,26,44,0,36,0,36,0,36,53,58,0,36,0,36,0,36,0,36,0,36,53,58,53,58,0,36,0,36,0,36
69,Greater Grand Crossing,211,107,127,75,0,38,0,38,0,38,0,38,0,38,127,75,127,75,0,38,0,38,0,38,84,75,0,38,0,38,0,38,0,38,0,38,84,75,84,75,0,38,0,38,0,38
70,Ashburn,152,183,96,118,23,50,23,50,0,41,0,41,0,41,73,89,10,40,63,85,12,42,51,81,56,77,22,49,22,49,0,41,0,41,0,41,34,52,0,41,34,52,0,41,34,52
71,Auburn Gresham,53,82,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,53,82,0,46,0,46,0,46,0,46,0,46,53,82,53,82,0,46,0,46,0,46
72,Beverly,24,30,14,31,7,30,7,30,0,29,0,29,0,29,7,30,7,30,0,29,0,29,0,29,10,28,0,29,0,29,0,29,0,29,0,29,10,28,10,28,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,18,37,0,25,0,25,0,25,0,25,0,25,18,37,18,37,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,51,42,51,42,0,31,0,31,0,31,0,31,0,31,51,42,51,42,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
76,O'Hare,46,64,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,46,64,0,38,0,38,0,38,0,38,0,38,46,64,30,60,16,46,16,46,0,38
77,Edgewater,149,131,55,77,0,48,0,48,0,48,0,48,0,48,55,77,42,67,13,51,13,51,0,48,94,90,25,62,25,62,0,48,0,48,0,48,69,71,56,69,13,51,13,51,0,48
