area_id,area_name,b14007c001,b14007c001_moe,b14007c002,b14007c002_moe,b14007c003,b14007c003_moe,b14007c004,b14007c004_moe,b14007c005,b14007c005_moe,b14007c006,b14007c006_moe,b14007c007,b14007c007_moe,b14007c008,b14007c008_moe,b14007c009,b14007c009_moe,b14007c010,b14007c010_moe,b14007c011,b14007c011_moe,b14007c012,b14007c012_moe,b14007c013,b14007c013_moe,b14007c014,b14007c014_moe,b14007c015,b14007c015_moe,b14007c016,b14007c016_moe,b14007c017,b14007c017_moe,b14007c018,b14007c018_moe,b14007c019,b14007c019_moe
53,West Pullman,27,47,14,45,0,39,0,39,0,39,0,39,0,39,0,39,4,38,0,39,5,38,0,39,0,39,0,39,0,39,0,39,5,38,0,39,13,42
54,Riverdale,3,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,3,13
55,Hegewisch,45,45,10,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,20,0,19,0,19,0,19,35,34
56,Garfield Ridge,17,45,4,41,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,4,41,13,45
57,Archer Heights,73,79,13,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,13,31,0,27,0,27,0,27,0,27,0,27,60,62
58,Brighton Park,105,88,17,50,0,43,0,43,0,43,4,43,5,43,0,43,0,43,0,43,4,43,0,43,0,43,0,43,0,43,0,43,4,43,0,43,88,81
59,McKinley Park,227,189,143,155,28,47,0,25,18,36,0,25,17,36,18,36,27,37,0,25,0,25,0,25,0,25,9,27,9,28,0,25,17,36,0,25,84,58
60,Bridgeport,226,180,82,89,0,37,0,37,0,37,0,37,0,37,0,37,38,63,0,37,0,37,0,37,0,37,22,47,22,47,0,37,0,37,0,37,144,110
61,New City,309,244,89,90,0,47,0,47,0,47,0,47,15,51,0,47,0,47,6,47,0,47,14,51,0,47,11,49,0,47,36,60,0,47,7,47,220,183
62,West Elsdon,18,29,10,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,10,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,8,27
63,Gage Park,129,152,49,67,0,41,0,41,0,41,0,41,0,41,0,41,0,41,14,44,0,41,15,45,0,41,0,41,0,41,0,41,20,49,0,41,80,96
64,Clearing,93,155,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,93,155
65,West Lawn,292,237,137,110,0,34,0,34,10,35,25,51,0,34,10,36,0,34,0,34,11,35,0,34,0,34,0,34,0,34,72,97,9,35,0,34,155,158
66,Chicago Lawn,106,115,24,58,0,49,0,49,0,49,0,49,0,49,0,49,0,49,12,49,0,49,12,50,0,49,0,49,0,49,0,49,0,49,0,49,82,91
67,West Englewood,21,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,21,51
68,Englewood,79,80,6,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,6,36,0,36,73,78
69,Greater Grand Crossing,211,107,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,211,107
70,Ashburn,152,183,45,74,0,41,0,41,0,41,0,41,0,41,23,50,0,41,0,41,0,41,0,41,0,41,0,41,22,49,0,41,0,41,0,41,107,125
71,Auburn Gresham,53,82,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,53,82
72,Beverly,24,30,7,30,0,29,7,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,17,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,18,37
75,Morgan Park,51,42,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,51,42
76,O'Hare,46,64,30,60,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,30,60,0,38,16,46
77,Edgewater,149,131,25,62,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,12,51,0,48,13,51,0,48,0,48,0,48,0,48,124,102
