area_id,area_name,b11002c001,b11002c001_moe,b11002c002,b11002c002_moe,b11002c003,b11002c003_moe,b11002c004,b11002c004_moe,b11002c005,b11002c005_moe,b11002c006,b11002c006_moe,b11002c007,b11002c007_moe,b11002c008,b11002c008_moe,b11002c009,b11002c009_moe,b11002c010,b11002c010_moe,b11002c011,b11002c011_moe,b11002c012,b11002c012_moe
20,Hermosa,21,46,21,46,21,46,21,46,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,368,353,368,353,316,348,316,348,0,38,0,38,0,38,0,38,52,70,43,61,9,40,0,38
22,Logan Square,144,156,130,156,130,156,130,156,0,57,0,57,0,57,0,57,0,57,0,57,0,57,14,57
23,Humboldt Park,232,218,203,213,45,92,45,92,0,51,158,199,158,199,0,51,0,51,0,51,0,51,29,68
24,West Town,275,163,168,155,0,62,0,62,0,62,72,122,61,109,11,64,96,113,96,113,0,62,107,82
25,Austin,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,249,190,163,174,150,173,150,173,0,52,13,54,13,54,0,52,0,52,0,52,0,52,86,93
29,North Lawndale,3,42,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,3,42
30,South Lawndale,412,261,280,175,139,117,139,117,0,48,64,110,64,110,0,48,77,95,68,88,9,49,132,199
31,Lower West Side,112,75,89,74,21,51,21,51,0,42,68,67,55,60,13,41,0,42,0,42,0,42,23,43
32,Loop,45,59,28,54,28,54,28,54,0,30,0,30,0,30,0,30,0,30,0,30,0,30,17,37
33,Near South Side,53,62,28,49,0,24,0,24,0,24,0,24,0,24,0,24,28,49,28,49,0,24,25,41
34,Armour Square,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
35,Douglas,7,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,7,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,13,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,13,46
39,Kenwood,97,102,57,94,0,31,0,31,0,31,0,31,0,31,0,31,57,94,57,94,0,31,40,50
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,53,56,8,38,8,38,8,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,45,55
42,Woodlawn,52,64,52,64,52,64,52,64,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
43,South Shore,173,157,142,152,75,124,75,124,0,44,43,93,43,93,0,44,24,55,24,55,0,44,31,60
44,Chatham,40,54,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,40,54
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,9,29,9,29,9,29,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,17,35,0,25,0,25,0,25,17,35,17,35,0,25,0,25,0,25,0,25,0,25
52,East Side,73,66,20,41,0,29,0,29,0,29,0,29,0,29,0,29,20,41,20,41,0,29,53,57
53,West Pullman,37,55,37,55,23,50,23,50,0,39,0,39,0,39,0,39,14,45,14,45,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,55,65,55,65,35,56,35,56,0,19,0,19,0,19,0,19,20,36,20,36,0,19,0,19
56,Garfield Ridge,10,43,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,10,43
57,Archer Heights,91,78,83,78,58,81,58,81,0,27,0,27,0,27,0,27,25,42,25,42,0,27,8,28
58,Brighton Park,109,91,97,90,26,57,26,57,0,43,45,70,45,70,0,43,26,59,21,55,5,43,12,46
59,McKinley Park,212,191,212,191,104,166,104,166,0,25,0,25,0,25,0,25,108,96,108,96,0,25,0,25
60,Bridgeport,210,183,192,181,0,37,0,37,0,37,60,86,60,86,0,37,132,164,132,164,0,37,18,43
61,New City,303,246,279,243,156,148,156,148,0,47,0,47,0,47,0,47,123,199,123,199,0,47,24,59
62,West Elsdon,40,68,40,68,40,68,40,68,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
63,Gage Park,126,152,126,152,53,93,53,93,0,41,73,128,59,107,14,44,0,41,0,41,0,41,0,41
64,Clearing,158,277,147,277,0,31,0,31,0,31,0,31,0,31,0,31,147,277,147,277,0,31,11,30
65,West Lawn,402,355,402,355,56,96,56,96,0,34,186,257,137,185,49,79,160,239,160,239,0,34,0,34
66,Chicago Lawn,123,160,90,151,90,151,84,133,6,57,0,49,0,49,0,49,0,49,0,49,0,49,33,70
67,West Englewood,32,58,20,55,0,48,0,48,0,48,0,48,0,48,0,48,20,55,20,55,0,48,12,50
68,Englewood,79,80,61,76,49,74,49,74,0,36,12,41,12,41,0,36,0,36,0,36,0,36,18,45
69,Greater Grand Crossing,255,143,239,141,84,118,84,118,0,38,0,38,0,38,0,38,155,86,155,86,0,38,16,44
70,Ashburn,152,183,152,183,118,171,118,171,0,41,34,64,34,64,0,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,85,98,42,70,0,46,0,46,0,46,0,46,0,46,0,46,42,70,42,70,0,46,43,82
72,Beverly,5,28,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,5,28
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,18,37
75,Morgan Park,131,85,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,131,85
76,O'Hare,16,46,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,16,46
77,Edgewater,219,198,105,173,105,173,105,173,0,48,0,48,0,48,0,48,0,48,0,48,0,48,114,107
