area_id,area_name,c21001d001,c21001d001_moe,c21001d002,c21001d002_moe,c21001d003,c21001d003_moe,c21001d004,c21001d004_moe,c21001d005,c21001d005_moe,c21001d006,c21001d006_moe,c21001d007,c21001d007_moe,c21001d008,c21001d008_moe,c21001d009,c21001d009_moe,c21001d010,c21001d010_moe,c21001d011,c21001d011_moe,c21001d012,c21001d012_moe,c21001d013,c21001d013_moe,c21001d014,c21001d014_moe,c21001d015,c21001d015_moe
46,South Chicago,51,64,51,64,51,64,0,37,51,64,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,14,31,0,27,14,31
49,Roseland,167,105,89,62,68,55,0,41,68,55,21,47,0,41,21,47,78,61,57,56,0,41,57,56,21,48,0,41,21,48
50,Pullman,32,43,14,21,14,21,0,19,14,21,0,19,0,19,0,19,18,27,18,27,0,19,18,27,0,19,0,19,0,19
51,South Deering,49,58,10,27,10,27,0,25,10,27,0,25,0,25,0,25,39,56,39,56,0,25,39,56,0,25,0,25,0,25
52,East Side,68,64,31,38,31,38,0,29,31,38,0,29,0,29,0,29,37,38,37,38,0,29,37,38,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,30,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,30,17,30,0,19,17,30,0,19,0,19,0,19
56,Garfield Ridge,501,253,191,115,149,90,7,42,142,90,42,53,0,42,42,53,310,157,267,140,0,42,267,140,43,50,0,42,43,50
57,Archer Heights,176,163,114,119,110,119,0,27,110,119,4,26,4,26,0,27,62,51,62,51,0,27,62,51,0,27,0,27,0,27
58,Brighton Park,2166,391,1101,218,1058,213,41,52,1017,216,43,48,0,43,43,48,1065,209,926,195,22,46,904,188,139,72,0,43,139,72
59,McKinley Park,2027,326,1021,179,940,170,7,26,933,170,81,51,0,25,81,51,1006,188,937,182,0,25,937,182,69,45,0,25,69,45
60,Bridgeport,9021,839,4506,496,4129,489,57,44,4072,486,377,117,0,37,377,117,4515,471,3999,456,0,37,3999,456,516,143,0,37,516,143
61,New City,368,118,195,69,195,69,0,47,195,69,0,47,0,47,0,47,173,73,173,73,0,47,173,73,0,47,0,47,0,47
62,West Elsdon,260,130,132,64,115,58,0,27,115,58,17,22,0,27,17,22,128,77,107,69,0,27,107,69,21,30,0,27,21,30
63,Gage Park,343,159,173,106,165,106,12,43,153,106,8,41,0,41,8,41,170,85,127,75,0,41,127,75,43,53,0,41,43,53
64,Clearing,160,191,40,53,35,54,0,31,35,54,5,30,0,31,5,30,120,146,115,145,0,31,115,145,5,31,0,31,5,31
65,West Lawn,95,88,38,51,18,39,0,34,18,39,20,44,0,34,20,44,57,64,41,49,0,34,41,49,16,41,0,34,16,41
66,Chicago Lawn,407,287,198,145,164,140,0,49,164,140,34,53,0,49,34,53,209,153,169,148,0,49,169,148,40,56,0,49,40,56
67,West Englewood,41,65,15,52,15,52,15,52,0,48,0,48,0,48,0,48,26,61,26,61,0,48,26,61,0,48,0,48,0,48
68,Englewood,21,40,6,36,6,36,0,36,6,36,0,36,0,36,0,36,15,37,15,37,0,36,15,37,0,36,0,36,0,36
69,Greater Grand Crossing,25,50,14,43,14,43,0,38,14,43,0,38,0,38,0,38,11,38,7,38,0,38,7,38,4,37,0,38,4,37
70,Ashburn,99,82,21,41,10,41,0,41,10,41,11,41,0,41,11,41,78,65,65,56,0,41,65,56,13,43,0,41,13,43
71,Auburn Gresham,57,93,24,60,11,47,0,46,11,47,13,50,0,46,13,50,33,62,24,61,0,46,24,61,9,47,0,46,9,47
72,Beverly,23,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,23,32,12,28,0,29,12,28,11,33,0,29,11,33
73,Washington Heights,2,30,1,30,1,30,0,33,1,30,0,33,0,33,0,33,1,29,0,33,0,33,0,33,1,29,0,33,1,29
74,Mount Greenwood,117,99,38,38,38,38,0,25,38,38,0,25,0,25,0,25,79,72,55,47,0,25,55,47,24,42,0,25,24,42
75,Morgan Park,124,91,49,51,29,48,0,31,29,48,20,35,6,30,14,36,75,72,61,70,0,31,61,70,14,35,0,31,14,35
76,O'Hare,1018,385,491,201,470,200,0,38,470,200,21,44,12,42,9,40,527,243,518,243,0,38,518,243,9,39,0,38,9,39
77,Edgewater,6141,817,2913,409,2518,359,39,63,2479,358,395,150,44,60,351,144,3228,578,2717,542,0,48,2717,542,511,165,0,48,511,165
