area_id,area_name,c27001g001,c27001g001_moe,c27001g002,c27001g002_moe,c27001g003,c27001g003_moe,c27001g004,c27001g004_moe,c27001g005,c27001g005_moe,c27001g006,c27001g006_moe,c27001g007,c27001g007_moe,c27001g008,c27001g008_moe,c27001g009,c27001g009_moe,c27001g010,c27001g010_moe
35,Douglas,190,87,39,46,39,46,0,35,119,65,106,62,13,39,32,48,32,48,0,35
36,Oakland,25,37,22,38,22,38,0,19,3,16,3,16,0,19,0,19,0,19,0,19
37,Fuller Park,22,35,22,35,22,35,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,311,126,90,74,68,65,22,47,171,84,127,75,44,53,50,56,50,56,0,43
39,Kenwood,349,161,156,106,156,106,0,31,112,65,102,65,10,30,81,74,81,74,0,31
40,Washington Park,128,101,68,76,68,76,0,27,60,52,36,37,24,35,0,27,0,27,0,27
41,Hyde Park,836,211,273,117,261,115,12,42,520,161,461,153,59,60,43,47,43,47,0,38
42,Woodlawn,369,134,131,95,131,95,0,36,220,94,205,92,15,37,18,41,18,41,0,36
43,South Shore,1068,422,397,221,397,221,0,44,560,250,367,187,193,165,111,78,111,78,0,44
44,Chatham,453,272,155,186,148,185,7,37,286,149,257,130,29,59,12,40,12,40,0,37
45,Avalon Park,84,57,15,29,15,29,0,19,44,39,44,39,0,19,25,28,25,28,0,19
46,South Chicago,326,179,58,57,58,57,0,37,238,156,231,156,7,38,30,44,30,44,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,71,67,16,33,16,33,0,27,55,52,26,34,29,37,0,27,0,27,0,27
49,Roseland,582,287,247,190,247,190,0,41,264,142,137,82,127,124,71,66,71,66,0,41
50,Pullman,35,36,21,29,21,29,0,19,0,19,0,19,0,19,14,29,14,29,0,19
51,South Deering,305,256,167,198,167,198,0,25,94,70,88,70,6,22,44,49,44,49,0,25
52,East Side,578,245,259,184,249,183,10,32,311,133,214,103,97,67,8,28,8,28,0,29
53,West Pullman,230,185,108,150,108,150,0,39,99,107,86,107,13,40,23,43,23,43,0,39
54,Riverdale,3,13,3,13,3,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,345,274,243,257,72,58,171,250,102,78,83,72,19,34,0,19,0,19,0,19
56,Garfield Ridge,964,350,424,206,424,206,0,42,500,181,492,177,8,51,40,50,40,50,0,42
57,Archer Heights,99,74,44,61,44,61,0,27,52,43,43,44,9,26,3,25,3,25,0,27
58,Brighton Park,373,223,162,101,162,101,0,43,193,146,62,63,131,115,18,50,18,50,0,43
59,McKinley Park,367,248,173,106,173,106,0,25,194,161,158,122,36,50,0,25,0,25,0,25
60,Bridgeport,853,272,514,205,514,205,0,37,302,130,177,110,125,99,37,51,37,51,0,37
61,New City,803,397,506,265,499,264,7,47,276,158,218,148,58,60,21,52,21,52,0,47
62,West Elsdon,184,108,116,84,116,84,0,27,59,60,32,46,27,47,9,26,9,26,0,27
63,Gage Park,439,235,259,163,257,162,2,39,180,114,137,109,43,49,0,41,0,41,0,41
64,Clearing,535,303,288,210,288,210,0,31,240,142,104,76,136,119,7,31,7,31,0,31
65,West Lawn,1301,657,762,505,747,502,15,39,523,210,287,158,236,152,16,41,16,41,0,34
66,Chicago Lawn,616,273,339,165,339,165,0,49,277,145,184,106,93,75,0,49,0,49,0,49
67,West Englewood,509,229,241,139,236,139,5,47,239,132,196,119,43,59,29,51,29,51,0,48
68,Englewood,162,104,70,92,70,92,0,36,75,55,75,55,0,36,17,39,17,39,0,36
69,Greater Grand Crossing,227,142,83,78,79,78,4,37,121,95,101,84,20,42,23,45,23,45,0,38
70,Ashburn,607,255,373,206,373,206,0,41,205,124,132,93,73,70,29,43,29,43,0,41
71,Auburn Gresham,301,171,90,95,90,95,0,46,172,107,101,84,71,80,39,56,39,56,0,46
72,Beverly,366,186,192,163,180,162,12,34,156,78,144,76,12,34,18,32,18,32,0,29
73,Washington Heights,184,119,59,71,59,71,0,33,103,90,78,77,25,55,22,35,22,35,0,33
74,Mount Greenwood,179,106,92,83,92,83,0,25,87,46,66,37,21,35,0,25,0,25,0,25
75,Morgan Park,359,169,147,114,147,114,0,31,159,75,127,66,32,48,53,48,53,48,0,31
76,O'Hare,454,273,188,136,175,136,13,41,255,163,255,163,0,38,11,40,0,38,11,40
77,Edgewater,1923,524,343,162,343,162,0,48,1389,434,1239,405,150,117,191,126,185,126,6,48
