area_id,area_name,b25032d001,b25032d001_moe,b25032d002,b25032d002_moe,b25032d003,b25032d003_moe,b25032d004,b25032d004_moe,b25032d005,b25032d005_moe,b25032d006,b25032d006_moe,b25032d007,b25032d007_moe,b25032d008,b25032d008_moe,b25032d009,b25032d009_moe,b25032d010,b25032d010_moe,b25032d011,b25032d011_moe
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,169,82,160,80,0,42,9,43,0,42,0,42,0,42,0,42,0,42,0,42,0,42
57,Archer Heights,57,49,57,49,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,733,136,649,131,22,47,25,42,37,49,0,43,0,43,0,43,0,43,0,43,0,43
59,McKinley Park,815,128,414,92,82,54,175,75,41,28,87,56,0,25,0,25,16,33,0,25,0,25
60,Bridgeport,3454,276,1199,172,236,75,795,169,825,185,298,116,44,51,42,54,10,38,5,37,0,37
61,New City,183,62,138,58,9,48,0,47,0,47,0,47,6,46,0,47,30,50,0,47,0,47
62,West Elsdon,109,50,78,43,23,31,4,26,0,27,4,23,0,27,0,27,0,27,0,27,0,27
63,Gage Park,148,66,43,45,0,41,42,48,30,49,24,47,9,40,0,41,0,41,0,41,0,41
64,Clearing,41,50,15,27,0,31,0,31,26,52,0,31,0,31,0,31,0,31,0,31,0,31
65,West Lawn,38,48,9,35,0,34,0,34,0,34,0,34,0,34,29,45,0,34,0,34,0,34
66,Chicago Lawn,126,86,91,74,0,49,1,47,0,49,0,49,10,49,0,49,24,62,0,49,0,49
67,West Englewood,41,65,0,48,0,48,0,48,26,61,0,48,15,52,0,48,0,48,0,48,0,48
68,Englewood,3,35,3,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,8,39,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,0,38,0,38
70,Ashburn,21,41,10,41,0,41,11,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,10,47,10,47,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,16,32,5,28,0,29,0,29,0,29,11,33,0,29,0,29,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,17,34,17,34,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,57,69,19,35,0,31,0,31,0,31,0,31,0,31,38,68,0,31,0,31,0,31
76,O'Hare,485,173,0,38,0,38,0,38,0,38,202,114,0,38,84,86,199,114,0,38,0,38
77,Edgewater,2952,368,133,97,48,62,160,89,201,107,297,146,142,103,438,153,1533,270,0,48,0,48
