area_id,area_name,b12002g001,b12002g001_moe,b12002g002,b12002g002_moe,b12002g003,b12002g003_moe,b12002g004,b12002g004_moe,b12002g005,b12002g005_moe,b12002g006,b12002g006_moe,b12002g007,b12002g007_moe,b12002g008,b12002g008_moe,b12002g009,b12002g009_moe,b12002g010,b12002g010_moe,b12002g011,b12002g011_moe,b12002g012,b12002g012_moe,b12002g013,b12002g013_moe
53,West Pullman,175,129,102,108,16,46,86,105,0,39,0,39,0,39,73,62,50,57,14,40,0,39,0,39,9,38
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,126,88,85,68,60,55,7,21,0,19,0,19,18,30,41,33,16,27,13,22,12,24,0,19,0,19
56,Garfield Ridge,560,193,227,123,98,77,115,70,4,41,0,42,10,43,333,143,167,105,109,72,11,45,23,45,23,55
57,Archer Heights,66,47,27,31,27,31,0,27,0,27,0,27,0,27,39,33,22,27,17,29,0,27,0,27,0,27
58,Brighton Park,233,151,150,102,98,83,38,51,0,43,0,43,14,45,83,74,31,52,46,51,0,43,0,43,6,42
59,McKinley Park,204,163,95,92,34,34,61,71,0,25,0,25,0,25,109,90,59,68,41,62,0,25,9,27,0,25
60,Bridgeport,415,151,192,111,146,101,24,38,0,37,0,37,22,43,223,98,171,91,31,41,0,37,8,37,13,38
61,New City,354,197,141,95,42,62,92,75,0,47,0,47,7,47,213,136,97,99,88,65,0,47,0,47,28,52
62,West Elsdon,68,59,22,42,22,42,0,27,0,27,0,27,0,27,46,50,16,35,10,29,0,27,0,27,20,29
63,Gage Park,196,125,103,66,47,43,56,55,0,41,0,41,0,41,93,78,47,56,46,51,0,41,0,41,0,41
64,Clearing,247,143,127,74,32,44,76,65,0,31,0,31,19,35,120,90,45,70,63,64,0,31,12,32,0,31
65,West Lawn,573,217,254,172,103,94,141,128,10,37,0,34,0,34,319,125,138,87,93,60,16,36,40,48,32,39
66,Chicago Lawn,284,150,136,89,48,58,88,81,0,49,0,49,0,49,148,98,94,73,51,54,0,49,0,49,3,47
67,West Englewood,289,152,224,128,114,106,75,65,25,58,0,48,10,49,65,71,52,71,4,47,0,48,0,48,9,48
68,Englewood,97,59,49,50,40,49,9,37,0,36,0,36,0,36,48,43,19,39,21,40,0,36,8,37,0,36
69,Greater Grand Crossing,159,105,62,56,31,48,17,45,0,38,0,38,14,40,97,81,36,54,0,38,11,40,20,44,30,55
70,Ashburn,312,160,81,65,38,56,22,43,0,41,0,41,21,43,231,135,155,117,44,45,0,41,20,44,12,44
71,Auburn Gresham,211,118,96,84,21,53,19,52,51,75,0,46,5,45,115,77,31,55,19,52,9,47,37,59,19,52
72,Beverly,204,93,78,58,47,52,31,38,0,29,0,29,0,29,126,67,50,57,50,41,0,29,0,29,26,32
73,Washington Heights,162,111,48,68,37,68,11,33,0,33,0,33,0,33,114,91,75,86,20,37,0,33,5,32,14,38
74,Mount Greenwood,87,46,17,27,5,22,1,23,0,25,0,25,11,29,70,43,24,30,35,35,0,25,0,25,11,28
75,Morgan Park,237,102,63,55,34,38,8,33,0,31,0,31,21,37,174,79,81,63,35,37,0,31,36,39,22,35
76,O'Hare,266,164,151,129,0,38,151,129,0,38,0,38,0,38,115,104,0,38,27,46,60,94,0,38,28,48
77,Edgewater,1592,465,829,322,626,294,116,76,0,48,0,48,87,87,763,282,433,181,98,72,33,60,121,133,78,80
