area_id,area_name,b11001g001,b11001g001_moe,b11001g002,b11001g002_moe,b11001g003,b11001g003_moe,b11001g004,b11001g004_moe,b11001g005,b11001g005_moe,b11001g006,b11001g006_moe,b11001g007,b11001g007_moe,b11001g008,b11001g008_moe,b11001g009,b11001g009_moe
BX99,park-cemetery-etc-Bronx,27,41,27,41,27,41,0,32,0,32,0,32,0,32,0,32,0,32
MN01,Marble Hill-Inwood,923,219,371,131,132,78,239,106,63,68,176,89,552,186,361,140,191,131
MN03,Central Harlem North-Polo Grounds,1632,282,770,205,249,129,521,168,31,65,490,165,862,200,714,179,148,99
MN04,Hamilton Heights,2660,418,1746,349,427,178,1319,303,278,154,1041,261,914,248,703,202,211,153
MN06,Manhattanville,923,208,436,154,171,108,265,110,75,66,190,91,487,159,320,134,167,106
MN09,Morningside Heights,645,168,260,110,140,85,120,80,0,45,120,80,385,131,294,119,91,67
MN11,Central Harlem South,514,129,311,101,75,56,236,87,21,46,215,87,203,83,160,73,43,55
MN12,Upper West Side,1724,333,473,175,304,130,169,129,98,111,71,84,1251,290,958,246,293,155
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,1158,293,315,131,231,119,84,78,22,59,62,73,843,267,701,249,142,111
MN14,Lincoln Square,508,194,254,148,110,88,144,126,0,48,144,126,254,138,198,114,56,88
MN15,Clinton,899,243,205,123,124,91,81,82,0,43,81,82,694,208,603,204,91,67
MN17,Midtown-Midtown South,409,131,106,82,101,82,5,50,0,51,5,50,303,119,228,99,75,82
MN19,Turtle Bay-East Midtown,385,132,84,76,42,59,42,68,28,64,14,50,301,114,245,103,56,73
MN20,Murray Hill-Kips Bay,474,185,148,93,108,79,40,53,0,42,40,53,326,148,259,138,67,60
MN21,Gramercy,194,100,40,41,35,40,5,31,0,34,5,31,154,93,91,64,63,75
MN22,East Village,487,164,79,62,61,59,18,39,0,40,18,39,408,156,347,147,61,59
MN23,West Village,880,277,121,93,103,88,18,60,6,58,12,58,759,266,484,214,275,162
MN24,SoHo-TriBeCa-Civic Center-Little Italy,353,140,86,57,74,55,12,44,0,42,12,44,267,132,220,125,47,51
MN25,Battery Park City-Lower Manhattan,352,152,98,85,90,83,8,40,0,42,8,40,254,132,201,115,53,74
MN27,Chinatown,386,144,183,110,63,69,120,93,20,52,100,89,203,95,158,88,45,51
MN28,Lower East Side,1256,243,658,169,219,97,439,147,126,106,313,113,598,174,483,160,115,82
MN31,Lenox Hill-Roosevelt Island,617,215,216,126,112,81,104,113,28,66,76,106,401,186,332,182,69,69
MN32,Yorkville,497,186,176,125,85,97,91,90,38,60,53,84,321,145,232,131,89,70
MN33,East Harlem South,785,216,438,154,197,100,241,123,34,61,207,113,347,153,260,133,87,88
MN34,East Harlem North,679,194,440,169,139,90,301,145,28,59,273,141,239,96,190,83,49,65
MN35,Washington Heights North,783,191,403,126,208,93,195,95,21,57,174,88,380,145,350,144,30,56
MN36,Washington Heights South,1707,292,839,201,298,110,541,172,153,109,388,139,868,222,697,203,171,100
MN40,Upper East Side-Carnegie Hill,208,98,69,73,25,55,44,71,13,55,31,69,139,81,117,77,22,57
MN50,Stuyvesant Town-Cooper Village,109,75,12,22,0,22,12,22,0,22,12,22,97,73,73,67,24,30
MN99,park-cemetery-etc-Manhattan,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN01,South Jamaica,364,106,291,97,111,58,180,86,20,48,160,85,73,59,53,56,20,49
QN02,Springfield Gardens North,59,52,33,47,33,47,0,31,0,31,0,31,26,38,26,38,0,31
QN03,Springfield Gardens South-Brookville,140,84,74,56,27,42,47,45,5,29,42,43,66,67,66,67,0,29
QN05,Rosedale,202,98,151,85,64,56,87,67,0,35,87,67,51,56,25,42,26,51
QN06,Jamaica Estates-Holliswood,408,130,223,99,169,94,54,53,0,36,54,53,185,85,172,83,13,40
QN07,Hollis,301,104,282,102,142,75,140,77,17,38,123,75,19,38,19,38,0,36
QN08,St. Albans,339,104,193,84,84,71,109,69,23,57,86,69,146,79,123,75,23,63
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,69,56,69,56,47,53,22,40,0,36,22,40,0,36,0,36,0,36
QN12,Hammels-Arverne-Edgemere,220,97,118,79,79,68,39,51,10,39,29,50,102,66,102,66,0,38
QN15,Far Rockaway-Bayswater,496,149,267,109,193,99,74,56,0,46,74,56,229,107,191,103,38,52
QN17,Forest Hills,851,209,414,148,234,114,180,112,28,69,152,109,437,148,428,148,9,64
QN18,Rego Park,293,103,185,80,138,75,47,44,13,38,34,39,108,76,79,63,29,54
QN19,Glendale,138,70,93,65,75,63,18,46,8,44,10,45,45,48,34,46,11,45
QN20,Ridgewood,440,132,368,121,239,104,129,78,67,73,62,64,72,71,64,70,8,56
QN21,Middle Village,74,71,61,71,55,71,6,51,0,51,6,51,13,50,13,50,0,51
QN22,Flushing,645,187,514,167,366,147,148,86,47,63,101,79,131,94,83,77,48,75
QN23,College Point,86,51,76,49,60,44,16,40,0,34,16,40,10,34,10,34,0,34
QN25,Corona,380,160,286,132,172,108,114,83,41,62,73,70,94,78,79,74,15,46
QN26,North Corona,262,113,247,110,140,94,107,65,36,51,71,57,15,50,0,45,15,50
QN27,East Elmhurst,184,85,103,64,46,47,57,53,23,37,34,49,81,55,50,55,31,34
QN28,Jackson Heights,1059,231,779,204,482,164,297,131,50,72,247,125,280,112,198,95,82,81
QN29,Elmhurst,467,146,312,114,233,103,79,74,59,72,20,62,155,98,144,94,11,60
QN30,Maspeth,92,62,51,57,18,44,33,57,5,44,28,58,41,51,10,46,31,50
QN31,Hunters Point-Sunnyside-West Maspeth,638,154,401,124,344,121,57,62,24,59,33,60,237,105,192,95,45,66
QN33,Cambria Heights,48,45,37,42,27,44,10,42,0,43,10,42,11,46,11,46,0,43
QN34,Queens Village,914,184,704,161,412,120,292,117,89,70,203,106,210,107,148,90,62,79
QN35,Briarwood-Jamaica Hills,664,178,421,135,276,107,145,89,42,60,103,79,243,119,235,118,8,47
QN37,Kew Gardens Hills,398,132,283,111,178,89,105,71,0,40,105,71,115,77,115,77,0,40
QN38,Pomonok-Flushing Heights-Hillcrest,282,123,176,100,161,99,15,41,0,37,15,41,106,88,86,82,20,48
QN41,Fresh Meadows-Utopia,102,66,79,54,71,53,8,28,0,27,8,28,23,43,23,43,0,27
QN42,Oakland Gardens,217,124,177,120,113,97,64,78,0,34,64,78,40,42,32,41,8,35
QN43,Bellerose,150,77,130,73,111,69,19,37,15,38,4,33,20,36,20,36,0,34
QN44,Glen Oaks-Floral Park-New Hyde Park,285,109,154,75,98,61,56,45,10,33,46,43,131,84,131,84,0,32
QN45,Douglas Manor-Douglaston-Little Neck,61,45,23,37,23,37,0,34,0,34,0,34,38,42,0,34,38,42
QN46,Bayside-Bayside Hills,269,121,213,114,139,91,74,87,0,51,74,87,56,61,38,56,18,57
QN47,Ft. Totten-Bay Terrace-Clearview,90,86,69,79,69,79,0,34,0,34,0,34,21,44,21,44,0,34
QN48,Auburndale,94,55,89,55,68,48,21,37,0,32,21,37,5,30,5,30,0,32
QN49,Whitestone,186,102,146,97,85,74,61,77,0,38,61,77,40,48,40,48,0,38
QN50,Elmhurst-Maspeth,99,53,69,50,49,44,20,35,0,34,20,35,30,37,20,37,10,33
QN51,Murray Hill,307,136,256,130,236,128,20,51,0,50,20,51,51,59,51,59,0,50
QN52,East Flushing,177,94,149,89,127,85,22,48,9,42,13,47,28,50,28,50,0,42
QN53,Woodhaven,895,187,690,162,477,136,213,95,60,76,153,75,205,101,152,88,53,71
QN54,Richmond Hill,673,145,624,141,506,129,118,72,14,61,104,71,49,65,37,65,12,60
QN55,South Ozone Park,1258,223,1089,197,761,158,328,126,103,78,225,115,169,115,146,109,23,72
QN56,Ozone Park,340,125,304,119,221,107,83,61,61,58,22,37,36,42,28,43,8,34
QN57,Lindenwood-Howard Beach,226,150,226,150,214,148,12,36,0,34,12,36,0,34,0,34,0,34
QN60,Kew Gardens,169,81,100,65,89,62,11,37,0,34,11,37,69,52,54,47,15,38
QN61,Jamaica,833,175,610,147,336,115,274,98,77,64,197,85,223,103,183,97,40,58
QN62,Queensboro Hill,102,64,72,60,61,57,11,33,11,33,0,29,30,35,30,35,0,29
QN63,Woodside,314,128,198,103,175,97,23,55,0,50,23,55,116,89,60,63,56,78
QN66,Laurelton,101,47,67,48,20,40,47,43,0,40,47,43,34,38,29,39,5,39
QN68,Queensbridge-Ravenswood-Long Island City,137,74,81,60,38,42,43,56,12,41,31,55,56,54,56,54,0,38
QN70,Astoria,622,152,301,104,229,98,72,68,6,60,66,68,321,120,237,108,84,75
QN71,Old Astoria,244,95,117,72,31,41,86,68,24,47,62,60,127,65,118,62,9,35
QN72,Steinway,302,120,198,100,163,94,35,61,0,51,35,61,104,83,45,77,59,59
QN76,Baisley Park,227,74,207,73,64,53,143,63,44,49,99,59,20,47,20,47,0,48
QN98,Airport,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
QN99,park-cemetery-etc-Queens,10,49,10,49,10,49,0,48,0,48,0,48,0,48,0,48,0,48
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,73,72,73,72,19,45,54,66,32,59,22,45,0,34,0,34,0,34
SI05,New Springville-Bloomfield-Travis,65,57,57,56,41,56,16,43,8,43,8,43,8,44,8,44,0,43
SI07,Westerleigh,120,65,63,49,48,48,15,38,0,36,15,38,57,51,57,51,0,36
SI08,Grymes Hill-Clifton-Fox Hills,169,90,119,79,79,60,40,56,0,28,40,56,50,51,50,51,0,28
SI11,Charleston-Richmond Valley-Tottenville,120,76,107,75,38,37,69,71,10,31,59,71,13,34,13,34,0,32
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,389,147,359,146,183,96,176,113,66,80,110,88,30,40,30,40,0,38
SI14,Grasmere-Arrochar-Ft. Wadsworth,21,34,21,34,13,32,8,29,0,27,8,29,0,27,0,27,0,27
SI22,West New Brighton-New Brighton-St. George,374,137,170,84,71,62,99,65,9,40,90,65,204,114,191,112,13,44
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,118,89,55,55,32,46,23,40,0,38,23,40,63,78,63,78,0,38
SI25,Oakwood-Oakwood Beach,61,58,61,58,50,55,11,32,11,32,0,32,0,32,0,32,0,32
SI28,Port Richmond,115,82,102,80,72,66,30,39,0,32,30,39,13,33,0,32,13,33
SI32,Rossville-Woodrow,42,42,42,42,42,42,0,29,0,29,0,29,0,29,0,29,0,29
SI35,New Brighton-Silver Lake,110,68,71,55,39,43,32,41,0,27,32,41,39,48,39,48,0,27
SI36,Old Town-Dongan Hills-South Beach,142,79,71,56,45,51,26,40,0,32,26,40,71,65,71,65,0,32
SI37,Stapleton-Rosebank,213,96,139,85,73,63,66,65,0,38,66,65,74,52,48,44,26,42
SI45,New Dorp-Midland Beach,82,77,36,52,9,32,27,50,0,29,27,50,46,62,0,29,46,62
SI48,Arden Heights,12,33,12,33,0,29,12,33,12,33,0,29,0,29,0,29,0,29
SI54,Great Kills,68,60,53,55,39,54,14,43,0,42,14,43,15,45,15,45,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
