area_id,area_name,b07004f001,b07004f001_moe,b07004f002,b07004f002_moe,b07004f003,b07004f003_moe,b07004f004,b07004f004_moe,b07004f005,b07004f005_moe,b07004f006,b07004f006_moe
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2502,724,2387,719,29,58,11,55,62,94,13,55
MN14,Lincoln Square,922,527,843,523,69,78,10,49,0,48,0,48
MN15,Clinton,2567,712,2280,663,127,104,99,102,34,68,27,59
MN17,Midtown-Midtown South,519,229,383,211,108,93,8,52,0,51,20,54
MN19,Turtle Bay-East Midtown,344,146,266,136,56,60,7,46,0,48,15,50
MN20,Murray Hill-Kips Bay,1972,780,1438,742,119,129,0,42,268,228,147,146
MN21,Gramercy,549,243,512,241,25,33,12,39,0,34,0,34
MN22,East Village,1421,406,1135,341,121,100,46,42,119,185,0,40
MN23,West Village,1128,472,852,443,109,101,0,56,53,70,114,107
MN24,SoHo-TriBeCa-Civic Center-Little Italy,811,356,747,351,36,58,0,42,28,57,0,42
MN25,Battery Park City-Lower Manhattan,1475,1123,1254,1109,27,50,127,145,42,77,25,56
MN27,Chinatown,3375,763,3072,743,89,63,124,100,14,48,76,74
MN28,Lower East Side,14509,1631,13626,1580,487,497,250,189,111,119,35,65
MN31,Lenox Hill-Roosevelt Island,889,375,770,365,32,57,19,64,68,87,0,53
MN32,Yorkville,1571,563,1139,489,206,146,175,235,31,67,20,62
MN33,East Harlem South,11051,1426,10151,1295,332,329,457,467,49,65,62,85
MN34,East Harlem North,18512,1834,17535,1767,670,462,229,232,37,90,41,57
MN35,Washington Heights North,27715,2321,24954,2241,1564,736,462,352,338,278,397,209
MN36,Washington Heights South,38859,2912,35195,2743,2455,734,499,277,137,111,573,272
MN40,Upper East Side-Carnegie Hill,264,178,262,178,2,50,0,52,0,52,0,52
MN50,Stuyvesant Town-Cooper Village,529,330,372,285,72,97,0,22,50,58,35,58
MN99,park-cemetery-etc-Manhattan,136,122,41,74,42,59,37,73,0,32,16,44
QN01,South Jamaica,5197,1006,4264,852,451,337,325,344,142,219,15,48
QN02,Springfield Gardens North,1243,771,791,535,239,277,20,41,0,31,193,309
QN03,Springfield Gardens South-Brookville,434,208,259,164,108,87,51,54,0,29,16,43
QN05,Rosedale,307,177,298,176,0,35,9,36,0,35,0,35
QN06,Jamaica Estates-Holliswood,1703,470,1621,462,79,91,0,36,0,36,3,34
QN07,Hollis,1920,512,1739,482,90,80,14,40,27,56,50,70
QN08,St. Albans,1725,489,1497,467,137,101,23,67,28,66,40,76
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,717,366,635,355,67,88,15,39,0,36,0,36
QN12,Hammels-Arverne-Edgemere,2863,712,2683,696,99,80,46,70,0,38,35,58
QN15,Far Rockaway-Bayswater,3871,1063,3117,943,310,185,245,246,0,46,199,252
QN17,Forest Hills,3810,794,3185,657,215,163,116,111,253,402,41,72
QN18,Rego Park,963,281,796,249,68,59,46,62,0,34,53,81
QN19,Glendale,1460,492,1402,489,23,47,2,42,33,66,0,43
QN20,Ridgewood,5959,987,5615,976,157,108,84,64,44,65,59,83
QN21,Middle Village,1230,545,901,450,311,270,18,51,0,51,0,51
QN22,Flushing,3845,1032,3225,972,503,371,85,106,11,55,21,60
QN23,College Point,5272,1004,4193,969,931,440,41,59,65,80,42,74
QN25,Corona,11250,1695,9751,1536,1332,631,124,145,15,48,28,61
QN26,North Corona,17201,1906,15178,1778,1634,534,211,125,22,56,156,125
QN27,East Elmhurst,9691,1213,8526,1144,962,393,34,64,122,140,47,58
QN28,Jackson Heights,21932,2273,19920,2149,1425,726,264,226,144,146,179,119
QN29,Elmhurst,6901,1249,5864,1066,706,547,58,71,16,64,257,253
QN30,Maspeth,2083,493,1781,470,149,102,92,112,55,63,6,45
QN31,Hunters Point-Sunnyside-West Maspeth,5418,1018,4650,897,381,324,222,143,57,81,108,108
QN33,Cambria Heights,123,94,123,94,0,43,0,43,0,43,0,43
QN34,Queens Village,4315,758,3647,699,574,236,94,161,0,56,0,56
QN35,Briarwood-Jamaica Hills,7226,1084,6643,1066,311,205,196,139,61,83,15,49
QN37,Kew Gardens Hills,1686,456,1676,454,10,42,0,40,0,40,0,40
QN38,Pomonok-Flushing Heights-Hillcrest,3256,784,2826,737,90,100,68,59,202,270,70,114
QN41,Fresh Meadows-Utopia,1013,501,715,418,136,183,70,110,64,102,28,57
QN42,Oakland Gardens,442,304,442,304,0,34,0,34,0,34,0,34
QN43,Bellerose,1673,588,1542,582,63,77,0,34,68,86,0,34
QN44,Glen Oaks-Floral Park-New Hyde Park,581,238,565,238,1,27,15,33,0,32,0,32
QN45,Douglas Manor-Douglaston-Little Neck,621,326,552,302,55,69,14,35,0,34,0,34
QN46,Bayside-Bayside Hills,2370,668,2209,653,121,115,40,58,0,51,0,51
QN47,Ft. Totten-Bay Terrace-Clearview,945,728,700,621,0,34,231,371,14,40,0,34
QN48,Auburndale,882,364,628,276,249,240,5,30,0,32,0,32
QN49,Whitestone,1014,389,770,308,65,84,0,38,77,127,102,150
QN50,Elmhurst-Maspeth,1943,591,1746,567,94,89,0,34,0,34,103,98
QN51,Murray Hill,3621,827,3251,773,326,313,0,50,2,48,42,84
QN52,East Flushing,1745,460,1594,415,80,126,30,60,7,41,34,61
QN53,Woodhaven,17179,1566,14411,1470,1621,525,767,304,178,170,202,265
QN54,Richmond Hill,16933,1581,14980,1499,1267,390,210,146,261,214,215,161
QN55,South Ozone Park,21564,1886,19847,1825,1345,573,251,163,71,104,50,75
QN56,Ozone Park,4334,1090,3880,926,130,98,323,310,0,36,1,32
QN57,Lindenwood-Howard Beach,1301,559,1270,559,31,44,0,34,0,34,0,34
QN60,Kew Gardens,2808,752,2685,745,64,77,38,67,0,34,21,47
QN61,Jamaica,15433,1565,13848,1509,1309,388,43,81,73,124,160,158
QN62,Queensboro Hill,1378,376,1337,376,41,55,0,29,0,29,0,29
QN63,Woodside,4979,1199,4654,1162,222,211,57,103,0,50,46,60
QN66,Laurelton,124,81,101,71,0,40,13,42,0,40,10,41
QN68,Queensbridge-Ravenswood-Long Island City,3339,732,3134,714,142,101,53,56,0,38,10,39
QN70,Astoria,5961,1028,5574,1010,219,128,116,99,31,66,21,73
QN71,Old Astoria,3580,850,3234,831,204,150,21,34,11,36,110,96
QN72,Steinway,3775,673,3194,638,357,213,100,95,56,80,68,91
QN76,Baisley Park,3472,744,3303,742,118,138,38,77,0,48,13,51
QN98,Airport,0,17,0,17,0,17,0,17,0,17,0,17
QN99,park-cemetery-etc-Queens,4,47,0,48,4,47,0,48,0,48,0,48
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,103,87,103,87,0,34,0,34,0,34,0,34
SI05,New Springville-Bloomfield-Travis,916,557,529,298,375,472,1,42,11,55,0,43
SI07,Westerleigh,600,437,594,436,6,35,0,36,0,36,0,36
SI08,Grymes Hill-Clifton-Fox Hills,1436,620,1297,606,88,75,51,59,0,28,0,28
SI11,Charleston-Richmond Valley-Tottenville,347,405,331,403,0,32,16,40,0,32,0,32
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,3344,820,2793,711,374,361,177,236,0,38,0,38
SI14,Grasmere-Arrochar-Ft. Wadsworth,370,252,370,252,0,27,0,27,0,27,0,27
SI22,West New Brighton-New Brighton-St. George,2649,771,2362,750,181,219,98,90,8,40,0,40
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,530,362,362,246,168,266,0,38,0,38,0,38
SI25,Oakwood-Oakwood Beach,283,148,283,148,0,32,0,32,0,32,0,32
SI28,Port Richmond,2151,739,2056,723,83,85,12,33,0,32,0,32
SI32,Rossville-Woodrow,21,42,21,42,0,29,0,29,0,29,0,29
SI35,New Brighton-Silver Lake,893,525,809,522,37,53,33,59,0,27,14,32
SI36,Old Town-Dongan Hills-South Beach,609,360,416,217,110,119,83,119,0,32,0,32
SI37,Stapleton-Rosebank,3003,791,2815,770,35,44,153,137,0,38,0,38
SI45,New Dorp-Midland Beach,886,476,776,461,110,161,0,29,0,29,0,29
SI48,Arden Heights,258,158,243,156,0,29,15,35,0,29,0,29
SI54,Great Kills,219,205,140,181,79,99,0,42,0,42,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17
