area_id,area_name,b25032g001,b25032g001_moe,b25032g002,b25032g002_moe,b25032g003,b25032g003_moe,b25032g004,b25032g004_moe,b25032g005,b25032g005_moe,b25032g006,b25032g006_moe,b25032g007,b25032g007_moe,b25032g008,b25032g008_moe,b25032g009,b25032g009_moe,b25032g010,b25032g010_moe,b25032g011,b25032g011_moe
BX14,East Concourse-Concourse Village,494,151,0,51,0,51,51,63,10,49,81,82,29,57,79,68,244,105,0,51,0,51
BX17,East Tremont,434,127,39,55,0,45,18,47,10,46,40,49,16,48,132,88,135,70,44,62,0,45
BX22,North Riverdale-Fieldston-Riverdale,146,73,30,44,11,40,0,38,33,48,0,38,0,38,12,40,60,55,0,38,0,38
BX26,Highbridge,293,103,0,42,35,51,34,45,27,57,16,46,27,44,34,51,112,64,8,42,0,42
BX27,Hunts Point,288,101,57,50,9,36,15,38,31,43,12,40,13,38,114,61,37,48,0,38,0,38
BX28,Van Cortlandt Village,560,149,30,56,0,43,30,46,0,43,33,55,47,60,154,81,219,87,47,78,0,43
BX29,Spuyten Duyvil-Kingsbridge,318,121,0,38,0,38,73,80,0,38,10,40,38,69,39,45,150,70,8,38,0,38
BX30,Kingsbridge Heights,409,127,0,38,0,38,24,41,0,38,0,38,45,61,150,74,190,85,0,38,0,38
BX31,Allerton-Pelham Gardens,197,84,16,39,41,46,69,64,38,49,12,43,0,42,0,42,21,45,0,42,0,42
BX33,Longwood,215,80,20,37,8,34,0,36,6,33,21,39,21,40,101,61,38,41,0,36,0,36
BX34,Melrose South-Mott Haven North,274,105,0,42,0,42,0,42,0,42,11,44,34,57,38,49,191,87,0,42,0,42
BX35,Morrisania-Melrose,544,144,9,38,29,44,44,46,56,57,51,53,39,43,178,86,138,72,0,40,0,40
BX36,University Heights-Morris Heights,601,170,22,62,0,51,0,51,13,53,18,53,19,52,211,114,318,122,0,51,0,51
BX37,Van Nest-Morris Park-Westchester Square,327,113,74,59,0,42,44,54,40,57,30,47,49,48,61,65,29,48,0,42,0,42
BX39,Mott Haven-Port Morris,379,120,19,49,19,51,20,51,34,50,17,49,26,56,78,67,144,74,22,59,0,50
BX40,Fordham South,173,95,32,58,0,32,0,32,0,32,10,33,10,34,96,69,25,47,0,32,0,32
BX41,Mount Hope,502,139,5,50,31,53,37,54,0,51,35,54,10,48,165,99,219,94,0,51,0,51
BX43,Norwood,622,170,0,41,0,41,29,50,57,74,12,42,28,44,295,118,201,101,0,41,0,41
BX44,Williamsbridge-Olinville,302,111,74,76,54,64,9,54,60,70,18,55,7,53,53,63,27,54,0,54,0,54
BX46,Parkchester,666,198,29,43,35,42,11,36,44,51,0,36,99,88,192,106,256,124,0,36,0,36
BX49,Pelham Parkway,202,96,0,38,0,38,5,37,28,55,0,38,21,50,51,54,97,68,0,38,0,38
BX52,Schuylerville-Throgs Neck-Edgewater Park,448,146,35,58,0,52,134,74,143,103,13,53,0,52,48,58,75,82,0,52,0,52
BX55,Soundview-Bruckner,835,194,17,41,18,37,41,53,229,107,82,69,73,60,44,61,331,128,0,40,0,40
BX59,Westchester-Unionport,470,146,11,38,24,40,80,66,54,54,64,68,22,42,125,88,90,79,0,36,0,36
BX62,Woodlawn-Wakefield,170,76,36,51,23,49,0,48,70,67,8,48,0,48,6,48,27,51,0,48,0,48
BX63,West Concourse,376,129,8,43,18,42,0,42,11,43,34,52,0,42,97,69,159,73,49,77,0,42
BX75,Crotona Park East,124,58,9,31,21,35,9,30,0,29,11,33,16,36,31,36,27,35,0,29,0,29
BX98,Rikers Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,27,41,12,34,0,32,0,32,0,32,0,32,0,32,0,32,15,37,0,32,0,32
MN01,Marble Hill-Inwood,923,219,23,52,0,41,70,83,14,44,34,53,48,47,399,146,335,146,0,41,0,41
MN03,Central Harlem North-Polo Grounds,1632,282,4,58,0,59,68,89,145,106,89,81,277,122,251,121,798,199,0,59,0,59
MN04,Hamilton Heights,2660,418,20,53,56,76,51,63,35,62,81,85,301,146,1058,262,1058,268,0,46,0,46
MN06,Manhattanville,923,208,0,34,0,34,19,43,37,65,27,41,61,69,422,147,357,122,0,34,0,34
MN09,Morningside Heights,645,168,0,45,0,45,0,45,20,51,56,68,114,73,111,64,333,129,11,48,0,45
MN11,Central Harlem South,514,129,0,45,12,46,13,48,66,60,46,51,103,62,112,69,162,74,0,45,0,45
MN12,Upper West Side,1724,333,12,69,16,71,42,79,3,67,162,103,283,161,342,147,820,226,0,68,44,94
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,1158,293,0,54,0,54,27,61,64,74,66,108,122,101,207,127,672,231,0,54,0,54
MN14,Lincoln Square,508,194,0,48,0,48,0,48,77,98,43,57,27,53,100,90,261,143,0,48,0,48
MN15,Clinton,899,243,51,71,0,43,17,47,10,45,65,67,178,124,216,129,362,150,0,43,0,43
MN17,Midtown-Midtown South,409,131,19,53,25,63,0,51,16,54,35,61,0,51,12,53,297,115,5,50,0,51
MN19,Turtle Bay-East Midtown,385,132,24,54,0,48,0,48,0,48,36,59,15,52,55,72,255,109,0,48,0,48
MN20,Murray Hill-Kips Bay,474,185,21,43,0,42,0,42,0,42,0,42,28,48,75,77,350,165,0,42,0,42
MN21,Gramercy,194,100,0,34,0,34,0,34,42,73,18,33,0,34,48,47,79,60,7,31,0,34
MN22,East Village,487,164,0,40,0,40,0,40,0,40,42,73,229,107,142,89,74,60,0,40,0,40
MN23,West Village,880,277,0,56,0,56,59,92,57,88,26,56,154,104,306,188,278,147,0,56,0,56
MN24,SoHo-TriBeCa-Civic Center-Little Italy,353,140,33,53,8,42,14,44,10,41,41,47,61,70,75,87,111,86,0,42,0,42
MN25,Battery Park City-Lower Manhattan,352,152,29,51,10,42,0,42,0,42,0,42,0,42,9,41,304,147,0,42,0,42
MN27,Chinatown,386,144,8,44,7,42,15,46,0,44,52,66,103,85,54,61,136,88,11,43,0,44
MN28,Lower East Side,1256,243,23,65,0,56,58,89,66,89,29,59,161,79,400,148,519,157,0,56,0,56
MN31,Lenox Hill-Roosevelt Island,617,215,28,66,0,53,0,53,34,63,20,59,39,55,128,82,368,194,0,53,0,53
MN32,Yorkville,497,186,16,56,0,50,0,50,0,50,0,50,198,108,71,62,212,134,0,50,0,50
MN33,East Harlem South,785,216,14,51,0,50,29,55,0,50,85,78,115,83,127,91,348,146,67,89,0,50
MN34,East Harlem North,679,194,26,53,8,50,21,58,43,69,50,56,64,65,89,61,378,159,0,50,0,50
MN35,Washington Heights North,783,191,17,52,33,70,47,62,18,56,30,60,0,52,234,103,404,141,0,52,0,52
MN36,Washington Heights South,1707,292,4,55,0,56,40,81,20,59,61,62,89,74,865,214,628,175,0,56,0,56
MN40,Upper East Side-Carnegie Hill,208,98,44,70,0,52,0,52,12,53,15,56,19,54,89,74,29,55,0,52,0,52
MN50,Stuyvesant Town-Cooper Village,109,75,0,22,0,22,0,22,0,22,0,22,28,36,14,25,67,65,0,22,0,22
MN99,park-cemetery-etc-Manhattan,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN01,South Jamaica,364,106,212,82,25,51,65,55,11,48,0,46,15,49,0,46,36,53,0,46,0,46
QN02,Springfield Gardens North,59,52,33,47,0,31,0,31,0,31,0,31,0,31,0,31,26,38,0,31,0,31
QN03,Springfield Gardens South-Brookville,140,84,82,65,22,37,28,51,8,29,0,29,0,29,0,29,0,29,0,29,0,29
QN05,Rosedale,202,98,93,61,22,46,59,60,28,55,0,35,0,35,0,35,0,35,0,35,0,35
QN06,Jamaica Estates-Holliswood,408,130,132,81,40,49,57,56,19,39,0,36,0,36,58,65,102,67,0,36,0,36
QN07,Hollis,301,104,184,81,0,36,48,44,21,48,0,36,25,52,23,40,0,36,0,36,0,36
QN08,St. Albans,339,104,186,86,92,72,13,59,13,61,18,64,0,59,0,59,9,59,8,59,0,59
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,69,56,39,56,5,35,8,36,8,36,0,36,0,36,0,36,9,37,0,36,0,36
QN12,Hammels-Arverne-Edgemere,220,97,10,39,44,48,30,46,15,44,30,58,15,37,29,50,47,54,0,38,0,38
QN15,Far Rockaway-Bayswater,496,149,97,79,28,52,87,80,57,69,22,53,0,46,57,51,148,96,0,46,0,46
QN17,Forest Hills,851,209,55,75,91,84,19,65,41,71,13,66,61,74,177,108,394,158,0,64,0,64
QN18,Rego Park,293,103,37,51,0,34,21,36,51,63,10,36,39,42,22,40,105,71,8,34,0,34
QN19,Glendale,138,70,22,44,19,47,26,50,25,44,23,50,0,43,11,45,12,45,0,43,0,43
QN20,Ridgewood,440,132,55,79,41,64,73,68,94,71,114,79,11,56,20,62,32,62,0,56,0,56
QN21,Middle Village,74,71,17,52,26,67,11,52,7,52,8,51,0,51,0,51,5,50,0,51,0,51
QN22,Flushing,645,187,58,76,0,54,126,101,16,57,42,75,0,54,112,90,291,117,0,54,0,54
QN23,College Point,86,51,16,40,3,32,43,44,14,33,0,34,0,34,10,34,0,34,0,34,0,34
QN25,Corona,380,160,0,44,21,47,80,81,58,68,35,58,19,51,10,44,157,129,0,44,0,44
QN26,North Corona,262,113,38,67,25,56,83,74,22,47,10,47,0,45,47,52,37,54,0,45,0,45
QN27,East Elmhurst,184,85,50,50,62,60,61,46,5,33,0,34,0,34,0,34,6,33,0,34,0,34
QN28,Jackson Heights,1059,231,94,88,150,100,78,79,119,116,25,69,34,72,198,116,361,130,0,66,0,66
QN29,Elmhurst,467,146,16,64,5,59,42,62,100,78,57,74,0,60,28,61,219,111,0,60,0,60
QN30,Maspeth,92,62,5,44,0,45,47,59,0,45,0,45,16,45,6,44,0,45,15,50,3,44
QN31,Hunters Point-Sunnyside-West Maspeth,638,154,12,59,9,57,80,79,35,62,80,80,0,56,199,96,213,89,10,57,0,56
QN33,Cambria Heights,48,45,31,43,6,43,11,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43
QN34,Queens Village,914,184,546,140,4,55,173,95,69,76,18,59,0,56,28,70,76,80,0,56,0,56
QN35,Briarwood-Jamaica Hills,664,178,111,72,39,47,99,81,93,69,0,47,0,47,127,108,195,107,0,47,0,47
QN37,Kew Gardens Hills,398,132,74,49,34,50,19,44,38,60,37,49,27,57,104,78,65,64,0,40,0,40
QN38,Pomonok-Flushing Heights-Hillcrest,282,123,72,66,0,37,37,54,0,37,0,37,0,37,110,84,63,68,0,37,0,37
QN41,Fresh Meadows-Utopia,102,66,15,27,4,26,0,27,0,27,17,34,8,28,0,27,35,47,23,43,0,27
QN42,Oakland Gardens,217,124,125,84,0,34,42,74,36,65,0,34,0,34,14,39,0,34,0,34,0,34
QN43,Bellerose,150,77,80,62,4,33,50,46,9,35,0,34,7,34,0,34,0,34,0,34,0,34
QN44,Glen Oaks-Floral Park-New Hyde Park,285,109,159,76,0,32,117,79,0,32,0,32,9,30,0,32,0,32,0,32,0,32
QN45,Douglas Manor-Douglaston-Little Neck,61,45,23,38,15,37,0,34,8,34,0,34,0,34,15,39,0,34,0,34,0,34
QN46,Bayside-Bayside Hills,269,121,74,57,39,68,87,98,0,51,20,59,8,51,7,51,34,61,0,51,0,51
QN47,Ft. Totten-Bay Terrace-Clearview,90,86,54,76,0,34,0,34,36,50,0,34,0,34,0,34,0,34,0,34,0,34
QN48,Auburndale,94,55,61,48,7,31,21,37,5,30,0,32,0,32,0,32,0,32,0,32,0,32
QN49,Whitestone,186,102,45,57,7,38,44,63,41,59,0,38,14,41,35,65,0,38,0,38,0,38
QN50,Elmhurst-Maspeth,99,53,19,33,20,38,10,36,20,33,0,34,9,35,12,37,9,36,0,34,0,34
QN51,Murray Hill,307,136,80,78,29,53,17,49,41,81,21,58,0,50,12,51,81,79,26,63,0,50
QN52,East Flushing,177,94,91,73,0,42,17,46,26,57,0,42,0,42,43,53,0,42,0,42,0,42
QN53,Woodhaven,895,187,176,89,156,84,361,122,111,84,36,60,31,65,3,53,0,54,21,61,0,54
QN54,Richmond Hill,673,145,185,71,29,58,248,96,72,66,24,61,6,59,26,65,83,91,0,60,0,60
QN55,South Ozone Park,1258,223,633,153,157,84,358,142,19,62,66,87,0,62,15,62,4,62,6,62,0,62
QN56,Ozone Park,340,125,141,90,70,58,123,73,0,36,0,36,0,36,6,35,0,36,0,36,0,36
QN57,Lindenwood-Howard Beach,226,150,20,39,14,37,20,34,165,146,7,31,0,34,0,34,0,34,0,34,0,34
QN60,Kew Gardens,169,81,26,50,0,34,0,34,12,37,10,37,15,39,48,47,58,45,0,34,0,34
QN61,Jamaica,833,175,119,65,49,54,212,101,38,66,54,61,49,62,101,75,211,93,0,51,0,51
QN62,Queensboro Hill,102,64,17,31,0,29,50,60,9,30,0,29,13,33,0,29,13,26,0,29,0,29
QN63,Woodside,314,128,27,52,5,49,62,65,61,60,0,50,64,80,15,52,80,85,0,50,0,50
QN66,Laurelton,101,47,60,42,0,40,8,40,17,42,0,40,0,40,16,40,0,40,0,40,0,40
QN68,Queensbridge-Ravenswood-Long Island City,137,74,7,35,7,37,17,40,4,37,14,43,0,38,33,47,55,59,0,38,0,38
QN70,Astoria,622,152,20,67,0,60,86,71,47,65,57,67,115,81,193,93,104,89,0,60,0,60
QN71,Old Astoria,244,95,16,40,0,34,31,41,69,53,26,37,0,34,42,48,60,54,0,34,0,34
QN72,Steinway,302,120,0,51,4,50,36,68,54,61,65,65,41,61,33,59,30,62,39,78,0,51
QN76,Baisley Park,227,74,123,57,49,57,26,47,6,47,0,48,0,48,4,47,19,48,0,48,0,48
QN98,Airport,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
QN99,park-cemetery-etc-Queens,10,49,0,48,0,48,10,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,73,72,0,34,0,34,32,59,19,45,0,34,0,34,0,34,22,45,0,34,0,34
SI05,New Springville-Bloomfield-Travis,65,57,0,43,55,58,0,43,2,42,0,43,0,43,8,43,0,43,0,43,0,43
SI07,Westerleigh,120,65,59,52,28,40,33,45,0,36,0,36,0,36,0,36,0,36,0,36,0,36
SI08,Grymes Hill-Clifton-Fox Hills,169,90,34,37,78,71,0,28,8,29,0,28,0,28,0,28,49,50,0,28,0,28
SI11,Charleston-Richmond Valley-Tottenville,120,76,79,71,13,34,18,33,0,32,10,31,0,32,0,32,0,32,0,32,0,32
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,389,147,53,47,155,95,99,87,0,38,9,36,10,40,63,77,0,38,0,38,0,38
SI14,Grasmere-Arrochar-Ft. Wadsworth,21,34,8,29,0,27,13,32,0,27,0,27,0,27,0,27,0,27,0,27,0,27
SI22,West New Brighton-New Brighton-St. George,374,137,77,71,17,46,81,57,0,40,73,81,9,40,53,62,64,62,0,40,0,40
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,118,89,57,48,46,78,15,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38
SI25,Oakwood-Oakwood Beach,61,58,18,39,0,32,0,32,20,45,11,32,0,32,0,32,12,34,0,32,0,32
SI28,Port Richmond,115,82,101,80,0,32,14,34,0,32,0,32,0,32,0,32,0,32,0,32,0,32
SI32,Rossville-Woodrow,42,42,11,30,31,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
SI35,New Brighton-Silver Lake,110,68,18,28,0,27,53,55,20,38,19,36,0,27,0,27,0,27,0,27,0,27
SI36,Old Town-Dongan Hills-South Beach,142,79,24,38,0,32,42,46,0,32,16,37,15,37,45,53,0,32,0,32,0,32
SI37,Stapleton-Rosebank,213,96,89,66,43,59,35,43,5,37,14,41,0,38,0,38,27,44,0,38,0,38
SI45,New Dorp-Midland Beach,82,77,27,50,0,29,46,62,0,29,0,29,0,29,0,29,9,32,0,29,0,29
SI48,Arden Heights,12,33,12,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
SI54,Great Kills,68,60,21,52,47,50,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
