area_id,area_name,c23002g001,c23002g001_moe,c23002g002,c23002g002_moe,c23002g003,c23002g003_moe,c23002g004,c23002g004_moe,c23002g005,c23002g005_moe,c23002g006,c23002g006_moe,c23002g007,c23002g007_moe,c23002g008,c23002g008_moe,c23002g009,c23002g009_moe,c23002g010,c23002g010_moe,c23002g011,c23002g011_moe,c23002g012,c23002g012_moe,c23002g013,c23002g013_moe,c23002g014,c23002g014_moe,c23002g015,c23002g015_moe,c23002g016,c23002g016_moe,c23002g017,c23002g017_moe,c23002g018,c23002g018_moe,c23002g019,c23002g019_moe,c23002g020,c23002g020_moe,c23002g021,c23002g021_moe,c23002g022,c23002g022_moe,c23002g023,c23002g023_moe,c23002g024,c23002g024_moe,c23002g025,c23002g025_moe,c23002g026,c23002g026_moe,c23002g027,c23002g027_moe
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,986,216,421,133,358,113,287,102,0,42,287,102,224,96,63,53,71,56,63,63,22,50,22,50,0,42,41,56,565,161,529,158,458,150,0,42,458,150,426,147,32,46,71,63,36,46,0,42,0,42,0,42,36,46
BK40,Windsor Terrace,412,177,187,108,161,92,114,69,0,32,114,69,100,65,14,37,47,47,26,39,15,37,15,37,0,32,11,34,225,120,206,117,162,105,0,32,162,105,112,85,50,55,44,58,19,35,13,36,0,32,13,36,6,31
BK41,Kensington-Ocean Parkway,550,217,266,119,266,119,235,112,17,47,218,112,205,105,13,42,31,46,0,40,0,40,0,40,0,40,0,40,284,134,266,129,198,114,0,40,198,114,150,88,48,82,68,60,18,41,0,40,0,40,0,40,18,41
BK42,Flatbush,1478,360,652,211,551,192,435,151,20,73,415,149,404,148,11,69,116,98,101,86,42,78,42,78,0,68,59,78,826,221,765,217,483,184,0,68,483,184,422,181,61,74,282,117,61,74,19,69,19,69,0,68,42,70
BK43,Midwood,532,199,278,119,241,114,196,103,0,51,196,103,177,100,19,54,45,60,37,58,10,52,10,52,0,51,27,57,254,116,210,96,107,74,0,51,107,74,101,74,6,51,103,73,44,64,0,51,0,51,0,51,44,64
BK44,Madison,173,92,109,69,104,67,63,54,0,46,63,54,63,54,0,46,41,51,5,46,0,46,0,46,0,46,5,46,64,56,54,54,11,45,0,46,11,45,11,45,0,46,43,53,10,47,10,47,10,47,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,410,171,229,107,203,103,108,74,0,55,108,74,104,74,4,54,95,77,26,59,0,55,0,55,0,55,26,59,181,113,172,106,133,95,0,55,133,95,125,89,8,55,39,59,9,56,0,55,0,55,0,55,9,56
BK46,Ocean Parkway South,93,72,24,40,14,36,14,36,0,36,14,36,4,35,10,37,0,36,10,38,0,36,0,36,0,36,10,38,69,67,69,67,37,43,0,36,37,43,37,43,0,36,32,49,0,36,0,36,0,36,0,36,0,36
BK50,Canarsie,537,185,283,145,276,145,216,122,0,70,216,122,201,113,15,70,60,80,7,70,0,70,0,70,0,70,7,70,254,107,231,106,121,82,0,70,121,82,112,81,9,70,110,93,23,71,5,69,5,69,0,70,18,72
BK58,Flatlands,735,247,345,128,271,117,178,94,0,62,178,94,172,91,6,62,93,77,74,85,0,62,0,62,0,62,74,85,390,153,336,149,205,120,0,62,205,120,200,121,5,62,131,87,54,71,0,62,0,62,0,62,54,71
BK60,Prospect Lefferts Gardens-Wingate,913,343,348,215,333,215,286,211,0,58,286,211,272,211,14,60,47,70,15,58,0,58,0,58,0,58,15,58,565,220,520,212,298,137,0,58,298,137,253,129,45,68,222,141,45,80,39,80,39,80,0,58,6,57
BK61,Crown Heights North,1388,305,575,220,563,219,451,207,20,74,431,194,347,176,84,93,112,90,12,68,0,67,0,67,0,67,12,68,813,204,720,194,481,160,21,74,460,156,447,155,13,68,239,111,93,76,15,67,15,67,0,67,78,76
BK63,Crown Heights South,140,70,58,51,58,51,31,46,0,40,31,46,31,46,0,40,27,46,0,40,0,40,0,40,0,40,0,40,82,57,74,56,74,56,0,40,74,56,44,51,30,46,0,40,8,40,0,40,0,40,0,40,8,40
BK64,Prospect Heights,403,133,182,88,173,86,143,80,0,32,143,80,110,64,33,57,30,42,9,33,0,32,0,32,0,32,9,33,221,89,190,80,162,73,0,32,162,73,146,70,16,36,28,40,31,46,0,32,0,32,0,32,31,46
BK68,Fort Greene,894,225,380,129,358,126,302,117,0,38,302,117,244,111,58,52,56,48,22,40,11,40,11,40,0,38,11,36,514,173,484,163,301,123,0,38,301,123,275,119,26,51,183,97,30,44,0,38,0,38,0,38,30,44
BK69,Clinton Hill,1154,275,692,225,639,220,551,207,0,40,551,207,530,205,21,48,88,78,53,65,0,40,0,40,0,40,53,65,462,130,406,116,326,107,0,40,326,107,289,103,37,50,80,57,56,60,0,40,0,40,0,40,56,60
BK72,Williamsburg,191,133,90,88,90,88,46,60,0,36,46,60,46,60,0,36,44,47,0,36,0,36,0,36,0,36,0,36,101,77,56,59,48,58,0,36,48,58,48,58,0,36,8,36,45,59,0,36,0,36,0,36,45,59
BK73,North Side-South Side,999,299,454,180,444,179,372,169,0,48,372,169,310,139,62,74,72,70,10,49,0,48,0,48,0,48,10,49,545,183,492,174,448,170,0,48,448,170,361,137,87,111,44,56,53,62,12,50,12,50,0,48,41,53
BK75,Bedford,898,246,390,143,367,142,358,142,0,56,358,142,347,141,11,58,9,55,23,54,10,57,10,57,0,56,13,53,508,168,483,166,365,118,0,56,365,118,317,112,48,65,118,88,25,55,0,56,0,56,0,56,25,55
BK76,Greenpoint,541,205,165,110,165,110,165,110,0,42,165,110,165,110,0,42,0,42,0,42,0,42,0,42,0,42,0,42,376,149,363,148,277,130,0,42,277,130,245,126,32,52,86,70,13,45,0,42,0,42,0,42,13,45
BK77,Bushwick North,1150,322,616,199,579,197,354,140,0,54,354,140,325,128,29,58,225,114,37,54,0,54,0,54,0,54,37,54,534,173,477,160,325,139,0,54,325,139,298,117,27,62,152,90,57,61,0,54,0,54,0,54,57,61
BK78,Bushwick South,1522,391,727,247,662,239,479,217,0,56,479,217,373,201,106,105,183,110,65,67,23,59,23,59,0,56,42,64,795,234,713,224,458,171,0,56,458,171,353,145,105,88,255,126,82,67,0,56,0,56,0,56,82,67
BK79,Ocean Hill,314,155,186,129,165,127,149,116,0,38,149,116,45,51,104,111,16,43,21,42,0,38,0,38,0,38,21,42,128,64,107,61,71,55,0,38,71,55,47,50,24,42,36,43,21,38,6,37,6,37,0,38,15,39
BK81,Brownsville,509,160,202,93,122,85,48,66,0,51,48,66,35,56,13,54,74,74,80,60,14,51,14,51,0,51,66,60,307,122,209,99,114,79,0,51,114,79,70,71,44,58,95,77,98,71,14,53,14,53,0,51,84,66
BK82,East New York,775,239,305,124,294,122,248,112,0,65,248,112,199,108,49,69,46,77,11,65,0,65,0,65,0,65,11,65,470,170,392,158,309,143,8,64,301,142,225,120,76,90,83,74,78,76,14,67,14,67,0,65,64,73
BK83,Cypress Hills-City Line,610,191,264,111,246,109,178,88,0,49,178,88,140,77,38,52,68,60,18,48,5,49,5,49,0,49,13,48,346,113,294,102,159,81,0,49,159,81,128,78,31,49,135,67,52,53,0,49,0,49,0,49,52,53
BK85,East New York (Pennsylvania Ave),246,145,155,93,126,79,90,65,0,36,90,65,90,65,0,36,36,41,29,43,16,38,5,35,11,39,13,38,91,71,76,69,49,51,0,36,49,51,34,41,15,39,27,40,15,37,0,36,0,36,0,36,15,37
BK88,Borough Park,341,180,251,145,251,145,178,112,0,68,178,112,178,112,0,68,73,92,0,68,0,68,0,68,0,68,0,68,90,79,77,78,49,77,0,68,49,77,49,77,0,68,28,70,13,70,0,68,0,68,0,68,13,70
BK90,East Williamsburg,481,156,220,103,180,91,127,72,16,45,111,67,100,65,11,42,53,64,40,51,0,40,0,40,0,40,40,51,261,94,199,87,117,72,0,40,117,72,92,69,25,44,82,57,62,48,22,45,22,45,0,40,40,43
BK91,East Flatbush-Farragut,746,229,298,118,228,110,182,95,0,54,182,95,171,95,11,52,46,58,70,58,23,56,23,56,0,54,47,56,448,154,391,148,209,103,0,54,209,103,170,80,39,66,182,89,57,60,5,53,5,53,0,54,52,61
BK93,Starrett City,212,145,105,107,105,107,49,61,0,24,49,61,49,61,0,24,56,78,0,24,0,24,0,24,0,24,0,24,107,80,28,33,28,33,0,24,28,33,14,29,14,29,0,24,79,74,0,24,0,24,0,24,79,74
BK95,Erasmus,543,254,229,139,229,139,163,112,0,36,163,112,145,95,18,41,66,53,0,36,0,36,0,36,0,36,0,36,314,160,287,152,144,100,0,36,144,100,96,73,48,65,143,117,27,40,0,36,0,36,0,36,27,40
BK96,Rugby-Remsen Village,402,165,187,100,179,99,132,86,0,54,132,86,104,82,28,58,47,63,8,54,0,54,0,54,0,54,8,54,215,106,189,96,125,77,0,54,125,77,111,76,14,56,64,63,26,56,0,54,0,54,0,54,26,56
BK99,park-cemetery-etc-Brooklyn,35,55,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,35,55,35,55,35,55,0,40,35,55,35,55,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,460,179,171,89,160,87,142,85,0,40,142,85,110,69,32,60,18,39,11,42,0,40,0,40,0,40,11,42,289,137,238,131,159,91,0,40,159,91,79,72,80,62,79,66,51,50,18,47,18,47,0,40,33,44
BX03,Eastchester-Edenwald-Baychester,545,230,353,184,337,183,251,172,0,40,251,172,213,139,38,63,86,75,16,42,14,44,14,44,0,40,2,38,192,101,173,97,86,63,0,40,86,63,86,63,0,40,87,63,19,42,0,40,0,40,0,40,19,42
BX05,Bedford Park-Fordham North,974,299,497,188,477,186,277,148,0,50,277,148,204,109,73,79,200,113,20,50,0,50,0,50,0,50,20,50,477,165,414,152,190,91,0,50,190,91,165,87,25,50,224,123,63,59,0,50,0,50,0,50,63,59
BX06,Belmont,762,357,334,167,314,164,166,130,0,34,166,130,149,126,17,36,148,103,20,43,0,34,0,34,0,34,20,43,428,250,428,250,262,228,0,34,262,228,254,228,8,34,166,101,0,34,0,34,0,34,0,34,0,34
BX07,Bronxdale,1011,315,346,143,304,135,191,108,0,38,191,108,176,106,15,43,113,81,42,48,16,44,16,44,0,38,26,40,665,239,600,230,478,208,0,38,478,208,414,194,64,79,122,88,65,57,0,38,0,38,0,38,65,57
BX08,West Farms-Bronx River,1895,571,796,261,653,216,450,171,0,40,450,171,384,162,66,65,203,117,143,97,23,44,12,42,11,42,120,86,1099,370,957,356,562,245,0,40,562,245,460,210,102,119,395,183,142,90,0,40,0,40,0,40,142,90
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1014,370,515,233,442,215,378,209,0,50,378,209,341,205,37,60,64,71,73,67,0,50,0,50,0,50,73,67,499,174,397,150,252,110,0,50,252,110,242,106,10,51,145,82,102,69,13,52,13,52,0,50,89,67
BX10,Pelham Bay-Country Club-City Island,303,198,231,169,222,169,184,148,0,34,184,148,154,145,30,46,38,61,9,35,9,35,0,34,9,35,0,34,72,60,63,63,36,40,0,34,36,40,36,40,0,34,27,55,9,35,9,35,9,35,0,34,0,34
BX13,Co-op City,1294,846,499,338,473,331,406,327,0,33,406,327,362,321,44,61,67,55,26,35,17,35,17,35,0,33,9,33,795,522,707,520,375,330,0,33,375,330,286,218,89,134,332,251,88,71,0,33,0,33,0,33,88,71
BX14,East Concourse-Concourse Village,1024,329,439,168,364,158,175,104,27,64,148,97,102,72,46,72,189,101,75,67,0,51,0,51,0,51,75,67,585,221,525,217,290,157,0,51,290,157,266,129,24,71,235,116,60,58,0,51,0,51,0,51,60,58
BX17,East Tremont,981,332,454,199,449,199,280,164,0,45,280,164,280,164,0,45,169,129,5,44,0,45,0,45,0,45,5,44,527,162,468,158,339,155,0,45,339,155,182,95,157,119,129,75,59,55,0,45,0,45,0,45,59,55
BX22,North Riverdale-Fieldston-Riverdale,342,135,141,82,141,82,40,48,0,38,40,48,40,48,0,38,101,73,0,38,0,38,0,38,0,38,0,38,201,87,157,78,100,61,0,38,100,61,100,61,0,38,57,70,44,50,0,38,0,38,0,38,44,50
BX26,Highbridge,421,149,205,97,164,91,95,61,0,42,95,61,56,53,39,48,69,67,41,46,0,42,0,42,0,42,41,46,216,93,200,91,105,64,0,42,105,64,105,64,0,42,95,63,16,38,0,42,0,42,0,42,16,38
BX27,Hunts Point,943,339,336,121,304,112,203,93,0,38,203,93,141,75,62,58,101,67,32,39,0,38,0,38,0,38,32,39,607,264,575,260,353,133,0,38,353,133,245,97,108,95,222,152,32,42,0,38,0,38,0,38,32,42
BX28,Van Cortlandt Village,1397,363,561,182,501,171,419,152,0,43,419,152,307,128,112,83,82,60,60,57,11,44,11,44,0,43,49,54,836,267,770,264,568,213,0,43,568,213,376,173,192,114,202,117,66,57,11,48,0,43,11,48,55,53
BX29,Spuyten Duyvil-Kingsbridge,803,269,420,170,370,160,320,151,0,38,320,151,286,146,34,52,50,64,50,55,0,38,0,38,0,38,50,55,383,170,352,164,274,151,0,38,274,151,234,113,40,73,78,72,31,45,0,38,0,38,0,38,31,45
BX30,Kingsbridge Heights,944,350,301,122,291,121,177,93,0,38,177,93,144,75,33,64,114,77,10,37,0,38,0,38,0,38,10,37,643,286,568,282,327,148,0,38,327,148,300,144,27,45,241,238,75,51,0,38,0,38,0,38,75,51
BX31,Allerton-Pelham Gardens,523,184,238,138,238,138,83,65,0,42,83,65,83,65,0,42,155,127,0,42,0,42,0,42,0,42,0,42,285,105,253,99,160,82,0,42,160,82,140,73,20,49,93,67,32,41,0,42,0,42,0,42,32,41
BX33,Longwood,492,187,176,83,164,81,108,67,0,36,108,67,97,65,11,36,56,55,12,37,0,36,0,36,0,36,12,37,316,131,263,117,139,63,0,36,139,63,102,53,37,41,124,64,53,49,0,36,0,36,0,36,53,49
BX34,Melrose South-Mott Haven North,646,292,195,105,182,104,108,77,0,42,108,77,68,70,40,53,74,59,13,43,0,42,0,42,0,42,13,43,451,231,394,216,194,147,0,42,194,147,167,111,27,57,200,121,57,59,0,42,0,42,0,42,57,59
BX35,Morrisania-Melrose,1154,311,480,158,450,155,277,107,11,42,266,105,213,91,53,57,173,89,30,44,0,40,0,40,0,40,30,44,674,212,626,205,351,120,0,40,351,120,265,109,86,69,275,121,48,46,0,40,0,40,0,40,48,46
BX36,University Heights-Morris Heights,1462,378,558,164,528,161,338,127,0,51,338,127,268,117,70,68,190,105,30,56,18,55,18,55,0,51,12,51,904,301,840,298,440,245,0,51,440,245,348,206,92,95,400,157,64,54,8,51,8,51,0,51,56,54
BX37,Van Nest-Morris Park-Westchester Square,752,225,383,140,383,140,270,116,0,42,270,116,260,111,10,44,113,64,0,42,0,42,0,42,0,42,0,42,369,120,336,122,206,96,0,42,206,96,168,86,38,56,130,72,33,45,2,40,2,40,0,42,31,46
BX39,Mott Haven-Port Morris,673,215,296,112,270,105,177,90,0,50,177,90,164,88,13,52,93,65,26,55,0,50,0,50,0,50,26,55,377,148,307,128,217,101,0,50,217,101,189,89,28,54,90,79,70,56,12,47,12,47,0,50,58,55
BX40,Fordham South,357,213,83,70,83,70,56,63,0,32,56,63,47,61,9,31,27,41,0,32,0,32,0,32,0,32,0,32,274,170,274,170,196,159,0,32,196,159,122,146,74,70,78,63,0,32,0,32,0,32,0,32,0,32
BX41,Mount Hope,1017,272,493,173,392,157,310,146,0,51,310,146,283,121,27,64,82,67,101,77,26,52,26,52,0,51,75,65,524,163,416,144,236,97,0,51,236,97,184,88,52,60,180,86,108,87,0,51,0,51,0,51,108,87
BX43,Norwood,1193,412,436,227,355,183,270,137,0,41,270,137,222,128,48,62,85,81,81,67,0,41,0,41,0,41,81,67,757,228,710,208,514,193,0,41,514,193,406,169,108,83,196,92,47,56,0,41,0,41,0,41,47,56
BX44,Williamsbridge-Olinville,756,220,287,108,228,99,138,77,0,54,138,77,103,73,35,60,90,78,59,66,29,57,29,57,0,54,30,64,469,172,455,171,258,116,0,54,258,116,245,114,13,57,197,118,14,53,0,54,0,54,0,54,14,53
BX46,Parkchester,938,294,457,188,379,153,360,150,0,36,360,150,315,143,45,58,19,39,78,94,31,47,8,36,23,47,47,62,481,165,382,153,376,153,0,36,376,153,364,148,12,49,6,35,99,59,0,36,0,36,0,36,99,59
BX49,Pelham Parkway,355,144,213,114,206,113,172,110,0,38,172,110,140,107,32,51,34,45,7,38,0,38,0,38,0,38,7,38,142,77,135,76,90,66,0,38,90,66,79,65,11,40,45,51,7,38,7,38,7,38,0,38,0,38
BX52,Schuylerville-Throgs Neck-Edgewater Park,905,280,361,160,321,153,188,99,0,52,188,99,153,83,35,74,133,112,40,62,0,52,0,52,0,52,40,62,544,189,538,189,302,129,0,52,302,129,291,129,11,54,236,127,6,52,6,52,6,52,0,52,0,52
BX55,Soundview-Bruckner,1947,495,892,305,754,276,400,172,0,40,400,172,309,149,91,80,354,176,138,106,32,64,32,64,0,40,106,94,1055,275,980,274,523,197,0,40,523,197,386,177,137,92,457,196,75,53,0,40,0,40,0,40,75,53
BX59,Westchester-Unionport,932,284,430,178,425,178,306,156,0,36,306,156,264,151,42,50,119,97,5,33,5,33,5,33,0,36,0,36,502,215,463,212,219,122,0,36,219,122,191,95,28,55,244,149,39,49,0,36,0,36,0,36,39,49
BX62,Woodlawn-Wakefield,471,230,272,150,267,151,201,133,0,48,201,133,180,129,21,55,66,60,5,47,0,48,0,48,0,48,5,47,199,99,181,98,149,97,0,48,149,97,128,90,21,51,32,49,18,48,6,48,6,48,0,48,12,48
BX63,West Concourse,865,275,369,142,313,133,225,105,0,42,225,105,153,90,72,61,88,67,56,58,9,43,9,43,0,42,47,57,496,188,473,183,257,127,0,42,257,127,239,123,18,47,216,113,23,46,0,42,0,42,0,42,23,46
BX75,Crotona Park East,318,162,167,112,152,110,104,92,0,29,104,92,104,92,0,29,48,51,15,35,0,29,0,29,0,29,15,35,151,87,151,87,93,76,0,29,93,76,88,75,5,29,58,51,0,29,0,29,0,29,0,29,0,29
BX98,Rikers Island,200,77,200,77,200,77,0,17,0,17,0,17,0,17,0,17,200,77,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,49,55,19,37,19,37,15,37,0,32,15,37,15,37,0,32,4,30,0,32,0,32,0,32,0,32,0,32,30,40,30,40,27,40,0,32,27,40,27,40,0,32,3,30,0,32,0,32,0,32,0,32,0,32
MN01,Marble Hill-Inwood,1955,445,1040,310,904,301,716,283,0,41,716,283,687,273,29,61,188,126,136,93,15,43,0,41,15,43,121,86,915,232,743,210,513,186,0,41,513,186,483,182,30,50,230,99,172,84,0,41,0,41,0,41,172,84
MN03,Central Harlem North-Polo Grounds,3052,573,1437,370,1362,363,825,276,0,59,825,276,718,263,107,110,537,196,75,94,17,58,8,59,9,58,58,94,1615,322,1512,315,1086,261,0,59,1086,261,947,250,139,94,426,196,103,81,0,59,0,59,0,59,103,81
MN04,Hamilton Heights,6292,1113,3228,718,3038,695,2158,565,25,59,2133,564,1766,512,367,208,880,328,190,124,27,61,27,61,0,46,163,115,3064,595,2530,538,1558,371,0,46,1558,371,1439,349,119,94,972,311,534,180,34,55,34,55,0,46,500,183
MN06,Manhattanville,2099,593,1138,374,1014,343,760,263,0,34,760,263,650,252,110,89,254,150,124,86,20,40,20,40,0,34,104,83,961,290,818,249,549,185,0,34,549,185,531,185,18,42,269,128,143,90,0,34,0,34,0,34,143,90
MN09,Morningside Heights,1828,369,784,233,744,228,375,127,0,45,375,127,287,111,88,68,369,181,40,53,0,45,0,45,0,45,40,53,1044,267,898,241,535,171,0,45,535,171,498,165,37,59,363,151,146,97,13,47,13,47,0,45,133,94
MN11,Central Harlem South,1209,332,594,207,570,204,453,181,0,45,453,181,352,172,101,71,117,72,24,49,0,45,0,45,0,45,24,49,615,211,549,204,321,125,0,45,321,125,299,123,22,47,228,132,66,57,15,48,0,45,15,48,51,55
MN12,Upper West Side,2979,518,1483,351,1240,321,787,252,0,68,787,252,709,244,78,100,453,201,243,136,68,82,68,82,0,68,175,126,1496,308,1230,284,878,242,0,68,878,242,848,239,30,73,352,146,266,128,81,91,52,81,29,79,185,109
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2120,539,1122,420,1086,417,815,334,0,54,815,334,633,246,182,152,271,137,36,69,6,52,6,52,0,54,30,70,998,265,914,251,667,214,0,54,667,214,616,211,51,67,247,133,84,89,0,54,0,54,0,54,84,89
MN14,Lincoln Square,1161,379,523,228,478,220,396,198,0,48,396,198,257,147,139,139,82,93,45,76,45,76,0,48,45,76,0,48,638,223,541,210,511,207,0,48,511,207,412,183,99,107,30,54,97,93,21,58,21,58,0,48,76,88
MN15,Clinton,1178,328,566,210,528,203,430,173,0,43,430,173,430,173,0,43,98,82,38,65,0,43,0,43,0,43,38,65,612,218,443,178,386,171,0,43,386,171,321,155,65,72,57,62,169,137,30,61,30,61,0,43,139,130
MN17,Midtown-Midtown South,692,205,290,150,265,145,224,140,0,51,224,140,217,139,7,52,41,67,25,63,0,51,0,51,0,51,25,63,402,150,393,149,253,118,0,51,253,118,223,114,30,56,140,95,9,51,0,51,0,51,0,51,9,51
MN19,Turtle Bay-East Midtown,709,213,322,162,267,153,256,152,0,48,256,152,256,152,0,48,11,44,55,72,23,58,23,58,0,48,32,64,387,134,354,128,277,112,0,48,277,112,259,107,18,54,77,74,33,58,0,48,0,48,0,48,33,58
MN20,Murray Hill-Kips Bay,825,299,447,187,424,180,361,169,0,42,361,169,266,139,95,82,63,71,23,45,7,41,7,41,0,42,16,46,378,177,358,172,227,119,0,42,227,119,199,97,28,61,131,116,20,45,7,41,7,41,0,42,13,46
MN21,Gramercy,456,230,227,133,217,132,182,113,0,34,182,113,171,111,11,35,35,62,10,34,0,34,0,34,0,34,10,34,229,134,209,129,171,125,0,34,171,125,102,62,69,112,38,39,20,41,5,31,5,31,0,34,15,36
MN22,East Village,976,262,575,202,575,202,473,187,0,40,473,187,435,182,38,60,102,70,0,40,0,40,0,40,0,40,0,40,401,143,386,141,289,123,0,40,289,123,289,123,0,40,97,71,15,42,0,40,0,40,0,40,15,42
MN23,West Village,1286,332,638,222,612,221,480,197,0,56,480,197,480,197,0,56,132,115,26,57,14,58,14,58,0,56,12,55,648,229,631,227,498,211,0,56,498,211,498,211,0,56,133,88,17,62,0,56,0,56,0,56,17,62
MN24,SoHo-TriBeCa-Civic Center-Little Italy,794,252,460,201,422,197,331,168,0,42,331,168,303,163,28,49,91,112,38,48,12,42,12,42,0,42,26,48,334,146,305,142,215,128,0,42,215,128,215,128,0,42,90,64,29,50,0,42,0,42,0,42,29,50
