area_id,area_name,c23002g001,c23002g001_moe,c23002g002,c23002g002_moe,c23002g003,c23002g003_moe,c23002g004,c23002g004_moe,c23002g005,c23002g005_moe,c23002g006,c23002g006_moe,c23002g007,c23002g007_moe,c23002g008,c23002g008_moe,c23002g009,c23002g009_moe,c23002g010,c23002g010_moe,c23002g011,c23002g011_moe,c23002g012,c23002g012_moe,c23002g013,c23002g013_moe,c23002g014,c23002g014_moe,c23002g015,c23002g015_moe,c23002g016,c23002g016_moe,c23002g017,c23002g017_moe,c23002g018,c23002g018_moe,c23002g019,c23002g019_moe,c23002g020,c23002g020_moe,c23002g021,c23002g021_moe,c23002g022,c23002g022_moe,c23002g023,c23002g023_moe,c23002g024,c23002g024_moe,c23002g025,c23002g025_moe,c23002g026,c23002g026_moe,c23002g027,c23002g027_moe
14,Albany Park,1073,285,507,160,475,159,460,156,0,45,460,156,424,146,36,51,15,47,32,47,12,46,0,45,12,46,20,46,566,165,518,159,408,140,0,45,408,140,381,133,27,51,110,76,48,54,12,49,12,49,0,45,36,51
15,Portage Park,1236,328,683,205,679,205,529,186,0,47,529,186,390,155,139,118,150,89,4,46,4,46,4,46,0,47,0,47,553,174,535,174,477,164,0,47,477,164,425,156,52,58,58,56,18,47,6,47,6,47,0,47,12,47
16,Irving Park,726,198,364,143,341,141,327,139,0,47,327,139,316,138,11,50,14,47,23,51,10,48,10,48,0,47,13,50,362,121,346,113,323,112,0,47,323,112,282,103,41,61,23,51,16,51,0,47,0,47,0,47,16,51
17,Dunning,374,172,188,99,188,99,86,56,0,40,86,56,86,56,0,40,102,89,0,40,0,40,0,40,0,40,0,40,186,88,178,88,126,83,0,40,126,83,126,83,0,40,52,53,8,39,0,40,0,40,0,40,8,39
18,Montclare,71,57,12,19,12,19,12,19,0,23,12,19,7,23,5,18,0,23,0,23,0,23,0,23,0,23,0,23,59,53,59,53,59,53,0,23,59,53,59,53,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,1111,408,517,216,481,207,404,195,0,52,404,195,327,149,77,74,77,68,36,62,0,52,0,52,0,52,36,62,594,233,547,224,360,166,0,52,360,166,313,152,47,65,187,138,47,65,0,52,0,52,0,52,47,65
20,Hermosa,389,151,178,93,161,96,152,93,0,29,152,93,141,92,11,32,9,31,17,30,0,29,0,29,0,29,17,30,211,107,200,104,158,102,0,29,158,102,55,54,103,90,42,42,11,33,0,29,0,29,0,29,11,33
21,Avondale,607,231,332,177,314,176,132,72,0,38,132,72,105,62,27,41,182,158,18,39,18,39,18,39,0,38,0,38,275,113,268,111,153,83,0,38,153,83,153,83,0,38,115,71,7,37,7,37,7,37,0,38,0,38
22,Logan Square,949,221,367,120,362,118,280,101,0,57,280,101,271,101,9,55,82,81,5,57,0,57,0,57,0,57,5,57,582,169,560,164,444,142,0,57,444,142,397,139,47,62,116,79,22,60,0,57,0,57,0,57,22,60
23,Humboldt Park,712,233,339,135,293,125,208,107,0,51,208,107,175,105,33,51,85,80,46,69,0,51,0,51,0,51,46,69,373,155,346,153,247,122,0,51,247,122,197,110,50,63,99,98,27,56,0,51,0,51,0,51,27,56
24,West Town,1180,254,625,181,575,171,567,170,0,62,567,170,534,168,33,68,8,61,50,68,18,64,18,64,0,62,32,66,555,157,484,146,376,129,0,62,376,129,344,127,32,64,108,91,71,70,8,63,0,62,8,63,63,69
25,Austin,393,158,159,107,123,107,81,85,0,61,81,85,58,73,23,66,42,77,36,62,0,61,0,61,0,61,36,62,234,100,188,99,103,82,0,61,103,82,103,82,0,61,85,83,46,63,0,61,0,61,0,61,46,63
26,West Garfield Park,67,67,44,49,44,49,16,36,0,35,16,36,5,34,11,37,28,48,0,35,0,35,0,35,0,35,0,35,23,40,10,36,5,34,0,35,5,34,5,34,0,35,5,34,13,39,13,39,13,39,0,35,0,35
27,East Garfield Park,74,46,40,43,30,41,6,38,0,38,6,38,6,38,0,38,24,40,10,39,10,39,0,38,10,39,0,38,34,42,24,40,18,40,0,38,18,40,10,40,8,38,6,38,10,40,0,38,0,38,0,38,10,40
28,Near West Side,968,227,432,144,432,144,363,135,0,52,363,135,297,112,66,75,69,69,0,52,0,52,0,52,0,52,0,52,536,162,531,162,442,140,0,52,442,140,442,140,0,52,89,72,5,51,0,52,0,52,0,52,5,51
29,North Lawndale,179,105,62,64,62,64,15,44,0,43,15,44,15,44,0,43,47,58,0,43,0,43,0,43,0,43,0,43,117,73,103,69,66,55,0,43,66,55,54,51,12,46,37,57,14,47,0,43,0,43,0,43,14,47
30,South Lawndale,348,167,217,114,177,100,131,86,0,48,131,86,116,77,15,52,46,60,40,55,6,48,6,48,0,48,34,55,131,80,92,63,44,59,0,48,44,59,31,56,13,51,48,52,39,58,11,50,11,50,0,48,28,56
31,Lower West Side,657,229,214,96,214,96,171,86,0,42,171,86,147,83,24,44,43,54,0,42,0,42,0,42,0,42,0,42,443,199,429,196,373,180,0,42,373,180,340,164,33,50,56,58,14,44,0,42,0,42,0,42,14,44
32,Loop,435,160,207,119,207,119,164,110,0,30,164,110,164,110,0,30,43,51,0,30,0,30,0,30,0,30,0,30,228,103,228,103,124,65,0,30,124,65,124,65,0,30,104,81,0,30,0,30,0,30,0,30,0,30
33,Near South Side,337,231,139,172,22,32,13,25,0,24,13,25,13,25,0,24,9,25,117,170,0,24,0,24,0,24,117,170,198,132,179,131,156,123,0,24,156,123,156,123,0,24,23,32,19,27,9,25,9,25,0,24,10,23
34,Armour Square,294,205,161,108,155,108,124,101,0,27,124,101,78,91,46,54,31,39,6,26,0,27,0,27,0,27,6,26,133,111,100,104,100,104,0,27,100,104,63,60,37,60,0,27,33,39,0,27,0,27,0,27,33,39
35,Douglas,171,80,92,57,60,43,43,39,0,35,43,39,43,39,0,35,17,37,32,48,32,48,32,48,0,35,0,35,79,52,70,50,38,44,0,35,38,44,38,44,0,35,32,40,9,38,0,35,0,35,0,35,9,38
36,Oakland,3,16,3,16,3,16,3,16,0,19,3,16,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,11,20,11,20,11,20,0,16,0,16,0,16,0,16,0,16,11,20,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,232,100,102,65,79,56,57,51,0,43,57,51,57,51,0,43,22,47,23,53,0,43,0,43,0,43,23,53,130,82,103,72,64,58,0,43,64,58,32,44,32,55,39,52,27,45,0,43,0,43,0,43,27,45
39,Kenwood,198,100,88,66,74,61,43,53,0,31,43,53,43,53,0,31,31,44,14,35,0,31,0,31,0,31,14,35,110,80,43,35,12,32,0,31,12,32,12,32,0,31,31,32,67,70,37,65,37,65,0,31,30,42
40,Washington Park,60,52,11,31,11,31,11,31,0,27,11,31,11,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,49,50,49,50,26,33,0,27,26,33,26,33,0,27,23,35,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,576,165,343,135,341,135,242,124,0,38,242,124,227,107,15,44,99,62,2,37,2,37,2,37,0,38,0,38,233,84,192,76,123,68,0,38,123,68,123,68,0,38,69,48,41,48,14,43,0,38,14,43,27,47
42,Woodlawn,240,96,138,80,131,80,123,79,0,36,123,79,122,79,1,35,8,35,7,36,0,36,0,36,0,36,7,36,102,58,89,55,40,42,0,36,40,42,40,42,0,36,49,50,13,38,0,36,0,36,0,36,13,38
43,South Shore,763,319,277,138,211,127,186,123,0,44,186,123,120,93,66,91,25,48,66,68,17,46,17,46,0,44,49,65,486,224,432,218,352,195,0,44,352,195,272,152,80,87,80,67,54,57,0,44,0,44,0,44,54,57
44,Chatham,325,169,50,51,50,51,34,44,0,37,34,44,9,38,25,41,16,45,0,37,0,37,0,37,0,37,0,37,275,152,263,150,155,107,0,37,155,107,121,92,34,63,108,105,12,40,0,37,0,37,0,37,12,40
45,Avalon Park,69,52,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,69,52,44,39,44,39,0,19,44,39,44,39,0,19,0,19,25,28,13,22,13,22,0,19,12,26
46,South Chicago,268,159,73,69,49,64,0,37,0,37,0,37,0,37,0,37,49,64,24,44,0,37,0,37,0,37,24,44,195,132,189,131,148,128,0,37,148,128,131,126,17,43,41,46,6,36,0,37,0,37,0,37,6,36
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,55,52,29,37,29,37,29,37,0,27,29,37,29,37,0,27,0,27,0,27,0,27,0,27,0,27,0,27,26,34,26,34,26,34,0,27,26,34,26,34,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,373,198,160,77,154,77,87,54,0,41,87,54,84,53,3,40,67,68,6,41,6,41,6,41,0,41,0,41,213,172,148,132,98,89,0,41,98,89,93,88,5,42,50,69,65,65,0,41,0,41,0,41,65,65
50,Pullman,14,29,8,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,20,0,19,0,19,0,19,8,20,6,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,6,19,0,19,0,19,0,19,6,19
51,South Deering,138,91,31,35,21,30,11,26,0,25,11,26,0,25,11,26,10,29,10,28,0,25,0,25,0,25,10,28,107,73,73,68,41,51,0,25,41,51,41,51,0,25,32,48,34,38,0,25,0,25,0,25,34,38
52,East Side,319,137,123,74,123,74,114,72,0,29,114,72,100,69,14,35,9,28,0,29,0,29,0,29,0,29,0,29,196,93,188,89,94,59,0,29,94,59,63,53,31,36,94,66,8,28,0,29,0,29,0,29,8,28
53,West Pullman,137,114,86,105,71,103,71,103,0,39,71,103,71,103,0,39,0,39,15,44,0,39,0,39,0,39,15,44,51,51,43,48,37,49,0,39,37,49,37,49,0,39,6,37,8,38,0,39,0,39,0,39,8,38
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,118,83,77,62,77,62,51,49,0,19,51,49,44,44,7,21,26,42,0,19,0,19,0,19,0,19,0,19,41,33,41,33,20,26,0,19,20,26,20,26,0,19,21,26,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,540,186,218,119,201,115,193,112,0,42,193,112,144,83,49,58,8,41,17,46,0,42,0,42,0,42,17,46,322,139,299,134,277,131,0,42,277,131,233,118,44,51,22,45,23,45,0,42,0,42,0,42,23,45
57,Archer Heights,66,47,27,31,24,31,22,32,0,27,22,32,22,32,0,27,2,26,3,25,0,27,0,27,0,27,3,25,39,33,39,33,21,26,0,27,21,26,21,26,0,27,18,30,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,233,151,150,102,141,102,110,93,0,43,110,93,63,62,47,69,31,50,9,44,9,44,9,44,0,43,0,43,83,74,74,73,74,73,0,43,74,73,35,51,39,52,0,43,9,44,0,43,0,43,0,43,9,44
59,McKinley Park,204,163,95,92,95,92,85,91,0,25,85,91,74,90,11,26,10,27,0,25,0,25,0,25,0,25,0,25,109,90,109,90,47,62,0,25,47,62,41,62,6,24,62,69,0,25,0,25,0,25,0,25,0,25
60,Bridgeport,402,150,192,111,180,108,120,95,0,37,120,95,106,89,14,39,60,60,12,38,0,37,0,37,0,37,12,38,210,96,185,93,145,86,0,37,145,86,145,86,0,37,40,50,25,39,0,37,0,37,0,37,25,39
61,New City,354,197,141,95,141,95,99,76,0,47,99,76,89,71,10,46,42,62,0,47,0,47,0,47,0,47,0,47,213,136,192,134,94,70,0,47,94,70,82,69,12,49,98,93,21,52,0,47,0,47,0,47,21,52
62,West Elsdon,68,59,22,42,22,42,22,42,0,27,22,42,22,42,0,27,0,27,0,27,0,27,0,27,0,27,0,27,46,50,37,51,37,51,0,27,37,51,21,33,16,35,0,27,9,26,0,27,0,27,0,27,9,26
63,Gage Park,190,122,97,64,97,64,97,64,0,41,97,64,69,59,28,42,0,41,0,41,0,41,0,41,0,41,0,41,93,78,93,78,66,75,0,41,66,75,66,75,0,41,27,42,0,41,0,41,0,41,0,41,0,41
64,Clearing,247,143,127,74,120,73,100,72,0,31,100,72,72,65,28,36,20,36,7,31,0,31,0,31,0,31,7,31,120,90,120,90,107,90,0,31,107,90,107,90,0,31,13,33,0,31,0,31,0,31,0,31,0,31
65,West Lawn,547,212,247,170,247,170,231,157,0,34,231,157,231,157,0,34,16,40,0,34,0,34,0,34,0,34,0,34,300,122,284,119,248,117,0,34,248,117,176,81,72,65,36,42,16,41,0,34,0,34,0,34,16,41
66,Chicago Lawn,281,147,136,89,136,89,121,85,0,49,121,85,110,85,11,50,15,48,0,49,0,49,0,49,0,49,0,49,145,96,145,96,86,62,0,49,86,62,73,58,13,51,59,70,0,49,0,49,0,49,0,49,0,49
67,West Englewood,280,148,224,128,195,119,149,95,0,48,149,95,149,95,0,48,46,57,29,51,12,50,12,50,0,48,17,49,56,60,56,60,22,51,0,48,22,51,4,47,18,52,34,58,0,48,0,48,0,48,0,48,0,48
68,Englewood,97,59,49,50,40,49,13,36,0,36,13,36,13,36,0,36,27,48,9,37,0,36,0,36,0,36,9,37,48,43,40,43,40,43,0,36,40,43,40,43,0,36,0,36,8,37,0,36,0,36,0,36,8,37
69,Greater Grand Crossing,148,99,51,55,44,55,20,47,0,38,20,47,2,40,18,45,24,48,7,38,0,38,0,38,0,38,7,38,97,81,77,78,46,59,0,38,46,59,46,59,0,38,31,52,20,44,0,38,0,38,0,38,20,44
70,Ashburn,312,160,81,65,73,63,63,62,0,41,63,62,24,47,39,48,10,43,8,40,8,40,8,40,0,41,0,41,231,135,210,130,139,115,0,41,139,115,106,92,33,50,71,73,21,44,0,41,0,41,0,41,21,44
71,Auburn Gresham,211,118,96,84,91,84,70,80,0,46,70,80,70,80,0,46,21,53,5,45,0,46,0,46,0,46,5,45,115,77,81,69,52,62,0,46,52,62,52,62,0,46,29,54,34,57,0,46,0,46,0,46,34,57
72,Beverly,196,89,78,58,78,58,63,46,0,29,63,46,53,43,10,31,15,35,0,29,0,29,0,29,0,29,0,29,118,62,100,60,84,58,0,29,84,58,66,54,18,32,16,31,18,32,0,29,0,29,0,29,18,32
73,Washington Heights,162,111,48,68,37,68,0,33,0,33,0,33,0,33,0,33,37,68,11,33,0,33,0,33,0,33,11,33,114,91,103,90,58,61,0,33,58,61,19,38,39,58,45,70,11,32,0,33,0,33,0,33,11,32
74,Mount Greenwood,87,46,17,27,17,27,16,27,0,25,16,27,5,22,11,29,1,23,0,25,0,25,0,25,0,25,0,25,70,43,70,43,58,43,0,25,58,43,48,39,10,29,12,29,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,226,96,63,55,55,48,29,43,0,31,29,43,29,43,0,31,26,38,8,33,0,31,0,31,0,31,8,33,163,73,118,67,110,65,0,31,110,65,63,47,47,51,8,32,45,43,15,32,15,32,0,31,30,39
76,O'Hare,266,164,151,129,151,129,151,129,0,38,151,129,151,129,0,38,0,38,0,38,0,38,0,38,0,38,0,38,115,104,104,103,88,101,0,38,88,101,88,101,0,38,16,43,11,40,11,40,0,38,11,40,0,38
77,Edgewater,1592,465,829,322,778,319,499,195,0,48,499,195,394,173,105,105,279,185,51,56,6,48,6,48,0,48,45,56,763,282,623,241,531,229,0,48,531,229,430,186,101,101,92,84,140,115,9,49,9,49,0,48,131,114
