area_id,area_name,b17010d001,b17010d001_moe,b17010d002,b17010d002_moe,b17010d003,b17010d003_moe,b17010d004,b17010d004_moe,b17010d005,b17010d005_moe,b17010d006,b17010d006_moe,b17010d007,b17010d007_moe,b17010d008,b17010d008_moe,b17010d009,b17010d009_moe,b17010d010,b17010d010_moe,b17010d011,b17010d011_moe,b17010d012,b17010d012_moe,b17010d013,b17010d013_moe,b17010d014,b17010d014_moe,b17010d015,b17010d015_moe,b17010d016,b17010d016_moe,b17010d017,b17010d017_moe,b17010d018,b17010d018_moe,b17010d019,b17010d019_moe,b17010d020,b17010d020_moe,b17010d021,b17010d021_moe,b17010d022,b17010d022_moe,b17010d023,b17010d023_moe,b17010d024,b17010d024_moe,b17010d025,b17010d025_moe,b17010d026,b17010d026_moe,b17010d027,b17010d027_moe,b17010d028,b17010d028_moe,b17010d029,b17010d029_moe,b17010d030,b17010d030_moe,b17010d031,b17010d031_moe,b17010d032,b17010d032_moe,b17010d033,b17010d033_moe,b17010d034,b17010d034_moe,b17010d035,b17010d035_moe,b17010d036,b17010d036_moe,b17010d037,b17010d037_moe,b17010d038,b17010d038_moe,b17010d039,b17010d039_moe,b17010d040,b17010d040_moe,b17010d041,b17010d041_moe
17,Dunning,340,97,8,41,8,41,8,41,0,40,0,40,8,41,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,332,96,209,75,127,64,8,39,33,51,86,54,82,52,123,73,15,39,7,39,0,40,0,40,7,39,8,41,108,72,49,59,30,57,0,40,19,42,59,61
18,Montclare,107,75,45,56,31,52,31,52,0,23,0,23,31,52,0,23,14,27,0,23,0,23,0,23,0,23,0,23,0,23,14,27,14,27,0,23,14,27,0,23,0,23,62,52,62,52,62,52,15,30,25,29,22,39,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,329,115,13,54,13,54,0,52,0,52,0,52,0,52,13,54,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,316,113,212,92,47,60,0,52,0,52,47,60,165,86,104,81,44,73,15,57,0,52,15,57,0,52,29,69,60,63,13,55,0,52,13,55,0,52,47,61
20,Hermosa,8,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,8,30,8,30,0,29,0,29,0,29,0,29,8,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,289,114,8,39,0,38,0,38,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,0,38,0,38,0,38,8,39,8,39,8,39,0,38,0,38,0,38,281,114,277,113,130,79,35,41,37,61,58,58,147,87,4,38,0,38,0,38,0,38,0,38,0,38,0,38,4,38,0,38,0,38,0,38,0,38,4,38
22,Logan Square,388,114,43,61,10,58,10,58,0,57,0,57,10,58,0,57,33,60,9,58,9,58,9,58,0,57,0,57,0,57,24,59,19,59,11,59,0,57,8,57,5,57,345,112,298,106,88,69,19,59,30,59,39,63,210,95,47,65,12,59,12,59,0,57,12,59,0,57,0,57,35,64,12,60,0,57,0,57,12,60,23,62
23,Humboldt Park,19,52,5,49,5,49,0,51,0,51,0,51,0,51,5,49,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,14,53,14,53,0,51,0,51,0,51,0,51,14,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
24,West Town,552,137,44,74,8,63,8,63,0,62,0,62,8,63,0,62,36,73,20,70,0,62,0,62,0,62,0,62,20,70,16,66,0,62,0,62,0,62,0,62,16,66,508,130,440,122,234,102,124,88,45,68,65,76,206,95,68,72,40,69,25,66,11,64,0,62,14,65,15,66,28,65,19,65,0,62,0,62,19,65,9,63
25,Austin,101,81,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,101,81,90,79,14,63,9,61,0,61,5,60,76,76,11,63,0,61,0,61,0,61,0,61,0,61,0,61,11,63,0,61,0,61,0,61,0,61,11,63
26,West Garfield Park,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,10,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,10,40,10,40,0,38,0,38,0,38,0,38,10,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,1485,253,117,90,73,76,10,53,10,53,0,52,0,52,63,76,44,69,24,63,0,52,0,52,0,52,0,52,24,63,20,59,0,52,0,52,0,52,0,52,20,59,1368,243,1127,230,535,168,400,146,14,52,121,96,592,178,241,104,56,61,5,52,5,52,0,52,0,52,51,61,185,98,37,63,0,52,0,52,37,63,148,91
29,North Lawndale,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,7,43,7,43,7,43,0,43,0,43,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,5,47,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,5,47,0,48,0,48,0,48,0,48,0,48,0,48,5,47,5,47,0,48,0,48,0,48,0,48,5,47,0,48,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,95,63,7,42,7,42,0,42,0,42,0,42,0,42,7,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,88,63,50,48,22,46,0,42,22,46,0,42,28,44,38,60,0,42,0,42,0,42,0,42,0,42,0,42,38,60,28,60,0,42,0,42,28,60,10,42
32,Loop,742,195,50,89,50,89,0,30,0,30,0,30,0,30,50,89,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,692,171,620,169,105,68,89,63,0,30,16,34,515,163,72,83,11,33,0,30,0,30,0,30,0,30,11,33,61,82,0,30,0,30,0,30,0,30,61,82
33,Near South Side,685,219,85,84,37,51,0,24,0,24,0,24,0,24,37,51,48,72,0,24,0,24,0,24,0,24,0,24,0,24,48,72,4,17,4,17,0,24,0,24,44,72,600,194,490,165,255,124,175,123,0,24,80,63,235,116,110,90,14,27,0,24,0,24,0,24,0,24,14,27,96,89,34,53,3,22,0,24,31,54,62,68
34,Armour Square,2453,209,908,190,721,157,208,82,17,26,92,66,99,56,513,145,187,129,21,33,21,33,21,33,0,27,0,27,0,27,166,121,71,64,0,27,0,27,71,64,95,105,1545,211,1149,201,485,125,83,51,74,57,328,120,664,163,396,140,133,73,9,29,0,27,9,29,0,27,124,72,263,141,177,108,27,48,0,27,150,96,86,90
35,Douglas,264,100,21,39,13,39,0,35,0,35,0,35,0,35,13,39,8,35,8,35,0,35,0,35,0,35,0,35,8,35,0,35,0,35,0,35,0,35,0,35,0,35,243,96,236,96,127,77,88,71,30,46,9,36,109,61,7,35,0,35,0,35,0,35,0,35,0,35,0,35,7,35,7,35,7,35,0,35,0,35,0,35
36,Oakland,4,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,4,17,4,17,0,19,0,19,0,19,0,19,4,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,8,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,0,43,0,43,0,43,0,43,0,43,0,43,8,43,8,43,0,43,0,43,8,43,0,43
39,Kenwood,112,64,23,36,14,35,0,31,0,31,0,31,0,31,14,35,9,33,9,33,9,33,9,33,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,89,54,89,54,40,37,22,35,0,31,18,33,49,47,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,413,114,60,59,60,59,57,59,19,41,26,55,12,41,3,37,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,353,102,289,95,147,74,16,40,5,38,126,72,142,60,64,73,0,38,0,38,0,38,0,38,0,38,0,38,64,73,33,55,0,38,0,38,33,55,31,61
42,Woodlawn,78,44,12,36,4,35,0,36,0,36,0,36,0,36,4,35,8,37,0,36,0,36,0,36,0,36,0,36,0,36,8,37,0,36,0,36,0,36,0,36,8,37,66,44,18,43,12,38,7,37,5,37,0,36,6,38,48,51,0,36,0,36,0,36,0,36,0,36,0,36,48,51,0,36,0,36,0,36,0,36,48,51
43,South Shore,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44
44,Chatham,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,26,52,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,26,52,0,37,0,37,0,37,0,37,0,37,0,37,26,52,26,52,26,52,0,37,0,37,26,52,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
49,Roseland,61,56,16,46,16,46,16,46,0,41,16,46,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,45,52,32,49,0,41,0,41,0,41,0,41,32,49,13,44,13,44,0,41,0,41,0,41,0,41,13,44,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,7,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7,20,7,20,7,20,7,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,10,27,10,27,0,25,0,25,0,25,0,25,0,25,0,25,10,27,10,27,10,27,0,25,0,25,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,25,36,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,25,36,17,38,17,38,0,29,0,29,17,38,0,29,8,27,0,29,0,29,0,29,0,29,0,29,0,29,8,27,0,29,0,29,0,29,0,29,8,27
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,162,81,23,50,0,42,0,42,0,42,0,42,0,42,0,42,23,50,0,42,0,42,0,42,0,42,0,42,0,42,23,50,20,50,0,42,0,42,20,50,3,41,139,75,109,61,54,54,0,42,19,44,35,51,55,44,30,55,25,55,0,42,0,42,0,42,0,42,25,55,5,41,0,42,0,42,0,42,0,42,5,41
57,Archer Heights,57,49,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,57,49,57,49,26,32,0,27,0,27,26,32,31,45,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,666,133,75,57,70,55,46,52,13,46,17,46,16,47,24,47,5,43,0,43,0,43,0,43,0,43,0,43,0,43,5,43,5,43,0,43,5,43,0,43,0,43,591,128,469,110,310,102,65,60,13,45,232,85,159,65,122,83,53,72,0,43,0,43,0,43,0,43,53,72,69,58,34,53,0,43,0,43,34,53,35,52
59,McKinley Park,654,112,98,51,89,50,58,46,0,25,15,33,43,39,31,34,9,27,0,25,0,25,0,25,0,25,0,25,0,25,9,27,9,27,0,25,0,25,9,27,0,25,556,112,479,104,316,94,74,44,37,41,205,77,163,71,77,51,34,33,0,25,0,25,0,25,0,25,34,33,43,43,16,30,0,25,0,25,16,30,27,36
60,Bridgeport,2580,245,415,115,338,106,195,84,44,46,12,37,139,75,143,69,77,49,8,37,8,37,0,37,0,37,8,37,0,37,69,48,60,46,0,37,12,36,48,47,9,35,2165,230,1644,209,773,158,100,55,110,68,563,144,871,158,521,134,239,94,24,43,0,37,0,37,24,43,215,92,282,100,85,79,0,37,5,36,80,79,197,80
61,New City,142,56,18,51,18,51,18,51,7,47,11,49,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,124,53,124,53,86,51,9,47,8,47,69,52,38,50,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
62,West Elsdon,65,38,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,65,38,56,34,19,30,11,30,8,28,0,27,37,27,9,26,0,27,0,27,0,27,0,27,0,27,0,27,9,26,0,27,0,27,0,27,0,27,9,26
63,Gage Park,73,52,13,44,13,44,0,41,0,41,0,41,0,41,13,44,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,60,48,34,43,26,41,0,41,15,40,11,41,8,41,26,45,14,43,14,43,0,41,0,41,14,43,0,41,12,43,12,43,0,41,0,41,12,43,0,41
64,Clearing,39,52,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,39,52,39,52,27,52,0,31,0,31,27,52,12,30,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
65,West Lawn,38,48,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,38,48,31,49,0,34,0,34,0,34,0,34,31,49,7,32,0,34,0,34,0,34,0,34,0,34,0,34,7,32,0,34,0,34,0,34,0,34,7,32
66,Chicago Lawn,116,85,24,62,24,62,24,62,24,62,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,92,75,88,75,1,47,0,49,0,49,1,47,87,74,4,49,0,49,0,49,0,49,0,49,0,49,0,49,4,49,4,49,0,49,0,49,4,49,0,49
67,West Englewood,26,61,26,61,0,48,0,48,0,48,0,48,0,48,0,48,26,61,0,48,0,48,0,48,0,48,0,48,0,48,26,61,26,61,26,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,3,35,3,35,3,35,0,36,0,36,0,36,0,36,3,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,8,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,8,39,8,39,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
70,Ashburn,21,41,10,41,10,41,10,41,10,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,11,41,11,41,0,41,0,41,0,41,0,41,11,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
71,Auburn Gresham,10,47,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,10,47,10,47,10,47,0,46,10,47,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
