area_id,area_name,c23002d001,c23002d001_moe,c23002d002,c23002d002_moe,c23002d003,c23002d003_moe,c23002d004,c23002d004_moe,c23002d005,c23002d005_moe,c23002d006,c23002d006_moe,c23002d007,c23002d007_moe,c23002d008,c23002d008_moe,c23002d009,c23002d009_moe,c23002d010,c23002d010_moe,c23002d011,c23002d011_moe,c23002d012,c23002d012_moe,c23002d013,c23002d013_moe,c23002d014,c23002d014_moe,c23002d015,c23002d015_moe,c23002d016,c23002d016_moe,c23002d017,c23002d017_moe,c23002d018,c23002d018_moe,c23002d019,c23002d019_moe,c23002d020,c23002d020_moe,c23002d021,c23002d021_moe,c23002d022,c23002d022_moe,c23002d023,c23002d023_moe,c23002d024,c23002d024_moe,c23002d025,c23002d025_moe,c23002d026,c23002d026_moe,c23002d027,c23002d027_moe
46,South Chicago,86,102,86,102,86,102,26,52,0,37,26,52,26,52,0,37,60,72,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,14,31,14,31,0,27,0,27
49,Roseland,167,105,89,62,68,55,31,47,0,41,31,47,31,47,0,41,37,46,21,47,16,48,16,48,0,41,5,40,78,61,57,56,25,49,0,41,25,49,25,49,0,41,32,50,21,48,0,41,0,41,0,41,21,48
50,Pullman,32,43,14,21,14,21,7,20,0,19,7,20,7,20,0,19,7,20,0,19,0,19,0,19,0,19,0,19,18,27,18,27,12,18,0,19,12,18,12,18,0,19,6,20,0,19,0,19,0,19,0,19,0,19
51,South Deering,49,58,10,27,10,27,10,27,0,25,10,27,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,39,56,39,56,0,25,0,25,0,25,0,25,0,25,39,56,0,25,0,25,0,25,0,25,0,25
52,East Side,85,87,48,60,48,60,31,38,0,29,31,38,31,38,0,29,17,38,0,29,0,29,0,29,0,29,0,29,37,38,37,38,29,40,0,29,29,40,29,40,0,29,8,27,0,29,0,29,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,17,30,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,30,17,30,0,19,0,19,0,19,0,19,0,19,17,30,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,533,267,203,121,161,97,133,77,0,42,133,77,126,77,7,42,28,51,42,53,0,42,0,42,0,42,42,53,330,172,287,157,210,110,0,42,210,110,168,96,42,59,77,79,43,50,0,42,0,42,0,42,43,50
57,Archer Heights,176,163,114,119,110,119,110,119,0,27,110,119,70,82,40,48,0,27,4,26,0,27,0,27,0,27,4,26,62,51,62,51,31,32,0,27,31,32,31,32,0,27,31,45,0,27,0,27,0,27,0,27,0,27
58,Brighton Park,2270,418,1165,227,1122,222,847,161,15,47,832,158,736,143,96,78,275,114,43,48,0,43,0,43,0,43,43,48,1105,223,966,211,680,162,0,43,680,162,641,161,39,48,286,113,139,72,11,45,11,45,0,43,128,69
59,McKinley Park,2098,331,1066,179,985,172,712,139,0,25,712,139,623,137,89,56,273,91,81,51,10,27,0,25,10,27,71,49,1032,193,963,187,723,136,0,25,723,136,638,120,85,62,240,98,69,45,3,24,3,24,0,25,66,44
60,Bridgeport,9420,884,4677,523,4300,516,3382,435,0,37,3382,435,2836,352,546,224,918,246,377,117,67,47,52,42,15,42,310,106,4743,494,4227,474,3049,396,0,37,3049,396,2680,355,369,145,1178,211,516,143,18,40,18,40,0,37,498,142
61,New City,368,118,195,69,195,69,169,64,0,47,169,64,144,58,25,50,26,52,0,47,0,47,0,47,0,47,0,47,173,73,173,73,131,65,0,47,131,65,131,65,0,47,42,54,0,47,0,47,0,47,0,47,0,47
62,West Elsdon,260,130,132,64,115,58,64,39,0,27,64,39,52,35,12,29,51,42,17,22,2,24,2,24,0,27,15,26,128,77,107,69,86,60,0,27,86,60,75,53,11,24,21,30,21,30,0,27,0,27,0,27,21,30
63,Gage Park,375,182,184,111,176,110,65,53,0,41,65,53,51,51,14,43,111,97,8,41,0,41,0,41,0,41,8,41,191,103,148,94,108,69,0,41,108,69,108,69,0,41,40,57,43,53,0,41,0,41,0,41,43,53
64,Clearing,186,231,40,53,35,54,35,54,0,31,35,54,35,54,0,31,0,31,5,30,0,31,0,31,0,31,5,30,146,185,141,185,107,144,0,31,107,144,100,144,7,31,34,52,5,31,0,31,0,31,0,31,5,31
65,West Lawn,95,88,38,51,18,39,18,39,0,34,18,39,18,39,0,34,0,34,20,44,20,44,20,44,0,34,0,34,57,64,41,49,19,36,0,34,19,36,19,36,0,34,22,46,16,41,7,32,7,32,0,34,9,34
66,Chicago Lawn,408,288,199,145,165,141,100,82,0,49,100,82,100,82,0,49,65,84,34,53,10,50,10,50,0,49,24,53,209,153,169,148,166,148,0,49,166,148,137,139,29,62,3,48,40,56,0,49,0,49,0,49,40,56
67,West Englewood,41,65,15,52,15,52,15,52,0,48,15,52,0,48,15,52,0,48,0,48,0,48,0,48,0,48,0,48,26,61,26,61,26,61,0,48,26,61,0,48,26,61,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,21,40,6,36,6,36,0,36,0,36,0,36,0,36,0,36,6,36,0,36,0,36,0,36,0,36,0,36,15,37,15,37,8,37,0,36,8,37,8,37,0,36,7,35,0,36,0,36,0,36,0,36,0,36
69,Greater Grand Crossing,25,50,14,43,14,43,8,39,0,38,8,39,0,38,8,39,6,38,0,38,0,38,0,38,0,38,0,38,11,38,7,38,7,38,0,38,7,38,7,38,0,38,0,38,4,37,0,38,0,38,0,38,4,37
70,Ashburn,99,82,21,41,10,41,10,41,0,41,10,41,10,41,0,41,0,41,11,41,11,41,11,41,0,41,0,41,78,65,65,56,27,46,0,41,27,46,27,46,0,41,38,48,13,43,0,41,0,41,0,41,13,43
71,Auburn Gresham,57,93,24,60,11,47,10,47,0,46,10,47,10,47,0,46,1,44,13,50,0,46,0,46,0,46,13,50,33,62,24,61,10,48,0,46,10,48,10,48,0,46,14,50,9,47,9,47,9,47,0,46,0,46
72,Beverly,39,39,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,39,39,28,36,28,36,0,29,28,36,20,29,8,30,0,29,11,33,0,29,0,29,0,29,11,33
73,Washington Heights,2,30,1,30,1,30,1,30,0,33,1,30,1,30,0,33,0,33,0,33,0,33,0,33,0,33,0,33,1,29,0,33,0,33,0,33,0,33,0,33,0,33,0,33,1,29,0,33,0,33,0,33,1,29
74,Mount Greenwood,117,99,38,38,38,38,31,40,0,25,31,40,31,40,0,25,7,23,0,25,0,25,0,25,0,25,0,25,79,72,55,47,31,35,0,25,31,35,31,35,0,25,24,33,24,42,0,25,0,25,0,25,24,42
75,Morgan Park,124,91,49,51,29,48,29,48,0,31,29,48,29,48,0,31,0,31,20,35,0,31,0,31,0,31,20,35,75,72,61,70,50,69,0,31,50,69,50,69,0,31,11,34,14,35,0,31,0,31,0,31,14,35
76,O'Hare,1035,385,502,201,481,200,481,200,11,41,470,200,422,178,48,64,0,38,21,44,0,38,0,38,0,38,21,44,533,243,524,243,307,203,0,38,307,203,291,200,16,44,217,135,9,39,0,38,0,38,0,38,9,39
77,Edgewater,6268,834,2987,420,2592,373,2077,325,0,48,2077,325,1969,323,108,91,515,176,395,150,68,67,38,55,30,60,327,141,3281,584,2770,549,1660,295,8,49,1652,295,1460,276,192,103,1110,393,511,165,57,64,57,64,0,48,454,158
