area_id,area_name,c21001c001,c21001c001_moe,c21001c002,c21001c002_moe,c21001c003,c21001c003_moe,c21001c004,c21001c004_moe,c21001c005,c21001c005_moe,c21001c006,c21001c006_moe,c21001c007,c21001c007_moe,c21001c008,c21001c008_moe,c21001c009,c21001c009_moe,c21001c010,c21001c010_moe,c21001c011,c21001c011_moe,c21001c012,c21001c012_moe,c21001c013,c21001c013_moe,c21001c014,c21001c014_moe,c21001c015,c21001c015_moe
35,Douglas,22,38,13,35,13,35,0,35,13,35,0,35,0,35,0,35,9,38,9,38,0,35,9,38,0,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,1,41,1,41,0,43,1,41,0,43,0,43,0,43,13,46,0,43,0,43,0,43,13,46,0,43,13,46
39,Kenwood,64,62,13,35,0,31,0,31,0,31,13,35,0,31,13,35,51,60,0,31,0,31,0,31,51,60,0,31,51,60
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,64,55,32,50,32,50,0,38,32,50,0,38,0,38,0,38,32,43,19,37,0,38,19,37,13,43,0,38,13,43
42,Woodlawn,53,57,32,47,32,47,0,36,32,47,0,36,0,36,0,36,21,42,21,42,0,36,21,42,0,36,0,36,0,36
43,South Shore,108,86,45,65,45,65,14,51,31,60,0,44,0,44,0,44,63,72,63,72,32,64,31,54,0,44,0,44,0,44
44,Chatham,28,43,16,42,16,42,0,37,16,42,0,37,0,37,0,37,12,38,12,38,0,37,12,38,0,37,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,4,26,0,27,0,27,0,27,4,26,0,27,4,26,5,26,0,27,0,27,0,27,5,26,0,27,5,26
49,Roseland,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,7,25,7,25,0,25,7,25,0,25,0,25,0,25,10,27,10,27,0,25,10,27,0,25,0,25,0,25
52,East Side,73,66,36,51,36,51,24,47,12,31,0,29,0,29,0,29,37,42,37,42,0,29,37,42,0,29,0,29,0,29
53,West Pullman,18,41,13,42,0,39,0,39,0,39,13,42,0,39,13,42,5,38,5,38,0,39,5,38,0,39,0,39,0,39
54,Riverdale,3,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16,3,13,3,13,0,16,3,13,0,16,0,16,0,16
55,Hegewisch,45,45,10,20,10,20,0,19,10,20,0,19,0,19,0,19,35,34,35,34,0,19,35,34,0,19,0,19,0,19
56,Garfield Ridge,17,45,17,45,17,45,13,45,4,41,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
57,Archer Heights,60,62,31,48,31,48,17,34,14,31,0,27,0,27,0,27,29,31,21,31,0,27,21,31,8,28,0,27,8,28
58,Brighton Park,92,82,45,49,45,49,0,43,45,49,0,43,0,43,0,43,47,59,47,59,0,43,47,59,0,43,0,43,0,43
59,McKinley Park,101,75,22,35,22,35,0,25,22,35,0,25,0,25,0,25,79,58,79,58,0,25,79,58,0,25,0,25,0,25
60,Bridgeport,144,110,95,70,55,61,0,37,55,61,40,50,22,45,18,43,49,67,49,67,0,37,49,67,0,37,0,37,0,37
61,New City,249,216,132,111,132,111,0,47,132,111,0,47,0,47,0,47,117,121,117,121,0,47,117,121,0,47,0,47,0,47
62,West Elsdon,18,29,10,30,10,30,0,27,10,30,0,27,0,27,0,27,8,27,8,27,0,27,8,27,0,27,0,27,0,27
63,Gage Park,84,103,31,49,31,49,0,41,31,49,0,41,0,41,0,41,53,71,53,71,0,41,53,71,0,41,0,41,0,41
64,Clearing,93,155,47,90,47,90,0,31,47,90,0,31,0,31,0,31,46,73,30,45,0,31,30,45,16,41,0,31,16,41
65,West Lawn,164,158,79,72,79,72,0,34,79,72,0,34,0,34,0,34,85,99,61,62,0,34,61,62,24,50,0,34,24,50
66,Chicago Lawn,70,81,35,56,35,56,0,49,35,56,0,49,0,49,0,49,35,60,35,60,0,49,35,60,0,49,0,49,0,49
67,West Englewood,21,51,0,48,0,48,0,48,0,48,0,48,0,48,0,48,21,51,9,49,0,48,9,49,12,50,0,48,12,50
68,Englewood,79,80,26,44,26,44,0,36,26,44,0,36,0,36,0,36,53,58,35,52,0,36,35,52,18,45,0,36,18,45
69,Greater Grand Crossing,211,107,127,75,127,75,0,38,127,75,0,38,0,38,0,38,84,75,84,75,0,38,84,75,0,38,0,38,0,38
70,Ashburn,107,125,73,89,73,89,0,41,73,89,0,41,0,41,0,41,34,52,34,52,0,41,34,52,0,41,0,41,0,41
71,Auburn Gresham,53,82,0,46,0,46,0,46,0,46,0,46,0,46,0,46,53,82,53,82,0,46,53,82,0,46,0,46,0,46
72,Beverly,17,29,7,30,7,30,0,29,7,30,0,29,0,29,0,29,10,28,5,29,0,29,5,29,5,28,0,29,5,28
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,18,37,18,37,0,25,18,37,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
75,Morgan Park,51,42,51,42,42,40,0,31,42,40,9,33,0,31,9,33,0,31,0,31,0,31,0,31,0,31,0,31,0,31
76,O'Hare,46,64,0,38,0,38,0,38,0,38,0,38,0,38,0,38,46,64,46,64,0,38,46,64,0,38,0,38,0,38
77,Edgewater,124,102,55,77,55,77,0,48,55,77,0,48,0,48,0,48,69,71,52,66,0,48,52,66,17,54,0,48,17,54
