area_id,area_name,b19037g001,b19037g001_moe,b19037g002,b19037g002_moe,b19037g003,b19037g003_moe,b19037g004,b19037g004_moe,b19037g005,b19037g005_moe,b19037g006,b19037g006_moe,b19037g007,b19037g007_moe,b19037g008,b19037g008_moe,b19037g009,b19037g009_moe,b19037g010,b19037g010_moe,b19037g011,b19037g011_moe,b19037g012,b19037g012_moe,b19037g013,b19037g013_moe,b19037g014,b19037g014_moe,b19037g015,b19037g015_moe,b19037g016,b19037g016_moe,b19037g017,b19037g017_moe,b19037g018,b19037g018_moe,b19037g019,b19037g019_moe,b19037g020,b19037g020_moe,b19037g021,b19037g021_moe,b19037g022,b19037g022_moe,b19037g023,b19037g023_moe,b19037g024,b19037g024_moe,b19037g025,b19037g025_moe,b19037g026,b19037g026_moe,b19037g027,b19037g027_moe,b19037g028,b19037g028_moe,b19037g029,b19037g029_moe,b19037g030,b19037g030_moe,b19037g031,b19037g031_moe,b19037g032,b19037g032_moe,b19037g033,b19037g033_moe,b19037g034,b19037g034_moe,b19037g035,b19037g035_moe,b19037g036,b19037g036_moe,b19037g037,b19037g037_moe,b19037g038,b19037g038_moe,b19037g039,b19037g039_moe,b19037g040,b19037g040_moe,b19037g041,b19037g041_moe,b19037g042,b19037g042_moe,b19037g043,b19037g043_moe,b19037g044,b19037g044_moe,b19037g045,b19037g045_moe,b19037g046,b19037g046_moe,b19037g047,b19037g047_moe,b19037g048,b19037g048_moe,b19037g049,b19037g049_moe,b19037g050,b19037g050_moe,b19037g051,b19037g051_moe,b19037g052,b19037g052_moe,b19037g053,b19037g053_moe,b19037g054,b19037g054_moe,b19037g055,b19037g055_moe,b19037g056,b19037g056_moe,b19037g057,b19037g057_moe,b19037g058,b19037g058_moe,b19037g059,b19037g059_moe,b19037g060,b19037g060_moe,b19037g061,b19037g061_moe,b19037g062,b19037g062_moe,b19037g063,b19037g063_moe,b19037g064,b19037g064_moe,b19037g065,b19037g065_moe,b19037g066,b19037g066_moe,b19037g067,b19037g067_moe,b19037g068,b19037g068_moe,b19037g069,b19037g069_moe
11,Jefferson Park,173,83,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,60,44,0,29,0,29,12,33,13,34,0,29,0,29,0,29,0,29,0,29,0,29,0,29,24,35,11,29,0,29,0,29,0,29,107,72,6,29,0,29,7,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,33,50,0,29,34,45,0,29,27,46,0,29,6,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,6,29,0,29,0,29,0,29,0,29
12,Forest Glen,58,55,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,38,50,0,29,0,29,22,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,20,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,4,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
13,North Park,186,114,61,68,13,32,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,48,66,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,120,98,42,68,0,27,0,27,0,27,0,27,0,27,0,27,4,26,0,27,58,68,12,29,0,27,4,27,0,27,0,27,0,27,5,26,0,27,0,27,0,27,5,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
14,Albany Park,368,109,14,45,0,45,7,45,0,45,0,45,7,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,219,94,13,47,0,45,10,46,5,42,0,45,0,45,0,45,0,45,10,42,61,65,0,45,62,62,24,45,9,46,12,46,13,49,92,56,0,45,13,48,0,45,9,43,0,45,0,45,0,45,0,45,12,46,0,45,12,45,29,49,9,46,0,45,8,44,0,45,43,51,0,45,22,47,0,45,6,46,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,15,48,0,45,0,45,0,45
15,Portage Park,244,93,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,126,82,0,47,0,47,0,47,0,47,0,47,9,47,15,51,0,47,0,47,22,48,26,52,25,58,29,62,0,47,0,47,0,47,102,67,0,47,9,48,0,47,0,47,0,47,15,46,0,47,0,47,0,47,0,47,0,47,23,49,38,61,12,48,5,46,0,47,16,46,12,47,0,47,0,47,0,47,4,46,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
16,Irving Park,266,100,19,48,0,47,11,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,8,48,0,47,0,47,0,47,0,47,0,47,182,91,0,47,0,47,0,47,0,47,34,62,7,46,0,47,16,53,39,63,9,49,6,47,39,53,0,47,28,54,4,45,0,47,55,53,0,47,0,47,10,47,0,47,0,47,0,47,8,48,0,47,0,47,0,47,0,47,7,47,0,47,17,47,13,49,0,47,10,48,0,47,0,47,0,47,10,48,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
17,Dunning,110,66,14,45,0,40,14,45,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,51,53,0,40,0,40,7,40,0,40,0,40,11,42,0,40,0,40,0,40,0,40,23,53,0,40,5,40,5,38,0,40,0,40,37,51,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,10,40,16,46,0,40,0,40,0,40,11,41,0,40,0,40,8,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,8,39,0,40,0,40,0,40
18,Montclare,5,18,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,5,18,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,5,18,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,316,108,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,93,77,29,67,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,4,51,0,52,20,55,0,52,9,51,31,63,0,52,160,85,0,52,0,52,18,58,11,53,0,52,0,52,5,52,0,52,0,52,34,58,5,52,17,50,33,62,22,61,15,56,0,52,63,65,36,62,0,52,0,52,0,52,0,52,0,52,12,53,0,52,0,52,0,52,0,52,0,52,15,55,0,52,0,52,0,52
20,Hermosa,133,66,43,60,0,29,0,29,0,29,0,29,0,29,34,60,0,29,9,31,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,27,35,0,29,3,28,0,29,10,32,10,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,4,29,0,29,0,29,0,29,46,38,0,29,0,29,15,30,0,29,0,29,0,29,17,30,0,29,0,29,0,29,0,29,0,29,0,29,14,35,0,29,0,29,17,30,0,29,10,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,7,27,0,29,0,29,0,29,0,29,0,29,0,29
21,Avondale,295,109,51,62,37,59,0,38,0,38,0,38,14,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,139,81,12,39,34,50,11,41,0,38,8,39,0,38,20,53,0,38,0,38,25,50,15,40,0,38,14,41,0,38,0,38,0,38,87,51,15,43,0,38,4,38,13,39,0,38,0,38,0,38,0,38,15,42,9,40,8,39,8,39,8,39,0,38,7,38,0,38,18,39,0,38,0,38,11,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,37,0,38,0,38
22,Logan Square,469,135,21,60,0,57,0,57,0,57,0,57,14,60,0,57,0,57,0,57,0,57,0,57,0,57,0,57,7,57,0,57,0,57,0,57,299,115,7,57,0,57,9,58,0,57,19,60,49,73,0,57,17,62,6,57,53,74,17,58,37,65,23,63,20,59,21,67,21,60,136,86,18,60,24,70,0,57,13,61,0,57,0,57,0,57,0,57,10,58,0,57,9,58,0,57,0,57,43,64,19,59,0,57,13,57,10,58,0,57,0,57,0,57,0,57,0,57,3,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57
23,Humboldt Park,320,127,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,154,100,31,69,0,51,9,51,0,51,0,51,0,51,0,51,0,51,8,52,46,73,24,61,27,60,9,52,0,51,0,51,0,51,93,72,8,52,0,51,8,50,0,51,37,64,0,51,0,51,0,51,0,51,0,51,14,54,9,52,0,51,17,59,0,51,0,51,73,73,11,53,36,67,0,51,12,53,0,51,0,51,0,51,0,51,0,51,0,51,14,54,0,51,0,51,0,51,0,51,0,51
24,West Town,541,138,77,80,0,62,0,62,0,62,0,62,31,73,7,62,0,62,0,62,0,62,0,62,0,62,7,62,17,67,15,66,0,62,0,62,310,108,23,65,0,62,0,62,20,69,0,62,23,66,13,65,7,63,0,62,9,63,39,68,87,74,41,69,0,62,29,69,19,62,75,76,36,71,0,62,14,65,0,62,0,62,0,62,0,62,0,62,0,62,8,63,11,63,6,62,0,62,0,62,0,62,0,62,79,71,0,62,0,62,24,67,4,62,0,62,0,62,0,62,9,63,0,62,18,64,4,62,0,62,6,62,14,66,0,62,0,62
25,Austin,111,73,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,40,67,0,61,0,61,12,64,0,61,18,62,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,10,62,0,61,35,66,0,61,13,64,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,12,63,0,61,10,62,36,62,0,61,9,62,27,62,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,18,38,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,5,34,5,34,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,13,39,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,13,39,0,35,0,35,0,35,0,35
27,East Garfield Park,40,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,14,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,6,38,8,38,0,38,0,38,0,38,0,38,6,38,6,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,20,42,0,38,0,38,10,40,0,38,0,38,0,38,0,38,0,38,0,38,10,39,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,439,125,27,55,8,52,0,52,13,55,0,52,0,52,0,52,0,52,0,52,0,52,6,52,0,52,0,52,0,52,0,52,0,52,0,52,321,110,18,53,0,52,23,63,5,51,0,52,23,55,9,53,0,52,0,52,27,58,9,53,61,70,52,61,24,56,45,57,25,58,86,68,30,61,7,52,0,52,0,52,0,52,17,57,0,52,0,52,11,54,0,52,0,52,0,52,0,52,0,52,21,53,0,52,5,51,0,52,0,52,5,51,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52
29,North Lawndale,73,65,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,59,60,12,46,23,54,0,43,5,42,0,43,0,43,0,43,8,43,0,43,0,43,11,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,47,0,43,0,43,14,47,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
30,South Lawndale,174,83,10,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,10,49,0,48,0,48,0,48,0,48,0,48,0,48,50,56,5,47,0,48,21,52,0,48,0,48,11,50,0,48,0,48,0,48,13,51,0,48,0,48,0,48,0,48,0,48,0,48,69,68,0,48,0,48,8,48,0,48,0,48,14,55,24,61,0,48,4,47,0,48,19,50,0,48,0,48,0,48,0,48,0,48,45,58,17,53,0,48,11,50,0,48,0,48,6,48,0,48,0,48,0,48,0,48,11,50,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,336,128,60,54,22,43,0,42,11,44,0,42,22,52,0,42,0,42,0,42,0,42,0,42,5,41,0,42,0,42,0,42,0,42,0,42,173,99,0,42,23,53,4,41,0,42,0,42,29,51,18,43,5,41,25,56,13,45,49,74,0,42,0,42,4,41,3,40,0,42,99,73,29,47,0,42,0,42,0,42,0,42,28,59,0,42,7,43,0,42,0,42,25,49,10,40,0,42,0,42,0,42,0,42,4,41,4,41,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
32,Loop,200,93,30,36,0,30,0,30,0,30,0,30,0,30,0,30,11,32,0,30,0,30,12,31,0,30,0,30,7,30,0,30,0,30,0,30,139,86,37,63,0,30,0,30,0,30,7,30,0,30,12,33,0,30,0,30,0,30,13,35,22,37,18,38,0,30,0,30,30,39,31,43,0,30,0,30,0,30,0,30,15,36,0,30,0,30,0,30,0,30,0,30,0,30,16,36,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,242,200,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,98,80,0,24,14,26,0,24,0,24,0,24,0,24,0,24,0,24,41,70,0,24,30,35,0,24,0,24,13,26,0,24,0,24,8,24,0,24,8,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,136,171,106,170,0,24,0,24,11,27,3,22,7,25,0,24,9,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
34,Armour Square,140,104,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,104,102,52,63,0,27,52,85,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,26,0,27,0,27,0,27,0,27,0,27,0,27,9,27,0,27,5,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,22,34,0,27,0,27,0,27,0,27,4,26,0,27,0,27,0,27,0,27,0,27,0,27,18,35,0,27,0,27,0,27,0,27
35,Douglas,108,64,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,51,45,0,35,4,34,7,35,0,35,0,35,11,37,10,37,0,35,0,35,12,40,0,35,0,35,0,35,0,35,7,35,0,35,25,42,13,39,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,12,38,0,35,0,35,0,35,0,35,32,48,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,10,37,22,47,0,35,0,35,0,35,0,35,0,35
36,Oakland,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,3,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,171,80,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,91,66,49,57,0,43,18,50,0,43,0,43,4,42,0,43,0,43,0,43,12,46,0,43,0,43,4,42,0,43,0,43,4,42,36,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,15,47,0,43,0,43,0,43,14,44,7,43,0,43,0,43,0,43,44,55,36,54,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,8,44,0,43,0,43,0,43,0,43
39,Kenwood,145,81,4,30,4,30,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,49,44,4,30,0,31,11,34,0,31,0,31,0,31,0,31,0,31,0,31,4,30,0,31,24,43,0,31,0,31,0,31,6,31,28,38,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,13,34,9,33,0,31,0,31,0,31,6,34,0,31,64,71,0,31,0,31,13,34,0,31,0,31,0,31,37,65,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,14,35
40,Washington Park,35,34,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,16,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,6,27,0,27,10,29,0,27,0,27,0,27,0,27,0,27,19,31,9,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,10,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,300,102,38,44,12,38,14,39,0,38,12,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,179,85,28,49,28,53,0,38,0,38,13,42,0,38,6,38,21,43,0,38,4,37,26,41,9,39,9,39,7,38,28,48,0,38,52,48,6,38,8,38,0,38,0,38,0,38,0,38,0,38,8,39,0,38,0,38,0,38,7,38,0,38,23,44,0,38,0,38,31,47,0,38,0,38,2,37,0,38,14,43,0,38,0,38,0,38,0,38,0,38,15,44,0,38,0,38,0,38,0,38,0,38
