area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
43,South Shore,85,77,6,45,0,44,0,44,0,44,0,44,0,44,6,45,0,44,6,45,6,45,0,44,79,76,0,44,0,44,0,44,0,44,0,44,79,76,39,56,40,66,28,62,12,50
44,Chatham,23,42,1,35,0,37,0,37,0,37,0,37,0,37,1,35,1,35,0,37,0,37,0,37,22,43,0,37,0,37,0,37,0,37,0,37,22,43,0,37,22,43,11,42,11,38
45,Avalon Park,34,42,13,25,0,19,0,19,0,19,0,19,0,19,13,25,13,25,0,19,0,19,0,19,21,37,0,19,0,19,0,19,0,19,0,19,21,37,0,19,21,37,0,19,21,37
46,South Chicago,86,102,86,102,35,61,35,61,0,37,0,37,0,37,51,64,26,52,25,53,0,37,25,53,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,14,31,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,14,31,0,27,0,27,0,27,0,27,0,27,14,31,0,27,14,31,14,31,0,27
49,Roseland,217,152,106,74,17,46,17,46,0,41,0,41,0,41,89,62,20,45,69,56,39,52,30,47,111,91,33,61,33,61,0,41,0,41,0,41,78,61,15,45,63,60,39,54,24,48
50,Pullman,39,53,14,21,0,19,0,19,0,19,0,19,0,19,14,21,7,20,7,20,7,20,0,19,25,37,7,20,7,20,0,19,0,19,0,19,18,27,0,19,18,27,6,18,12,28
51,South Deering,49,58,10,27,0,25,0,25,0,25,0,25,0,25,10,27,0,25,10,27,10,27,0,25,39,56,0,25,0,25,0,25,0,25,0,25,39,56,0,25,39,56,39,56,0,25
52,East Side,101,109,48,60,17,38,17,38,0,29,0,29,0,29,31,38,1,27,30,39,30,39,0,29,53,57,16,36,16,36,0,29,0,29,0,29,37,38,12,33,25,35,0,29,25,35
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,34,57,17,31,17,31,0,19,17,31,0,19,17,31,0,19,0,19,0,19,0,19,0,19,17,30,0,19,0,19,0,19,0,19,0,19,17,30,0,19,17,30,0,19,17,30
56,Garfield Ridge,647,310,268,148,77,67,57,62,20,50,20,50,0,42,191,115,39,48,152,97,143,96,9,43,379,182,69,59,37,52,32,51,32,51,0,42,310,157,70,86,240,134,228,133,12,39
57,Archer Heights,212,178,125,123,11,28,11,28,0,27,0,27,0,27,114,119,82,117,32,32,17,27,15,32,87,65,25,32,25,32,0,27,0,27,0,27,62,51,31,45,31,31,17,27,14,31
58,Brighton Park,2756,498,1394,259,278,104,256,99,22,44,11,45,11,42,1116,221,252,110,864,176,635,156,229,94,1362,280,297,118,246,114,51,58,16,48,35,53,1065,209,76,56,989,198,735,178,254,116
59,McKinley Park,2675,437,1340,234,319,122,257,103,62,45,46,40,16,33,1021,179,154,74,867,167,475,108,392,147,1335,263,329,116,265,112,64,53,14,28,50,50,1006,188,116,59,890,177,575,134,315,112
60,Bridgeport,10772,980,5336,577,830,198,693,187,137,75,95,67,42,49,4506,496,657,151,3849,474,2239,323,1610,362,5436,551,921,190,823,179,98,65,31,54,67,52,4515,471,742,234,3773,397,2313,283,1460,321
61,New City,563,153,306,99,111,68,51,68,60,60,0,47,60,60,195,69,44,54,151,59,78,59,73,50,257,86,84,63,84,63,0,47,0,47,0,47,173,73,21,50,152,65,81,72,71,55
62,West Elsdon,322,174,171,88,39,48,39,48,0,27,0,27,0,27,132,64,21,27,111,55,93,49,18,26,151,100,23,46,23,46,0,27,0,27,0,27,128,77,10,31,118,71,111,69,7,28
63,Gage Park,471,240,251,144,78,62,60,59,18,46,0,41,18,46,173,106,59,63,114,95,14,43,100,94,220,117,50,58,50,58,0,41,0,41,0,41,170,85,33,45,137,78,63,61,74,60
64,Clearing,186,231,40,53,0,31,0,31,0,31,0,31,0,31,40,53,0,31,40,53,13,29,27,54,146,185,26,51,0,31,26,51,1,30,25,51,120,146,23,35,97,143,8,30,89,143
65,West Lawn,95,88,38,51,0,34,0,34,0,34,0,34,0,34,38,51,17,40,21,43,20,44,1,32,57,64,0,34,0,34,0,34,0,34,0,34,57,64,0,34,57,64,48,62,9,35
66,Chicago Lawn,439,304,203,145,5,47,5,47,0,49,0,49,0,49,198,145,12,50,186,142,52,53,134,140,236,169,27,62,27,62,0,49,0,49,0,49,209,153,5,50,204,150,90,74,114,139
67,West Englewood,41,65,15,52,0,48,0,48,0,48,0,48,0,48,15,52,0,48,15,52,0,48,15,52,26,61,0,48,0,48,0,48,0,48,0,48,26,61,0,48,26,61,26,61,0,48
68,Englewood,21,40,6,36,0,36,0,36,0,36,0,36,0,36,6,36,3,35,3,35,0,36,3,35,15,37,0,36,0,36,0,36,0,36,0,36,15,37,0,36,15,37,11,35,4,36
69,Greater Grand Crossing,25,50,14,43,0,38,0,38,0,38,0,38,0,38,14,43,6,38,8,39,0,38,8,39,11,38,0,38,0,38,0,38,0,38,0,38,11,38,0,38,11,38,11,38,0,38
70,Ashburn,121,99,32,50,11,41,11,41,0,41,0,41,0,41,21,41,0,41,21,41,21,41,0,41,89,72,11,41,0,41,11,41,0,41,11,41,78,65,27,46,51,58,18,45,33,55
71,Auburn Gresham,77,126,44,87,20,56,20,56,0,46,0,46,0,46,24,60,0,46,24,60,0,46,24,60,33,62,0,46,0,46,0,46,0,46,0,46,33,62,0,46,33,62,9,47,24,61
72,Beverly,61,59,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,61,59,38,47,0,29,38,47,38,47,0,29,23,32,7,29,16,32,16,32,0,29
73,Washington Heights,2,30,1,30,0,33,0,33,0,33,0,33,0,33,1,30,0,33,1,30,0,33,1,30,1,29,0,33,0,33,0,33,0,33,0,33,1,29,0,33,1,29,1,29,0,33
74,Mount Greenwood,169,172,55,60,17,34,17,34,0,25,0,25,0,25,38,38,12,31,26,35,19,36,7,23,114,118,35,56,35,56,0,25,0,25,0,25,79,72,17,34,62,67,21,35,41,45
75,Morgan Park,124,91,49,51,0,31,0,31,0,31,0,31,0,31,49,51,24,49,25,34,25,34,0,31,75,72,0,31,0,31,0,31,0,31,0,31,75,72,12,33,63,71,17,35,46,68
76,O'Hare,1173,435,603,228,101,79,67,64,34,59,0,38,34,59,502,201,122,101,380,177,134,103,246,152,570,262,43,73,6,42,37,69,0,38,37,69,527,243,42,75,485,215,242,183,243,144
77,Edgewater,6849,934,3224,462,311,144,218,130,93,77,0,48,93,77,2913,409,506,152,2407,381,1107,268,1300,279,3625,634,389,173,198,131,191,123,32,60,159,116,3236,578,663,220,2573,547,1045,268,1528,480
