area_id,area_name,b18101d001,b18101d001_moe,b18101d002,b18101d002_moe,b18101d003,b18101d003_moe,b18101d004,b18101d004_moe,b18101d005,b18101d005_moe,b18101d006,b18101d006_moe,b18101d007,b18101d007_moe,b18101d008,b18101d008_moe,b18101d009,b18101d009_moe,b18101d010,b18101d010_moe
68,Englewood,17,38,0,36,0,36,0,36,17,38,0,36,17,38,0,36,0,36,0,36
69,Greater Grand Crossing,21,51,0,38,0,38,0,38,21,51,8,39,13,43,0,38,0,38,0,38
70,Ashburn,114,97,22,45,0,41,22,45,68,60,11,43,57,58,24,44,24,44,0,41
71,Auburn Gresham,77,126,20,56,0,46,20,56,35,74,0,46,35,74,22,51,0,46,22,51
72,Beverly,61,59,38,47,14,30,24,38,12,28,0,29,12,28,11,33,0,29,11,33
73,Washington Heights,2,30,0,33,0,33,0,33,1,30,0,33,1,30,1,29,0,33,1,29
74,Mount Greenwood,169,172,52,80,0,25,52,80,93,70,0,25,93,70,24,42,0,25,24,42
75,Morgan Park,118,90,0,31,0,31,0,31,90,82,0,31,90,82,28,49,0,31,28,49
76,O'Hare,1162,435,144,100,0,38,144,100,988,385,26,47,962,382,30,55,21,43,9,40
77,Edgewater,6814,933,700,246,20,51,680,245,5235,744,160,93,5075,739,879,242,319,138,560,185
